ID	source_form	phon_form	notes	source	cognate_class	reliability
1	GJITH			DyenDB	001-008	A
2	ENE, NE, E			DyenDB	002-007	A
3	SHTASA			DyenDB	003-002	A
4	HINI			DyenDB	004-010	A
6	SHPINA			DyenDB	006-003	A
7	KEKJ, LIG			DyenDB	007-215	A
8	ZHABA, KUJA			DyenDB	008-207	A
9	SEPSE			DyenDB	009-203	A
10	BARKU, MULLA			DyenDB	010-005	A
11	I MADH			DyenDB	011-200	A
12	SHPENDI, ZOGU			DyenDB	012-004	A
14	IZI			DyenDB	014-011	A
15	GJAKU			DyenDB	015-007	A
17	RRASHTI			DyenDB	017-202	A
21	FEMIJ			DyenDB	020-009	A
22	REJA			DyenDB	021-002	A
23	FTOFT, FTOFET			DyenDB	022-008	A
27	DITA			DyenDB	026-003	A
30	ZHGRYM, NDYT			DyenDB	029-200	A
31	KJENI			DyenDB	030-009	A
33	THAT			DyenDB	032-003	A
34	NUK PREFET			DyenDB	033-009	A
35	PLUHUNI			DyenDB	034-002	A
36	VESHI			DyenDB	035-002	A
37	DHEU			DyenDB	036-200	A
39	VEJA			DyenDB	038-006	A
40	SYNI			DyenDB	039-007	A
42	LARG, GJAN			DyenDB	041-005	A
43	LYRA, YNDYRA			DyenDB	042-209	A
44	ATI			DyenDB	043-200	A
46	PENDA			DyenDB	045-004	A
47	PAK			DyenDB	046-006	A
50	ZJARRI			DyenDB	048-008	A
51	PESHKU			DyenDB	049-008	A
52	PES			DyenDB	050-002	A
55	LULE			DyenDB	053-005	A
57	MJEGULLA			DyenDB	055-004	A
58	KAMA			DyenDB	056-006	A
59	KATER			DyenDB	057-002	A
61	PEMA			DyenDB	059-005	A
64	MIR			DyenDB	061-010	A
65	BARI			DyenDB	062-013	A
66	JESHIL (GJELBER)			DyenDB	063-005	A
67	ZORRET			DyenDB	064-006	A
68	KJIME			DyenDB	065-006	A
69	DORA			DyenDB	066-203	A
70	AI			DyenDB	067-212	A
71	KRYET, KREJ			DyenDB	068-003	A
73	ZEMER			DyenDB	070-002	A
74	RAND			DyenDB	071-002	A
75	KETU			DyenDB	072-005	A
77	MARR			DyenDB	074-009	A
79	KJYSH, SI			DyenDB	075-200	A
