ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	TOL			DyenDB		A	
002	AU			DyenDB	002-004	A	002-004
003	HAJVAN			DyenDB		A	
004	IRA			DyenDB		A	
005	DE...SERA, TA NEZDE			DyenDB	005-100	C	005-100
006	SA			DyenDB	006-101	C	006-101
007	BAD			DyenDB	007-200	A	007-206
008	POST			DyenDB	008-210	A	008-210
009	DZEKA CE, VALI CE			DyenDB		A	
010	NAS, GEDA, XETA			DyenDB	010-100	C	010-100
011	LOJ			DyenDB		A	
012	MURGE			DyenDB	012-002	A	012-002
013	CICEL			DyenDB	013-200	A	013-200
014	TOR			DyenDB	014-008	A	014-008
015	VINA			DyenDB	015-013	A	015-013
016	LEGEDEL			DyenDB		A	
017	HED, HADUKAJ			DyenDB	017-203	A	017-204
019	TANAFFUS KAVEL			DyenDB		A	
020	SVADZEDEL, SVADZEL			DyenDB	020-206	A	020-206
021	TIFL			DyenDB		A	
022	TORA URIADZ, XERA URIADZ			DyenDB	022-208	A	022-208
023	SOR			DyenDB	023-005	A	023-005
024	RATLEL			DyenDB	024-210	A	024-210
025	SMEREL			DyenDB		A	
026	PREKAVEL			DyenDB	026-100	C	026-100
027	VRADZ			DyenDB	027-201	A	027-201
028	MREL			DyenDB	028-003	A	028-003
029	KINEL, KINDEL			DyenDB	029-208	A	029-209
030	CATAL, XIREN			DyenDB	030-013	A	030-013
031	SPAJ			DyenDB	031-003	A	031-003
032	CSEL			DyenDB	032-006	A	032-006
033	VUC			DyenDB	033-207	A	033-207
034	PEC			DyenDB		A	
035	GARZ			DyenDB	035-010	A	035-010
036	GVAZ			DyenDB	036-002	A	036-002
037	MDZEKA, XAK			DyenDB	037-212	A	037-212
038	XVAREL			DyenDB	038-007	A	038-007
039	HAGEJ			DyenDB	039-007	A	039-007
040	STERGA			DyenDB	040-006	A	040-006
041	LVEDEL			DyenDB	041-010	A	041-010
042	LIRI			DyenDB	042-206	A	042-206
043	GVARI			DyenDB	043-400	C	043-400
044	PLAR			DyenDB	044-209	A	044-210
045	BEREDEL			DyenDB	045-009	A	045-009
046	BENA, BANEKA			DyenDB		A	
047	LEZ			DyenDB	047-008	A	047-008
