ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	GITH			DyenDB	001-008	A	001-008
002	E			DyenDB	002-007	A	002-007
003	ANIMAX			DyenDB		A	
004	XI-RI			DyenDB	004-010	A	004-010
005	TE			DyenDB		A	
006	GHARESI, KRAX-T / KARINA			DyenDB	006-213	A	006-213
007	LIK			DyenDB	007-215	A	007-215
009	SE			DyenDB	009-203	A	009-205
010	BARK			DyenDB	010-005	A	010-005
011	I-MATH			DyenDB	011-200	A	011-200
012	ZOG			DyenDB	012-004	A	012-004
013	ZE NE AC			DyenDB	013-009	A	013-009
014	I-ZI			DyenDB	014-011	A	014-011
015	GAK			DyenDB	015-007	A	015-007
016	FRIN (3 SG.)			DyenDB	016-004	A	016-004
017	AST			DyenDB	017-200	A	017-200
019	CATAR			DyenDB		A	
020	DJEK			DyenDB	020-200	A	020-204
021	FEMIJ			DyenDB	021-009	A	021-009
022	MJEGUGHA			DyenDB		A	
023	TITIM			DyenDB		A	
024	VIN (PRET. ARTH  3 SG. )			DyenDB	024-208	A	024-208
025	DHEMBRON			DyenDB	025-008	A	025-008
026	PRES			DyenDB	026-005	A	026-005
027	DIT			DyenDB	027-003	A	027-003
028	VDES			DyenDB	028-004	A	028-004
029	KAVAR			DyenDB		A	
030	GHORDU			DyenDB		A	
031	KEN			DyenDB	031-009	A	031-009
032	PI			DyenDB	032-004	A	032-004
033	I-TERM			DyenDB	033-005	A	033-005
035	PLUXURAC			DyenDB	035-002	A	035-002
036	VES			DyenDB	036-002	A	036-002
037	BOT			DyenDB	037-003	A	037-003
038	XA			DyenDB	038-200	A	038-200
039	VE			DyenDB	039-006	A	039-006
040	SI			DyenDB	040-007	A	040-007
041	BIE, (PRET. RA)			DyenDB	041-011	A	041-011
042	GHARGHU			DyenDB	042-005	A	042-005
044	TATA, JATI			DyenDB	044-200	A	044-202
045	TREMBEM			DyenDB	045-008	A	045-008
046	PEND			DyenDB	046-004	A	046-004
047	PAK			DyenDB	047-006	A	047-006
048	ZEXEM			DyenDB		A	
050	ZJAR			DyenDB	050-008	A	050-008
051	PISK			DyenDB	051-008	A	051-008
052	PES			DyenDB	052-002	A	052-002
055	LULE			DyenDB	055-005	A	055-005
056	FLUTURON			DyenDB	056-007	A	056-007
057	GHURFI			DyenDB		A	
058	KEMB			DyenDB	058-006	A	058-006
059	KATR			DyenDB	059-002	A	059-002
063	JAP			DyenDB	063-200	A	063-200
064	I-MIR			DyenDB	064-010	A	064-010
065	BAR			DyenDB	065-013	A	065-013
066	VIRDHI			DyenDB		A	
067	ZOR			DyenDB	067-006	A	067-006
068	KRIP			DyenDB		A	
069	DOR			DyenDB	069-203	A	069-203
070	AJI			DyenDB	070-212	A	070-212
071	KRIE			DyenDB	071-003	A	071-003
072	GEGEM			DyenDB	072-208	A	072-208
073	ZEMBER			DyenDB	073-002	A	073-002
074	I-REND			DyenDB	074-002	A	074-002
075	XTU			DyenDB	075-005	A	075-005
076	FORT			DyenDB		A	
077	MBAN			DyenDB	077-008	A	077-008
079	SI			DyenDB	079-200	A	079-200
080	VETE AKACA			DyenDB	080-203	A	080-205
081	I-SOK			DyenDB	081-211	A	081-213
082	U			DyenDB	082-200	A	082-200
083	GAC			DyenDB		A	
084	NA			DyenDB	084-004	A	084-004
085	TE			DyenDB		A	
086	VRAS			DyenDB	086-010	A	086-010
088	DI			DyenDB	088-205	A	088-205
089	LAGHU			DyenDB		A	
090	KES			DyenDB	090-201	A	090-201
091	FLET			DyenDB	091-209	A	091-209
092	E-STREMBRA			DyenDB		A	
093	KEMB			DyenDB	093-013	A	093-013
094	STIXEM			DyenDB	094-007	A	094-007
095	RON (PRET / ROVA)			DyenDB	095-004	A	095-004
