ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	GJITHE			DyenDB	001-008	A	001-008
002	EDHE			DyenDB	002-007	A	002-007
003	KAFSHE			DyenDB	003-003	A	003-003
004	HI			DyenDB	004-010	A	004-010
005	NE			DyenDB	005-003	A	005-003
007	I KEG, E KEGE			DyenDB	007-215	A	007-217
008	LEVEZHGE			DyenDB		A	
009	SE, SEPSE			DyenDB	009-203	A	009-204
010	BARK			DyenDB	010-005	A	010-005
011	I MATH, E MADHE			DyenDB	011-200	A	011-200
012	ZOG			DyenDB	012-004	A	012-004
013	ME KAFSHUAR			DyenDB	013-004	A	013-004
014	I ZI, E ZEZE			DyenDB	014-011	A	014-011
015	GJAK			DyenDB	015-007	A	015-007
016	ME FRYRE			DyenDB	016-004	A	016-004
017	KOSKE			DyenDB	017-007	A	017-007
019	ME MANE FRYME			DyenDB	019-004	A	019-004
021	FOSHNJE			DyenDB	021-015	A	021-015
022	RE			DyenDB	022-002	A	022-002
023	I, E FTOHTE			DyenDB	023-008	A	023-008
024	ME ARDHUR			DyenDB	024-208	A	024-208
025	ME NEMERUAR			DyenDB	025-008	A	025-008
026	ME PRERE			DyenDB	026-005	A	026-005
027	DITE			DyenDB	027-003	A	027-003
028	ME VDEKUR			DyenDB	028-004	A	028-004
029	ME REMIRE			DyenDB	029-211	A	029-211
030	I, E NDOHTUR			DyenDB	030-200	A	030-200
031	GEN			DyenDB	031-009	A	031-009
032	ME PIRE			DyenDB	032-004	A	032-004
033	I, E THATI			DyenDB	033-003	A	033-003
034	I, E PAPREHUR			DyenDB	034-012	A	034-012
035	PLUHUR			DyenDB	035-002	A	035-002
036	VESH			DyenDB	036-002	A	036-002
037	TOKE, DHE			DyenDB	037-200	A	037-200
038	ME NGRENE			DyenDB	038-200	A	038-200
039	VE, VEZE			DyenDB	039-006	A	039-006
040	SY			DyenDB	040-007	A	040-007
041	ME RENE			DyenDB	041-011	A	041-011
042	LURG			DyenDB	042-005	A	042-005
043	I, E DHJAMTE			DyenDB	043-208	A	043-208
044	BABA			DyenDB	044-214	A	044-214
045	ME PASUR FRIKE			DyenDB		A	
046	PENDE			DyenDB	046-004	A	046-004
047	PAK, DISA			DyenDB	047-006	A	047-006
048	ME LEFTUAR			DyenDB	048-007	A	048-007
050	ZJARR			DyenDB	050-008	A	050-008
051	PESHK			DyenDB	051-008	A	051-008
052	PESE			DyenDB	052-002	A	052-002
053	ME LUNDRUAR			DyenDB		A	
054	ME RJEDHUR			DyenDB	054-006	A	054-006
055	LULE			DyenDB	055-005	A	055-005
056	ME FLYTURUAR			DyenDB	056-007	A	056-007
057	MJEGULL			DyenDB	057-004	A	057-004
058	KEMBE			DyenDB	058-006	A	058-006
059	KATER			DyenDB	059-002	A	059-002
060	ME NGRIRE			DyenDB	060-003	A	060-003
061	PEME			DyenDB	061-005	A	061-005
063	ME DHENE			DyenDB	063-200	A	063-200
064	I, E MIRE			DyenDB	064-010	A	064-010
065	BAR			DyenDB	065-013	A	065-013
066	I, E GJELBER, I, E KALTERT			DyenDB	066-006	A	066-006
067	ZORE			DyenDB	067-006	A	067-006
068	LESHRA			DyenDB	068-005	A	068-005
069	DORE			DyenDB	069-203	A	069-203
070	AY			DyenDB	070-212	A	070-212
071	KRYE			DyenDB	071-003	A	071-003
072	ME DEGJUAR			DyenDB	072-209	A	072-209
073	ZEMER			DyenDB	073-002	A	073-002
074	I, E RENDE			DyenDB	074-002	A	074-002
075	KETU			DyenDB	075-005	A	075-005
076	ME GODITUR			DyenDB	076-003	A	076-003
077	ME MBAJTUR			DyenDB	077-008	A	077-008
079	SI			DyenDB	079-200	A	079-200
080	ME GJUAJTUR			DyenDB	080-203	A	080-203
081	BURRE, SHOG			DyenDB	081-211	A	081-212
082	UNE			DyenDB	082-200	A	082-200
083	AKULL			DyenDB	083-008	A	083-008
084	ME GOFTI SE			DyenDB		A	
085	NE, BRENDA			DyenDB	085-207	A	085-208
086	ME VRARE			DyenDB	086-010	A	086-010
088	ME DITUR			DyenDB	088-205	A	088-205
089	LIGEN, GJOL			DyenDB	089-204	A	089-204
090	ME GESHUR			DyenDB	090-201	A	090-201
091	FLETE			DyenDB	091-209	A	091-209
092	I, E MENGJER			DyenDB	092-012	A	092-012
093	KOFSHE			DyenDB		A	
094	ME U SHTRIRE			DyenDB	094-007	A	094-007
095	ME RROJTUR			DyenDB	095-004	A	095-004
096	MELCI			DyenDB	096-007	A	096-007
097	I, E GJATHE			DyenDB	097-203	A	097-203
098	MOZ			DyenDB	098-004	A	098-004
099	BURRE			DyenDB	099-203	A	099-213
100	SHUME			DyenDB	100-005	A	100-005
101	MISH			DyenDB	101-007	A	101-007
103	NENE			DyenDB	103-209	A	103-211
104	MAL			DyenDB	104-007	A	104-007
105	GOJE			DyenDB	105-004	A	105-004
106	EMER			DyenDB	106-003	A	106-003
107	I, E NGUSHTE			DyenDB	107-003	A	107-003
108	AFER			DyenDB	108-011	A	108-011
109	GAFE			DyenDB	109-208	A	109-208
110	I, E RI			DyenDB	110-003	A	110-003
111	NATE			DyenDB	111-004	A	111-004
112	HUNDE			DyenDB	112-008	A	112-008
113	NUK			DyenDB	113-005	A	113-005
114	I, E YETER, PLAK			DyenDB	114-009	A	114-009
115	NJE			DyenDB	115-202	A	115-202
116	TJETER			DyenDB	116-005	A	116-005
117	NJERI			DyenDB	117-003	A	117-003
118	ME LOJTUR			DyenDB	118-007	A	118-007
119	ME HEGUR			DyenDB	119-009	A	119-009
120	ME SHTYRE			DyenDB	120-200	A	120-200
121	ME RENE SHI			DyenDB	121-012	A	121-012
122	I, E KUG			DyenDB	122-011	A	122-011
123	I, E DREJTE			DyenDB	123-005	A	123-005
124	I, E DJATHTE			DyenDB	124-002	A	124-002
125	LUME			DyenDB	125-009	A	125-009
126	UDHE			DyenDB	126-206	A	126-208
127	RENJE			DyenDB	127-003	A	127-003
128	LITAR			DyenDB	128-013	A	128-013
129	I, E KALBUR			DyenDB	129-203	A	129-203
131	ME FERKUAR			DyenDB	131-007	A	131-007
132	KRIPE			DyenDB	132-005	A	132-005
133	SHUR			DyenDB	133-011	A	133-011
134	ME THENE			DyenDB	134-012	A	134-012
135	ME GERVROHTUR			DyenDB		A	
136	DET			DyenDB	136-205	A	136-205
137	ME PARE			DyenDB	137-005	A	137-005
138	FARE			DyenDB	138-006	A	138-006
139	ME GEPUR			DyenDB	139-007	A	139-007
140	I, E MPREHTE			DyenDB	140-200	A	140-200
141	I, E SHKURTER			DyenDB	141-010	A	141-010
142	ME KENDUAR			DyenDB	142-009	A	142-009
143	ME U UNJUR			DyenDB	143-003	A	143-003
144	LEKURE			DyenDB	144-003	A	144-003
145	GIELL			DyenDB	145-004	A	145-004
146	ME FJETUR			DyenDB	146-010	A	146-010
147	I, E VOGEL			DyenDB	147-009	A	147-009
148	ME MANE ERE			DyenDB	148-006	A	148-006
149	TYM			DyenDB	149-201	A	149-201
150	I, E BUTE			DyenDB		A	
151	GJARPER			DyenDB	151-010	A	151-010
152	DHBORE			DyenDB	152-005	A	152-005
153	DISA			DyenDB	153-006	A	153-006
154	ME PESHTYRE			DyenDB	154-002	A	154-002
155	ME CARE			DyenDB	155-007	A	155-007
156	ME SHTRYDHUR			DyenDB	156-016	A	156-016
157	ME CPUAR			DyenDB	157-005	A	157-005
158	ME PENDRUAR			DyenDB		A	
159	YLL			DyenDB	159-006	A	159-006
160	SHKOP			DyenDB	160-009	A	160-009
161	GUR			DyenDB	161-007	A	161-007
162	I, E DREJTE			DyenDB	162-012	A	162-012
163	ME THETHIRE			DyenDB	163-007	A	163-007
164	DIELLE			DyenDB	164-004	A	164-004
165	ME U FRYRE			DyenDB	165-011	A	165-011
166	ME NOTUAR			DyenDB	166-009	A	166-009
167	BISHT			DyenDB	167-017	A	167-017
168	AJO			DyenDB	168-200	A	168-200
169	ATJE			DyenDB	169-203	A	169-203
