ID	source_form	phon_form	notes	source	cognate_class	reliability
001	GITHE			DyenDB	001-008	A
002	DHE			DyenDB	002-007	A
003	KAFSE			DyenDB	003-003	A
004	HI			DyenDB	004-010	A
005	NE			DyenDB	005-003	A
006	KURIS			DyenDB	006-214	A
007	ILIK			DyenDB	007-215	A
008	CIPE			DyenDB		A
009	SE			DyenDB	009-205	A
010	BARK			DyenDB	010-005	A
011	I-MATH			DyenDB	011-200	A
012	ZOK			DyenDB	012-004	A
013	KAFSON, AOR. KAFSOVA			DyenDB	013-004	A
014	I-ZI			DyenDB	014-011	A
015	GAK			DyenDB	015-007	A
016	FRYN, AOR. FRYVA			DyenDB	016-004	A
017	KOCKE			DyenDB	017-007	A
019	MAR FRYME, MORA FRYME KAM			DyenDB	019-004	A
020	DIGEM, AOR. UDOGA			DyenDB	020-204	A
021	FOSNE			DyenDB	021-015	A
022	RE			DyenDB	022-002	A
023	FTOTE			DyenDB	023-008	A
024	VIN, AOR. ERDHA			DyenDB	024-208	A
025	NEMERON, AOR. NEMEROVA			DyenDB	025-008	A
026	PRES, AOR. PREVA			DyenDB	026-005	A
027	DITE			DyenDB	027-003	A
028	VDES, AOR. VDIKA			DyenDB	028-004	A
029	MIN, AOR. MIVA			DyenDB		A
030	FELIKUR			DyenDB		A
031	KEN, BUSTER			DyenDB	031-009	A
032	PI, AOR. PIVA			DyenDB	032-004	A
033	I-THAT			DyenDB	033-003	A
034	E-PAPREHUR			DyenDB	034-012	A
035	PLUHUR			DyenDB	035-002	A
036	VES			DyenDB	036-002	A
037	DHE			DyenDB	037-200	A
038	HA, AOR. HENGERA			DyenDB	038-200	A
039	KOKOVE			DyenDB	039-006	A
040	SY			DyenDB	040-007	A
041	BIE, AOR. RAS			DyenDB	041-011	A
042	LARK			DyenDB	042-005	A
043	DHJAME			DyenDB	043-208	A
044	BABA			DyenDB	044-214	A
045	TREMBEM, AOR. UTREMBA			DyenDB	045-008	A
046	PENDE			DyenDB	046-004	A
047	PAK			DyenDB	047-006	A
048	LEFTON, AOR. LEFTOVA/ ZIEM, AOR. UZUZE  UZURA			DyenDB	048-007	A
050	ZJAR			DyenDB	050-008	A
051	PESK			DyenDB	051-008	A
052	PESE			DyenDB	052-002	A
053	JAM MBI VALET			DyenDB		A
054	RIETH, AOR. RODHA			DyenDB	054-006	A
055	LULE			DyenDB	055-005	A
056	FLUTURON, AOR. FLUTUROVA			DyenDB	056-007	A
057	MJERGUL			DyenDB	057-004	A
058	KEMBE			DyenDB	058-006	A
059	KATER			DyenDB	059-002	A
060	GRIN, AOR. GRIVA			DyenDB	060-003	A
061	FRUTA (PL.)			DyenDB	061-008	A
063	JAP, AOR. DHASE			DyenDB	063-200	A
064	I-MIRE			DyenDB	064-010	A
065	BAR			DyenDB	065-013	A
066	GELBER			DyenDB	066-006	A
067	ZORE			DyenDB	067-006	A
068	LES			DyenDB	068-005	A
069	DORE			DyenDB	069-203	A
070	AY			DyenDB	070-212	A
071	KOKE			DyenDB		A
072	DEGON, AOR. DEGOVA			DyenDB	072-209	A
073	ZEMER			DyenDB	073-002	A
074	I-RENDE			DyenDB	074-002	A
075	KETU			DyenDB	075-005	A
076	GODIT, AOR. GODITA			DyenDB	076-003	A
077	MBAN, AOR. MBAJTA			DyenDB	077-008	A
079	SI			DyenDB	079-200	A
080	VETE PER GA, GUAN			DyenDB	080-204	A
081	BURE			DyenDB	081-211	A
082	UNE			DyenDB	082-200	A
083	KALKAN			DyenDB		A
084	PO			DyenDB	084-009	A
085	BRENDA			DyenDB	085-209	A
086	VRAS, AOR. VRAVA			DyenDB	086-010	A
088	DI, AOR. DINE			DyenDB	088-205	A
089	GOL			DyenDB	089-205	A
090	KES, AOR. KESA			DyenDB	090-201	A
091	FLETE			DyenDB	091-209	A
092	MENGER			DyenDB	092-012	A
093	KEMBE			DyenDB	093-013	A
094	STRITEM, AOR. USTRITA			DyenDB	094-007	A
095	RON, AOR. ROJTA			DyenDB	095-004	A
096	MELCIA EZEZE			DyenDB	096-007	A
097	I-GATE			DyenDB	097-203	A
098	MOR			DyenDB	098-004	A
099	BURE			DyenDB	099-213	A
100	SUME			DyenDB	100-005	A
101	MIS			DyenDB	101-007	A
103	NENE			DyenDB	103-211	A
104	MAL			DyenDB	104-007	A
105	GOJE			DyenDB	105-004	A
106	EMER			DyenDB	106-003	A
107	NGUSTE			DyenDB	107-003	A
108	AFER			DyenDB	108-011	A
109	KAFE			DyenDB	109-208	A
110	I-IRI (PL. TERIN)			DyenDB	110-003	A
111	NATE			DyenDB	111-004	A
112	UNDE			DyenDB	112-008	A
113	JO, NUK, MOS			DyenDB	113-005	A
114	VJETER			DyenDB	114-009	A
115	NE			DyenDB	115-202	A
116	TJATRE			DyenDB	116-005	A
117	NERI			DyenDB	117-003	A
118	LHOS, AOR. LHOJTA			DyenDB	118-007	A
119	EK, AOR. OKA			DyenDB	119-009	A
120	STYN, AOR. STYVA			DyenDB	120-200	A
121	BIE SI, RA SI, KA RENE SI			DyenDB	121-012	A
122	I-KUK			DyenDB	122-011	A
123	DREK, IDREJTE			DyenDB	123-005	A
124	DJATHE			DyenDB	124-002	A
125	LHUME			DyenDB	125-009	A
126	UDHE			DyenDB	126-208	A
127	RENE			DyenDB	127-003	A
128	TERKUZE			DyenDB	128-012	A
129	KALHBUR			DyenDB	129-203	A
131	FERKON, AOR. FERKOVA			DyenDB	131-007	A
132	KRIPE			DyenDB	132-005	A
133	KUM			DyenDB		A
134	THEM, AOR. THASE			DyenDB	134-012	A
135	KRUAN, AOR. KROVA			DyenDB	135-006	A
136	DET			DyenDB	136-205	A
137	SO, AOR. PASE			DyenDB	137-005	A
138	FARE			DyenDB	138-006	A
139	KEP, AOR. KEPA			DyenDB	139-007	A
140	I-MBRETE			DyenDB	140-200	A
141	SKURTER			DyenDB	141-010	A
142	KENDON, AOR. KENDOVA			DyenDB	142-003	A
143	RI, AOR. NDENA			DyenDB	143-005	A
144	CIPE / LHEKURE			DyenDB	144-003	A
145	KIEL			DyenDB	145-004	A
146	FLE, AOR. FLEJTA			DyenDB	146-010	A
147	I-VOGELH-I			DyenDB	147-009	A
148	MBAN ERE, AOR. MBAJTA			DyenDB	148-006	A
149	TYM			DyenDB	149-201	A
150	I-FERKUAR			DyenDB		A
151	GARPER			DyenDB	151-010	A
152	TEBORE			DyenDB	152-005	A
153	CA			DyenDB	153-204	A
154	PSTYT, AOR. PSTYTA			DyenDB	154-002	A
155	CAN, CAJTA = AOR.			DyenDB	155-008	A
156	STRYTH, AOR. STRYDHA			DyenDB	156-016	A
157	CPON, AOR. CPOVA			DyenDB	157-005	A
158	RI NE KEMBE			DyenDB	158-003	A
159	YL			DyenDB	159-006	A
160	SKOP			DyenDB	160-009	A
161	GUR			DyenDB	161-007	A
162	DREJTE			DyenDB	162-012	A
163	THETHIN, AOR. THETHIVA			DyenDB	163-007	A
164	DIEL			DyenDB	164-004	A
165	ENTEM, AOR. UENTA			DyenDB	165-102	C
166	BEN MNOTE, AOR. BERA MNOTE			DyenDB	166-009	A
167	BIST			DyenDB	167-017	A
168	AY, AJO, ATA			DyenDB	168-200	A
169	ATJE			DyenDB	169-203	A
170	ATA, ATO			DyenDB	170-200	A
171	TRASE			DyenDB	171-004	A
172	HOLE			DyenDB	172-006	A
173	MEJTO(H)EM ( ), AOR. MEJTOVA			DyenDB		A
174	KY, KJO			DyenDB	174-200	A
175	TI			DyenDB	175-200	A
176	TRI (GRA)			DyenDB	176-002	A
177	ETH, AOR. ODHA			DyenDB		A
178	LITH, AOR. LIDHA			DyenDB	178-200	A
179	GUE			DyenDB	179-201	A
180	DHEMP			DyenDB	180-002	A
181	PEME			DyenDB		A
182	KTHENEM, AOR. UKTHEVA			DyenDB	182-012	A
183	DY			DyenDB	183-002	A
184	VIEL, AOR. VOTA			DyenDB	184-007	A
185	ECEN, AOR. ECA			DyenDB	185-012	A
186	NGROTE			DyenDB	186-002	A
187	LHAN, AOR. LHAVA			DyenDB	187-008	A
188	UJE			DyenDB	188-004	A
189	NEVE, NE			DyenDB	189-002	A
190	LHAGUR-I			DyenDB	190-008	A
191	CE			DyenDB	191-003	A
192	KUR			DyenDB	192-200	A
193	KU			DyenDB	193-200	A
194	I-BARDHE			DyenDB	194-004	A
195	KUS, CILI			DyenDB	195-200	A
196	I-GERE			DyenDB	196-002	A
197	GRUA			DyenDB	197-205	A
198	ERE			DyenDB	198-002	A
199	KRA			DyenDB	199-011	A
200	FSI, AOR. FSIVA			DyenDB	200-007	A
201	ME			DyenDB	201-204	A
202	GRUA			DyenDB	202-203	A
203	KORIE, PYL			DyenDB	203-006	A
204	GELHISTER / KRIMP			DyenDB	204-200	A
205	JURE			DyenDB	205-200	A
206	VIT			DyenDB	206-007	A
207	I-VERDHE			DyenDB	207-007	A
