ID	source_form	phon_form	notes	source	cognate_class	reliability
1	BOLOR			DyenDB	001-007	A
2	YEV			DyenDB	002-011	A
3	ANASOON			DyenDB	003-001	A
4	MOGHIR			DyenDB	004-011	A
5	MOD			DyenDB	005-102	A
6	EDEV			DyenDB	006-001	A
7	GESH			DyenDB	007-001	A
8	GEGHEV			DyenDB	008-100	A
9	KANZI			DyenDB	009-001	A
10	POR			DyenDB	010-001	A
11	MEDZ			DyenDB	011-200	A
12	TURCHUN			DyenDB	012-007	A
14	SEV			DyenDB	014-007	A
15	AROON			DyenDB	015-006	A
17	VOSGOR			DyenDB	017-200	A
21	MANOOG			DyenDB	020-010	A
22	AMB			DyenDB	021-207	A
23	BAKH			DyenDB	022-001	A
27	ORR			DyenDB	026-006	A
30	AGHDOD			DyenDB	029-001	A
31	SHUN			DyenDB	030-003	A
33	CHOR			DyenDB	032-201	A
35	POSHEE			DyenDB	034-003	A
36	AGUNCH			DyenDB	035-200	A
37	YERGIR, KEDIN			DyenDB	036-001	A
39	HAVGIT			DyenDB	038-001	A
40	ASHK			DyenDB	039-002	A
42	HERU			DyenDB	041-200	A
43	GER			DyenDB	042-400	A
44	HIRE			DyenDB	043-209	A
46	PEDUR			DyenDB	045-204	A
47	KANI			DyenDB	046-001	A
50	GURAG			DyenDB	048-001	A
51	ZOOK			DyenDB	049-004	A
52	HING			DyenDB	050-002	A
55	ZAGHEG			DyenDB	053-001	A
57	MEK			DyenDB	055-200	A
58	VODK			DyenDB	056-200	A
59	CHORSE			DyenDB	057-002	A
61	BUDUGH			DyenDB	059-001	A
64	BARI (PERSON)			DyenDB	061-001	A
65	KHOD			DyenDB	062-010	A
66	GANANCH			DyenDB	063-007	A
67	AKHIK			DyenDB	064-101	A
68	MAZ			DyenDB	065-010	A
69	ZARK			DyenDB	066-203	A
71	GALOKH			DyenDB	068-005	A
73	SIRD			DyenDB	070-200	A
74	ZUNNER			DyenDB	071-009	A
75	HOS			DyenDB	072-001	A
77	BURNE			DyenDB	074-100	A
79	INCHBES			DyenDB	075-204	A
81	AMOUSIN			DyenDB	077-004	A
82	YES			DyenDB	078-200	A
83	SAR			DyenDB	079-009	A
84	YETE			DyenDB	080-001	A
85	MECHE			DyenDB	081-200	A
88	KIDNAL			DyenDB	083-200	A
89	LICH			DyenDB	084-203	A
91	DEREF			DyenDB	086-006	A
92	ZAGH (ZARK)			DyenDB	087-014	A
93	SAROONK			DyenDB	088-001	A
96	LIART (JIYER)			DyenDB	091-008	A
97	YERGAR			DyenDB	092-204	A
98	OCHIL			DyenDB	093-009	A
99	MART			DyenDB	094-203	A
100	SHAD			DyenDB	095-011	A
101	MIS			DyenDB	096-007	A
103	MIRE			DyenDB	097-200	A
104	LEV			DyenDB	098-006	A
105	BERAN			DyenDB	099-005	A
106	ANOON			DyenDB	100-003	A
108	MOD			DyenDB	102-007	A
109	VIZ			DyenDB	103-001	A
110	NOR			DyenDB	104-200	A
111	KISHER			DyenDB	105-005	A
112	KIT			DyenDB	106-003	A
113	VOCH			DyenDB	107-004	A
114	HIN			DyenDB	108-008	A
115	MEG			DyenDB	109-002	A
116	URISH			DyenDB	110-207	A
117	ANTZ			DyenDB	111-008	A
122	GARMIR			DyenDB	116-202	A
123	SHIDAG			DyenDB	117-001	A
125	GED			DyenDB	119-011	A
126	JANBA			DyenDB	120-007	A
127	ARMAD			DyenDB	121-005	A
128	CHUVAN			DyenDB	122-001	A
129	PUDAZ			DyenDB	123-001	A
131	SHUPEL			DyenDB	124-012	A
132	AGH			DyenDB	125-002	A
133	AVAZ			DyenDB	126-010	A
135	KEREL (GERK)			DyenDB	128-008	A
138	SERM			DyenDB	131-001	A
140	SOOR			DyenDB	133-009	A
141	GARJ			DyenDB	134-012	A
144	MORT			DyenDB	137-101	A
145	GULIMA OT			DyenDB	138-001	A
147	BUZDIG			DyenDB	140-001	A
149	MOOGH			DyenDB	142-003	A
150	SHIDAG			DyenDB	143-001	A
151	OTZ			DyenDB	144-200	A
152	SZUN			DyenDB	145-200	A
159	ARD			DyenDB	152-004	A
160	PAYD (I)			DyenDB	153-001	A
161	KAR			DyenDB	154-201	A
162	SHIDAG			DyenDB	155-001	A
164	AREV			DyenDB	157-002	A
167	BOCH			DyenDB	160-018	A
168	AYT			DyenDB	161-200	A
169	HON			DyenDB	162-001	A
170	ANONK			DyenDB	163-003	A
171	HASD (T)			DyenDB	164-001	A
172	BARAK			DyenDB	165-001	A
174	AYS			DyenDB	167-200	A
176	YEREK			DyenDB	169-002	A
13	KHATZNEL			DyenDB	013-400	A
16	PUCHEL (HOV)			DyenDB	016-006	A
19	SHUNCHEL			DyenDB	018-008	A
20	VAREL			DyenDB	019-100	A
24	KAL			DyenDB	023-002	A
25	HASHFEL			DyenDB	024-001	A
26	GUDREL			DyenDB	025-008	A
28	MARNIL			DyenDB	027-003	A
29	PORELL			DyenDB	028-007	A
32	KHIMEL			DyenDB	031-007	A
38	UDELL			DyenDB	037-006	A
41	HANAL			DyenDB	040-101	A
45	VAKHNAL			DyenDB	044-001	A
48	GURVIL			DyenDB	047-001	A
53	DADANIL			DyenDB	051-001	A
54	HOSIL			DyenDB	052-002	A
56	TURCHIL			DyenDB	054-004	A
60	SARIL			DyenDB	058-202	A
63	DAL			DyenDB	060-200	A
72	LUREL			DyenDB	069-205	A
76	ZARNELL			DyenDB	073-008	A
80	VORSAL			DyenDB	076-006	A
86	SBANNELL			DyenDB	082-003	A
90	KHUNTAL			DyenDB	085-001	A
94	SUDEL			DyenDB	089-204	A
95	ABRIL			DyenDB	090-003	A
118	GHAGHAL			DyenDB	112-010	A
119	KASHEL			DyenDB	113-008	A
120	HUREL			DyenDB	114-014	A
121	ANZREV			DyenDB	115-008	A
134	USELL			DyenDB	127-006	A
137	DESNEL			DyenDB	130-009	A
139	GAREL			DyenDB	132-009	A
142	YERKEL			DyenDB	135-008	A
143	NUSDEL			DyenDB	136-004	A
146	KUNANAL			DyenDB	139-200	A
148	HOD (HOD USKAL)			DyenDB	141-205	A
154	TUKNEL			DyenDB	147-205	A
155	JEGHKEL			DyenDB	148-001	A
157	ZARNEL			DyenDB	150-102	A
158	GAYNEL			DyenDB	151-001	A
163	KASHEL			DyenDB	156-006	A
165	SURIL			DyenDB	158-100	A
166	LOGHAL			DyenDB	159-012	A
173	GHORIL			DyenDB	166-001	A
177	NEDEL			DyenDB	170-001	A
178	GABEL			DyenDB	171-008	A
182	TARNEL			DyenDB	175-006	A
184	PISKEL			DyenDB	177-006	A
185	KALEB			DyenDB	178-001	A
187	LUVAL			DyenDB	180-010	A
179	LEZOO			DyenDB	172-200	A
180	AGRA			DyenDB	173-001	A
181	SZAR			DyenDB	174-002	A
183	YERGU			DyenDB	176-002	A
186	DAK			DyenDB	179-001	A
188	CZOOR			DyenDB	181-006	A
189	MENK			DyenDB	182-002	A
190	TATZ			DyenDB	183-001	A
191	INCH			DyenDB	184-003	A
192	YERP			DyenDB	185-003	A
193	OOR			DyenDB	186-203	A
194	SBIDAG			DyenDB	187-006	A
195	OV			DyenDB	188-200	A
196	LINE			DyenDB	189-203	A
197	GIN			DyenDB	190-200	A
198	HOV			DyenDB	191-001	A
199	TEV			DyenDB	192-008	A
200	SURPEL			DyenDB	193-001	A
201	HED			DyenDB	194-003	A
202	GIN			DyenDB	195-204	A
203	ANDAR			DyenDB	196-005	A
204	VORT			DyenDB	197-003	A
205	TOOK			DyenDB	198-004	A
206	DARI			DyenDB	199-012	A
207	TEKHIN			DyenDB	200-001	A
