ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	BOLOR			DyenDB	001-007	A	001-007
002	EW			DyenDB	002-011	A	002-011
003	KENDANI			DyenDB		A	
004	MOXIR			DyenDB	004-011	A	004-011
005	HET			DyenDB		A	
006	T`IKUNK`			DyenDB		A	
007	VAT`			DyenDB		A	
008	KETEW			DyenDB	008-100	C	008-100
009	OROVHETEW			DyenDB		A	
011	MEC			DyenDB	011-200	A	011-200
012	T`RC`UN			DyenDB	012-007	A	012-007
013	KCEL			DyenDB	013-400	C	013-400
014	SEW			DyenDB	014-007	A	014-007
015	ARYUN			DyenDB	015-006	A	015-006
016	P`C`EL			DyenDB	016-006	A	016-006
017	OSKOR			DyenDB	017-200	A	017-200
019	SNJEL			DyenDB	019-008	A	019-008
020	AYREL			DyenDB	020-100	C	020-100
021	MANUK, EREXA			DyenDB	021-010	A	021-010
022	AMP			DyenDB	022-207	A	022-207
023	C`URT			DyenDB		A	
024	GAL			DyenDB	024-002	A	024-002
025	HAMREL, T`VEL			DyenDB		A	
026	KTREL			DyenDB	026-008	A	026-008
027	OR			DyenDB	027-006	A	027-006
028	MERNEL			DyenDB	028-003	A	028-003
029	P`OREL			DyenDB	029-007	A	029-007
030	KELTOT			DyenDB		A	
031	SUN			DyenDB	031-003	A	031-003
032	EMPEL, XMEL			DyenDB	032-007	A	032-007
033	C`OR			DyenDB	033-201	A	033-201
034	BUT`			DyenDB		A	
035	POSI			DyenDB	035-003	A	035-003
036	AKANJ			DyenDB	036-200	A	036-200
037	HOL			DyenDB		A	
038	UTEL			DyenDB	038-006	A	038-006
039	JU			DyenDB	039-007	A	039-007
040	AC`K`			DyenDB	040-002	A	040-002
041	ENKNEL			DyenDB	041-101	C	041-101
042	HERU			DyenDB	042-200	A	042-200
043	CARP			DyenDB		A	
044	HAYR			DyenDB	044-209	A	044-210
046	T`EW			DyenDB		A	
047	K`IC`			DyenDB	047-101	C	047-101
048	PAYK`AR, KRIW			DyenDB		A	
050	KRAK, HUR			DyenDB	050-003	A	050-003
051	JUK			DyenDB	051-004	A	051-004
052	HING			DyenDB	052-002	A	052-002
053	LUAL			DyenDB		A	
054	HOSEL			DyenDB	054-002	A	054-002
055	CATIK			DyenDB	055-100	C	055-100
056	T`RC`EL			DyenDB	056-004	A	056-004
057	MSUS			DyenDB		A	
058	OT			DyenDB	058-200	A	058-200
059	C`ORS			DyenDB	059-002	A	059-002
060	SAREL, SARECNEL			DyenDB	060-202	A	060-202
063	TAL			DyenDB	063-200	A	063-200
064	LAV			DyenDB	064-100	C	064-100
065	XOT			DyenDB	065-010	A	065-010
066	KANAC`			DyenDB	066-007	A	066-007
067	ALI			DyenDB	067-101	C	067-101
068	MAZ, HER, GES			DyenDB	068-010	A	068-010
069	JERK`			DyenDB	069-203	A	069-203
070	NA			DyenDB	070-200	A	070-200
071	GLUX			DyenDB	071-005	A	071-005
072	LSEL			DyenDB	072-205	A	072-205
073	SIRT			DyenDB	073-200	A	073-200
074	CANR			DyenDB	074-009	A	074-009
075	AYSTEL			DyenDB		A	
076	XPEL, ZARKEL			DyenDB	076-008	A	076-008
077	UNEL			DyenDB		A	
079	INC`PES			DyenDB	079-204	A	079-204
080	ORSAL			DyenDB	080-006	A	080-006
081	AMUSIN			DyenDB	081-004	A	081-004
082	ES			DyenDB	082-200	A	082-200
083	SAROYC`			DyenDB	083-009	A	083-009
085	MEJ			DyenDB	085-200	A	085-202
086	SPANEL			DyenDB	086-003	A	086-003
088	GITENAL			DyenDB	088-200	A	088-200
089	LIC			DyenDB	089-203	A	089-203
090	CICAL			DyenDB	090-006	A	090-006
091	TEREW			DyenDB	091-006	A	091-006
092	JAX			DyenDB	092-014	A	092-014
093	OT			DyenDB	093-200	A	093-200
094	PARKEL			DyenDB		A	
