ID	source_form	phon_form	notes	source	cognate_class	reliability
1	VSEKI			DyenDB	001-002	A
2	I			DyenDB	002-200	A
3	ZV AR			DyenDB	003-200	A
4	PEPEL			DyenDB	004-003	A
5	U			DyenDB	005-200	A
6	GRUB			DyenDB	006-004	A
7	ZUL			DyenDB	007-207	A
8	KORA			DyenDB	008-202	A
9	ZASTOTO			DyenDB	009-208	A
10	TURBUCH			DyenDB	010-004	A
11	GOL AM			DyenDB	011-003	A
12	PTICA			DyenDB	012-207	A
14	CEREN			DyenDB	014-004	A
15	KRUV			DyenDB	015-005	A
17	KOST			DyenDB	017-201	A
21	DETE			DyenDB	020-004	A
22	OBLAK			DyenDB	021-206	A
23	STUDEN			DyenDB	022-200	A
27	DEN			DyenDB	026-003	A
30	MRUSEN			DyenDB	029-007	A
31	PES			DyenDB	030-200	A
33	SUCH			DyenDB	032-205	A
34	TUP			DyenDB	033-002	A
35	PRACH			DyenDB	034-200	A
36	UCHO			DyenDB	035-200	A
37	ZEM A			DyenDB	036-200	A
39	JAJCE			DyenDB	038-007	A
40	OKO			DyenDB	039-002	A
42	DALEK			DyenDB	041-205	A
43	MAZ			DyenDB	042-204	A
44	BASTA			DyenDB	043-002	A
46	PERO			DyenDB	045-200	A
50	OGUN			DyenDB	048-004	A
51	RIBA			DyenDB	049-003	A
52	PET			DyenDB	050-002	A
55	CVETE			DyenDB	053-200	A
57	MUGLA			DyenDB	055-200	A
58	KRAK			DyenDB	056-005	A
59	CETIRI			DyenDB	057-002	A
64	DOBUR			DyenDB	061-004	A
65	TREVA			DyenDB	062-006	A
66	ZELEN			DyenDB	063-200	A
67	CERVO			DyenDB	064-003	A
68	VLAS			DyenDB	065-203	A
69	RUKA			DyenDB	066-005	A
70	TOJ			DyenDB	067-200	A
71	GLAVA			DyenDB	068-002	A
73	SURCE			DyenDB	070-200	A
74	TEZUK			DyenDB	071-007	A
75	TUK			DyenDB	072-211	A
77	DURZA			DyenDB	074-010	A
79	KAK			DyenDB	075-200	A
81	MUZ			DyenDB	077-206	A
82	AZ			DyenDB	078-200	A
83	LED			DyenDB	079-204	A
84	AKO			DyenDB	080-203	A
85	V			DyenDB	081-200	A
88	ZANJA			DyenDB	083-200	A
89	EZERO			DyenDB	084-002	A
91	LIST			DyenDB	086-002	A
92	L AV			DyenDB	087-009	A
93	KRAK			DyenDB	088-012	A
96	CEREN DROB			DyenDB	091-204	A
97	DULUG			DyenDB	092-200	A
98	VUSKA			DyenDB	093-203	A
99	COVEK			DyenDB	094-203	A
100	MNOGO			DyenDB	095-200	A
101	MESO			DyenDB	096-007	A
103	MAJKA			DyenDB	097-212	A
104	PLANINA			DyenDB	098-203	A
105	USTA			DyenDB	099-200	A
106	IME			DyenDB	100-003	A
107	TESEN			DyenDB	101-200	A
108	BLIZUK			DyenDB	102-002	A
109	SIJA			DyenDB	103-200	A
110	NOV			DyenDB	104-200	A
111	NOST			DyenDB	105-004	A
112	NOS			DyenDB	106-005	A
113	NE			DyenDB	107-005	A
114	STAR			DyenDB	108-002	A
115	EDIN			DyenDB	109-200	A
116	DRUG			DyenDB	110-200	A
117	LICE			DyenDB	111-200	A
122	CERVEN			DyenDB	116-005	A
123	PRAV			DyenDB	117-002	A
125	REKA			DyenDB	119-003	A
126	PUT			DyenDB	120-004	A
127	KOREN			DyenDB	121-004	A
128	VRUV			DyenDB	122-005	A
129	GNIL			DyenDB	123-004	A
131	TRIJA			DyenDB	124-003	A
132	SOL			DyenDB	125-002	A
133	P ASUK			DyenDB	126-002	A
135	CESA			DyenDB	128-200	A
