ID	source_form	phon_form	notes	source	cognate_class
1	UVES			DyenDB	2
4	POPEL			DyenDB	3
6	CHRYBET			DyenDB	4
9	TAMU STO			DyenDB	12
11	V ALIKI			DyenDB	6
13	KUSAC			DyenDB	11
14	CORNY			DyenDB	4
15	KROU			DyenDB	5
16	DZ MUC			DyenDB	3
19	DYCHAC			DyenDB	2
21	DZIC A			DyenDB	4
25	LICYC			DyenDB	6
27	DZEN			DyenDB	3
28	MERCI			DyenDB	3
30	HRAZKI			DyenDB	14
32	PIC			DyenDB	4
34	TUPY			DyenDB	2
38	JESCI			DyenDB	6
39	JAJCO			DyenDB	7
40	VOKA			DyenDB	2
44	BAC KA			DyenDB	2
48	VAJAVAC			DyenDB	11
50	AHON			DyenDB	4
51	RYBA			DyenDB	3
52	P AC			DyenDB	2
54	C ACY			DyenDB	4
58	NAHA			DyenDB	3
59	CATYRY			DyenDB	2
60	MAROZIC			DyenDB	5
64	DOBRY			DyenDB	4
65	TRAVA			DyenDB	6
67	KISKA			DyenDB	2
69	RUKA			DyenDB	5
71	HALAVA			DyenDB	2
74	C AZKI			DyenDB	7
77	TRYMAC			DyenDB	5
80	PAL AVAC			DyenDB	5
86	ZABIC			DyenDB	8
89	VOZERA			DyenDB	2
90	SM ACCA			DyenDB	4
91	LIST			DyenDB	2
92	LEVY			DyenDB	9
93	HAL ONKA			DyenDB	15
94	L AZAC			DyenDB	3
95	ZYC			DyenDB	5
96	PECAN			DyenDB	5
101	M ASA			DyenDB	7
105	ROT			DyenDB	2
106	IM A			DyenDB	3
108	BLIZKI			DyenDB	2
111	NOC			DyenDB	4
112	NOS			DyenDB	5
113	NE			DyenDB	5
114	STARY			DyenDB	2
117	ASOBA			DyenDB	2
118	HUL AC			DyenDB	9
120	PCHAC			DyenDB	5
121	DOZDZ			DyenDB	3
122	CYRVONY			DyenDB	5
123	PRAVNY			DyenDB	2
125	RAKA			DyenDB	3
127	KORAN			DyenDB	4
128	V AROUKA			DyenDB	5
129	HNILY			DyenDB	4
131	CERCI			DyenDB	3
132	SOL			DyenDB	2
133	P ASOK			DyenDB	2
137	BACYC			DyenDB	6
141	KAROTKI			DyenDB	12
142	PEC			DyenDB	6
145	NEBA			DyenDB	2
147	MALY			DyenDB	11
151	ZM AJA			DyenDB	4
152	SNEH			DyenDB	4
155	LAMAC			DyenDB	5
156	HN ASCI			DyenDB	5
157	KALOC			DyenDB	6
159	ZARA			DyenDB	2
160	PALKA			DyenDB	2
161	KAMEN			DyenDB	6
166	PLAVAC			DyenDB	3
167	CHVOST			DyenDB	7
176	TRY			DyenDB	2
178	V AZAC			DyenDB	2
180	ZUB			DyenDB	2
183	DVA			DyenDB	2
184	RVAC			DyenDB	5
185	ISCI			DyenDB	16
186	C OPLY			DyenDB	6
188	VADA			DyenDB	4
189	MY			DyenDB	2
190	MOKRY			DyenDB	7
191	STO			DyenDB	3
192	KALI			DyenDB	4
196	SYROKI			DyenDB	5
199	KRYLO			DyenDB	3
200	VYCIRAC			DyenDB	4
206	HOD			DyenDB	5
