ID	source_form	phon_form	notes	source	cognate_class	reliability
1	SOB			DyenDB	202	A
2	AR, EBON			DyenDB	4	A
3	JANOAR, JONTU			DyenDB	203	A
4	CHAI			DyenDB		A
6	PIT			DyenDB	6	A
7	KHARAP			DyenDB	200	A
8	CHAL			DyenDB	202	A
9	KARON			DyenDB	4	A
10	PET			DyenDB	212	A
11	BORO			DyenDB	204	A
12	PAKHI			DyenDB	203	A
14	KALO			DyenDB	2	A
15	ROKTO			DyenDB	200	A
17	HAR			DyenDB	203	A
21	BACCA			DyenDB	5	A
22	MEG			DyenDB	210	A
23	THANDA			DyenDB	4	A
27	DIN			DyenDB	3	A
30	MOELA			DyenDB	211	A
31	KUKUR			DyenDB	4	A
33	SUKNO			DyenDB	205	A
34	BHOTA			DyenDB	203	A
35	DHULA			DyenDB	206	A
36	KAN			DyenDB	3	A
37	MATI			DyenDB	211	A
39	ANDA			DyenDB	2	A
40	COK			DyenDB	3	A
42	DUR			DyenDB	7	A
43	CORBI			DyenDB	7	A
44	BABA, BAP			DyenDB	200	A
46	PALOK			DyenDB		A
47	OLPO			DyenDB		A
50	AGUN			DyenDB	4	A
51	MAC			DyenDB	2	A
52	PAC			DyenDB	2	A
55	PHUL			DyenDB	4	A
57	KUASA			DyenDB		A
58	PA			DyenDB	200	A
59	CAR			DyenDB	2	A
61	PHOL			DyenDB	2	A
64	BHALO			DyenDB	200	A
65	GHAS			DyenDB	8	A
66	SOBUJ			DyenDB	2	A
67	NARIBHURI			DyenDB		A
68	KES			DyenDB	203	A
69	HAT			DyenDB	200	A
70	SE			DyenDB	200	A
71	MATHA			DyenDB	205	A
73	BUK			DyenDB		A
74	BHARI			DyenDB	200	A
75	EKHANE			DyenDB	208	A
77	DHORA			DyenDB	10	A
79	KEMON			DyenDB	200	A
81	SAMI			DyenDB	9	A
82	AMI			DyenDB	200	A
83	BOROP			DyenDB	202	A
84	JODI			DyenDB	203	A
85	ONDOR			DyenDB	200	A
88	JANA			DyenDB	200	A
89	BIL			DyenDB		A
91	PATA			DyenDB	5	A
92	BA, BAM			DyenDB	203	B
93	PA			DyenDB	200	A
96	KOLJE			DyenDB	200	A
97	LOMBA			DyenDB	3	A
98	UKUN			DyenDB	8	A
99	PURUS			DyenDB	203	A
100	ONEK			DyenDB	100	A
101	MANSO			DyenDB	7	A
103	MA			DyenDB	200	A
104	PORBOT			DyenDB	206	A
105	MUK			DyenDB	200	A
106	NAM			DyenDB	3	A
107	SORU			DyenDB	212	B
108	KACE			DyenDB		A
109	GHAR, GORDAN			DyenDB	209	B
110	NOTUN, NOEA			DyenDB	200	A
111	RAT			DyenDB	3	A
112	NAK			DyenDB	5	A
113	NA			DyenDB	5	A
114	BURO (ANIMATE), PURONO (INANIMATE)			DyenDB	200	A
115	EK			DyenDB	200	A
116	ONNO			DyenDB	205	B
117	LOK			DyenDB	209	A
122	LAL			DyenDB	2	A
123	THIK			DyenDB	7	A
124	DAN			DyenDB	201	B
125	NODI			DyenDB	203	A
126	SOROK, RASTA			DyenDB	200	A
127	SEKOR			DyenDB		A
128	DORI			DyenDB	3	A
129	POCE+JAOA (TO ROT)			DyenDB		A
131	GHOSA			DyenDB	200	A
132	NUN, LOBON			DyenDB	200	A
133	BALU			DyenDB	200	A
136	SAMUDRO, SAGOR			DyenDB	5	A
138	BIJ, BICI			DyenDB	2	A
140	DHARALO			DyenDB	3	A
141	KHATO			DyenDB	100	A
144	CAM			DyenDB	206	A
145	AKAS, ASMAN			DyenDB	6	A
147	CHOTO			DyenDB	204	A
149	DHOA, DHUO			DyenDB	200	A
150	TELA			DyenDB		A
151	SAP			DyenDB	6	A
152	BOROP			DyenDB	2	A
153	KICU			DyenDB	204	A
159	TARA			DyenDB	4	A
160	LATHI			DyenDB	200	A
161	PATHOR			DyenDB	9	A
162	SOJA			DyenDB	4	A
164	SUJJO, SURJO			DyenDB	203	A
167	LEJ			DyenDB		A
168	SETA, OTA			DyenDB	200	A
169	OKHANE			DyenDB	203	A
170	ORA ORA			DyenDB	210	A
171	MOTA			DyenDB	200	A
172	PATLA, ROGA			DyenDB	200	A
174	ETA			DyenDB		A
175	TUMI			DyenDB	200	A
176	TIN			DyenDB	2	A
13	CIBONO			DyenDB	102	A
16	BOOA			DyenDB		A
19	SAS+PHELA			DyenDB	8	A
20	PORA, JOLA			DyenDB	209	A
24	ASA			DyenDB		A
25	GONA			DyenDB	2	A
26	KATA			DyenDB	200	A
28	MORA			DyenDB	3	A
29	KHODAI+KORA			DyenDB	9	A
32	KHAOA			DyenDB	2	A
38	KHAOA			DyenDB	200	A
41	PORA			DyenDB	203	A
45	BHOE+PAOA			DyenDB	200	A
48	LORA			DyenDB	2	A
53	BHASA			DyenDB		A
54	BOOA			DyenDB	215	B
56	ORA			DyenDB	200	A
60	JOMAT+BADHANO			DyenDB	4	A
63	DEOA			DyenDB	200	A
72	SONA			DyenDB	205	A
76	MARA			DyenDB	210	A
80	SIKAR+KORA			DyenDB	4	A
86	MARA			DyenDB	200	A
90	HASA			DyenDB	7	A
94	SOA			DyenDB	203	A
