ID	source_form	phon_form	notes	source	cognate_class	reliability
1	AN HOLL			DyenDB	6	A
2	HA, HAG			DyenDB	6	A
3	ANEVAL, LOEN			DyenDB	4	A
4	LUDU			DyenDB	5	A
5	E, EN			DyenDB	200	A
6	KEIN			DyenDB	7	A
7	FALL, GWALL-, FALS-			DyenDB	8	A
8	RUSK			DyenDB	3	A
9	DRE MA, RAK MA, O VEZA MA			DyenDB	8	A
10	KOF			DyenDB	2	A
11	BRAS			DyenDB	207	A
12	EVN, LABOUS			DyenDB	6	A
14	DU			DyenDB	6	A
15	GWAD			DyenDB	2	A
17	ASKOURN			DyenDB	200	A
21	BUGEL			DyenDB	12	A
22	KOUMOUL, KOC'HENN			DyenDB	7	A
23	YEN			DyenDB	7	A
27	DEIZ, DE(Z)			DyenDB	3	A
30	LOUS, LOUAN, LOUDOUR, FANK, LASTEZ-, LOUI-DIK.			DyenDB	12	A
31	KI			DyenDB	3	A
33	SEC'H			DyenDB	2	A
34	(TO LOSE SHARPNESS) DALLA, KIZA, TALTOUZA,			DyenDB	6	A
35	POULTR			DyenDB	7	A
36	SKOUARN			DyenDB	4	A
37	DOUAR			DyenDB	208	A
39	VI			DyenDB	7	A
40	LAGAD			DyenDB	4	A
42	PELL, DIABELL, LARK			DyenDB	4	A
43	LARD			DyenDB		A
44	TAD			DyenDB	200	A
46	PLUN, PLU			DyenDB	5	A
47	NEBEUT			DyenDB	5	A
50	TAN			DyenDB	6	A
51	PESK			DyenDB	7	A
52	PEMP			DyenDB	2	A
55	BLEUN, BLEUNV			DyenDB	2	A
57	LATAR, LUGENN, LUSENN, MORENN, MOGIDELL, BRUMENN			DyenDB	210	A
58	TROAD			DyenDB	204	A
59	PEVAR (M), PEDER (F)			DyenDB	2	A
61	FROUEZ			DyenDB	9	A
64	MAT			DyenDB	6	A
65	LETON			DyenDB		A
66	GWER, GLAS (ALSO BLUE AND GREY)			DyenDB	200	A
67	BOUZELLOU			DyenDB	5	A
68	BLEO			DyenDB	207	A
69	DOURN			DyenDB	6	A
70	HEN			DyenDB	200	A
71	PENN			DyenDB	4	A
73	KALON			DyenDB	5	A
74	POUNNER			DyenDB	10	A
75	AMAN, DU-MAN			DyenDB	200	A
77	DERC'HEL			DyenDB	6	A
79	PENAOS, PENOS			DyenDB	200	A
81	OZAC'H, PRIED			DyenDB		A
82	ME			DyenDB	200	A
83	SKOURN, SKORN			DyenDB	4	A
84	MA, MAR			DyenDB	5	A
85	E, EN			DyenDB	200	A
88	GOUZOUT, GOUT			DyenDB	200	A
89	LENN, LOUC'H, LOC'H			DyenDB	200	A
91	DEIL			DyenDB	200	A
92	KLEIZ			DyenDB	5	A
93	GARR, GAR			DyenDB	10	A
96	AVU			DyenDB	3	A
97	HIR			DyenDB	4	A
98	LAOU			DyenDB	200	A
99	DEN			DyenDB	200	A
100	KALZ, E-LEIZ, MEURBET			DyenDB	203	A
101	KIG			DyenDB	3	A
103	MAMM			DyenDB	200	A
104	MENEZ			DyenDB	2	A
105	GENOU, BEG			DyenDB	204	A
106	HANO, HANV			DyenDB	3	A
