ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	OL			DyenDB	001-006	A	001-006
002	HA, HAG			DyenDB	002-006	A	002-006
003	LON, ENEVAL			DyenDB	003-004	A	003-004
004	LUDU			DyenDB	004-005	A	004-005
005	E, EN			DyenDB	005-200	A	005-207
006	KEIN			DyenDB	006-007	A	006-007
007	FALL			DyenDB	007-008	A	007-008
008	KLOREN			DyenDB		A	
009	RAK MA			DyenDB	009-008	A	009-008
010	KOV			DyenDB	010-002	A	010-002
011	BRAS			DyenDB	011-207	A	011-207
012	EN			DyenDB	012-006	A	012-006
013	DANTEIN			DyenDB	013-201	A	013-203
014	DU			DyenDB	014-006	A	014-006
015	GOED			DyenDB	015-002	A	015-002
016	HUEHEIN			DyenDB	016-002	A	016-002
017	ASKORN			DyenDB	017-200	A	017-200
019	HANALEIN			DyenDB	019-200	A	019-200
020	LOSKEIN			DyenDB	020-004	A	020-004
021	KROEDUR (PL. BUGALE)			DyenDB	021-012	A	021-012
022	KOGUSEN			DyenDB		A	
023	IEIN			DyenDB	023-007	A	023-007
024	DONET			DyenDB	024-004	A	024-004
025	KONTEIN			DyenDB	025-007	A	025-007
026	TROHEIN			DyenDB	026-003	A	026-003
027	DE			DyenDB	027-003	A	027-003
028	MARUEIN			DyenDB	028-003	A	028-003
029	KLAUEIN			DyenDB	029-200	A	029-200
030	LOUS			DyenDB	030-012	A	030-012
031	KI			DyenDB	031-003	A	031-003
032	IVET			DyenDB	032-004	A	032-004
033	SEH			DyenDB	033-002	A	033-002
034	DALL, TOUGN			DyenDB	034-006	A	034-006
035	HUAN			DyenDB		A	
036	SKOUARN			DyenDB	036-004	A	036-004
037	DOUAR			DyenDB	037-208	A	037-208
038	DEBREIN			DyenDB	038-009	A	038-009
039	UI			DyenDB	039-007	A	039-007
040	LAGAD			DyenDB	040-004	A	040-004
041	KOEHEIN			DyenDB	041-008	A	041-008
042	PELL			DyenDB	042-004	A	042-004
043	DRU, DRUONI			DyenDB	043-004	A	043-004
044	TAD			DyenDB	044-205	A	044-205
045	DOUJEIN, EN DEVOUT EUN RAK			DyenDB	045-006	A	045-006
046	PLUENN			DyenDB	046-005	A	046-005
047	NEBET A			DyenDB	047-005	A	047-005
048	EMGANNEIN			DyenDB	048-010	A	048-010
050	TAN			DyenDB	050-006	A	050-006
051	PESK			DyenDB	051-007	A	051-007
052	PEMP			DyenDB	052-002	A	052-002
053	NEANNEIN			DyenDB	053-004	A	053-004
054	RIDEK, BEREIN			DyenDB	054-005	A	054-005
055	BLEUENN			DyenDB	055-002	A	055-002
056	NEIJAL			DyenDB	056-009	A	056-009
057	BRUMEN			DyenDB	057-210	A	057-210
058	TROED			DyenDB	058-204	A	058-204
059	PEAR (M.), PEDER (F.)			DyenDB	059-002	A	059-002
