ID	source_form	phon_form	notes	source	cognate_class
1	HOLL			DyenDB	6
2	HA, HAG			DyenDB	6
3	LOEN, ANEVAL			DyenDB	4
4	LUDU			DyenDB	5
6	KEIN			DyenDB	7
7	FALL			DyenDB	8
8	RUSK			DyenDB	3
10	KOF			DyenDB	2
12	LABOUS, EVN (NE)			DyenDB	6
14	DU			DyenDB	6
15	GWAD			DyenDB	2
16	C'HWEZHAN			DyenDB	2
21	BUGEL			DyenDB	12
22	KOUMOULENN			DyenDB	7
23	YEN			DyenDB	7
24	DONT			DyenDB	4
25	KONTAN			DyenDB	7
26	TROC'HAN			DyenDB	3
27	DEIZ			DyenDB	3
28	MERVEL			DyenDB	3
30	LOUS			DyenDB	12
31	KI			DyenDB	3
32	EVAN			DyenDB	4
33	SEC'H			DyenDB	2
34	DALL, TOUGN			DyenDB	6
35	POULTRENN			DyenDB	7
36	SKOUARN			DyenDB	4
38	DEBRIN			DyenDB	9
39	VI, UI			DyenDB	7
40	LAGAD			DyenDB	4
41	KOUEZHAN			DyenDB	8
42	PELL			DyenDB	4
43	DRUZONI			DyenDB	4
45	DOUJAN, KAOUT AON RAK			DyenDB	6
46	PLUENN			DyenDB	5
47	NEBEUT A			DyenDB	5
48	EN EM GANNAN			DyenDB	10
50	TAN			DyenDB	6
51	PESK			DyenDB	7
52	PEMP			DyenDB	2
53	NEUIN, NEUNVIAL			DyenDB	4
54	REDEK, BERAN			DyenDB	5
55	BLEUNIENN			DyenDB	2
56	NIJAL			DyenDB	9
59	PEVAR (M.), PEDER (F.)			DyenDB	2
61	FROUEZH			DyenDB	9
64	MAT			DyenDB	6
65	GEOT			DyenDB	5
67	BOUZELLOU			DyenDB	5
69	DORN			DyenDB	6
71	PENN			DyenDB	4
73	KALON			DyenDB	5
74	PONNER			DyenDB	10
76	SKEIN			DyenDB	5
77	DERC'HEL			DyenDB	6
80	CHASEAL			DyenDB	3
81	GWAZ			DyenDB	2
83	SKORN			DyenDB	4
84	MA, MAZ, MAR			DyenDB	5
86	LAZHAN			DyenDB	2
90	C'HOARZHIN			DyenDB	2
92	KLEIZ			DyenDB	5
93	GAR			DyenDB	10
94	GOURVEZ			DyenDB	4
95	BEVAN			DyenDB	5
96	AVU			DyenDB	3
97	HIR			DyenDB	4
99	GWAZ			DyenDB	2
101	KIG			DyenDB	3
104	MENEZ			DyenDB	2
106	ANV			DyenDB	3
108	TOST			DyenDB	10
109	GOUZOUG			DyenDB	4
111	NOZ			DyenDB	4
112	FRI			DyenDB	10
113	NE...KET			DyenDB	5
114	KOZH			DyenDB	7
117	DEN			DyenDB	4
118	C'HOARI			DyenDB	4
120	BOUNTAN			DyenDB	8
121	GLAV A ZO ("THERE IS RAIN")			DyenDB	6
122	RUZ			DyenDB	3
124	DEHOU			DyenDB	2
125	STER			DyenDB	12
126	HENT			DyenDB	14
127	GWRIZIENN			DyenDB	3
128	KORDENN			DyenDB	2
129	BREIN			DyenDB	11
131	FROTAN, RIMIAN			DyenDB	6
132	HOLEN			DyenDB	2
133	TRAEZH			DyenDB	7
134	LAVAROUT			DyenDB	9
137	GWELOUT			DyenDB	4
139	GWRIAT			DyenDB	8
140	LEMM			DyenDB	2
141	BERR			DyenDB	2
142	KANAN			DyenDB	3
145	OABL			DyenDB	8
146	KOUSKET			DyenDB	8
147	BIHAN			DyenDB	4
148	KLEVOUT			DyenDB	7
149	MOGED			DyenDB	3
151	NAER			DyenDB	8
152	ERC'H			DyenDB	3
154	TUFAN, SKOPAN-			DyenDB	3
156	GWESKEL			DyenDB	12
159	STEREDENN			DyenDB	4
160	BAZH			DyenDB	10
161	MAEN			DyenDB	3
165	C'HWEZHAN, KOENVIN			DyenDB	7
166	NEUIN, NEUNVIAL			DyenDB	8
167	LOST			DyenDB	14
172	MOAN, TANAV			DyenDB	2
173	SONJAL, MEIZAN			DyenDB	5
174	AN...-MAN			DyenDB	2
176	TRI			DyenDB	2
177	TEUREL			DyenDB	4
180	DANT			DyenDB	3
181	GWEZENN			DyenDB	9
182	TREIN			DyenDB	5
183	DAOU			DyenDB	2
185	KERZHOUT, BALE (SW)			DyenDB	4
186	TOMM			DyenDB	6
187	GWALC'HIN			DyenDB	2
188	DOUR			DyenDB	5
189	NI			DyenDB	2
190	GLEB			DyenDB	3
191	PETRA			DyenDB	3
194	GWENN			DyenDB	3
197	GWREG			DyenDB	3
199	ASKELL			DyenDB	7
200	SEC'HAN			DyenDB	9
202	MAOUEZ			DyenDB	6
203	KOAD			DyenDB	8
206	BLOAZ			DyenDB	6
207	MELEN			DyenDB	2
