ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	BSICKO			DyenDB	001-002	A	001-002
002	I			DyenDB	002-200	A	002-200
003	ZIVOTNO			DyenDB	003-200	A	003-202
004	PEPEL			DyenDB	004-003	A	004-003
005	NA			DyenDB	005-200	A	005-205
007	LOSO			DyenDB	007-005	A	007-005
008	KORA			DyenDB	008-202	A	008-204
009	ZASCOTO			DyenDB	009-208	A	009-208
010	KOREM			DyenDB		A	
011	GOLJAMO			DyenDB	011-003	A	011-003
012	PTICA			DyenDB	012-207	A	012-207
013	DA XAPE			DyenDB	013-010	A	013-010
014	CERNO			DyenDB	014-004	A	014-004
015	KREV			DyenDB	015-005	A	015-005
016	DA DUXA			DyenDB	016-400	C	016-400
017	KOST			DyenDB	017-201	A	017-201
019	DA DISA			DyenDB	019-002	A	019-002
020	DA GORI			DyenDB	020-200	A	020-200
021	DETE			DyenDB	021-004	A	021-004
022	OBLAK			DyenDB	022-206	A	022-206
023	STUDENO			DyenDB	023-200	A	023-200
024	DA IDVA			DyenDB	024-203	A	024-203
025	DA BROI			DyenDB	025-005	A	025-005
026	DA REZE			DyenDB	026-207	A	026-207
027	DEN			DyenDB	027-003	A	027-003
028	DA UMRE			DyenDB	028-003	A	028-003
029	DA KOPAE			DyenDB	029-203	A	029-203
030	MRESNO			DyenDB	030-007	A	030-007
031	KUCE			DyenDB	031-200	A	031-204
032	DA PIE			DyenDB	032-004	A	032-004
033	SUXO			DyenDB	033-205	A	033-205
034	TEP			DyenDB	034-002	A	034-002
035	PRAX			DyenDB	035-200	A	035-202
036	UXO			DyenDB	036-200	A	036-200
037	PREST			DyenDB		A	
038	DA JADE			DyenDB	038-006	A	038-006
039	JAJCE			DyenDB	039-007	A	039-007
040	OKO			DyenDB	040-002	A	040-002
041	DA PADA			DyenDB	041-207	A	041-207
042	DALEC			DyenDB	042-205	A	042-205
043	TLESTO			DyenDB	043-204	A	043-204
044	DASCA			DyenDB		A	
045	DA SE STRAXUVA			DyenDB	045-010	A	045-010
046	PERO			DyenDB	046-200	A	046-200
047	MALKO			DyenDB	047-200	A	047-200
048	DA SE BIE			DyenDB	048-011	A	048-011
050	OGEN			DyenDB	050-004	A	050-004
051	RIBA			DyenDB	051-003	A	051-003
052	PET			DyenDB	052-002	A	052-002
053	DA SE NOSI			DyenDB		A	
054	DA TECE			DyenDB	054-004	A	054-004
055	CVETE			DyenDB	055-200	A	055-200
056	DALETI			DyenDB	056-202	A	056-204
057	MEGLA			DyenDB	057-200	A	057-200
058	KRAK			DyenDB	058-005	A	058-005
059	CETIRI			DyenDB	059-002	A	059-002
060	DA ZAMREZVA			DyenDB	060-005	A	060-005
061	PLOD			DyenDB	061-200	A	061-202
063	DA DAVA			DyenDB	063-200	A	063-200
064	DOBRO			DyenDB	064-004	A	064-004
065	TREVA			DyenDB	065-006	A	065-006
066	ZELENO			DyenDB	066-200	A	066-200
067	CERVA			DyenDB	067-003	A	067-003
068	KOSA			DyenDB	068-009	A	068-009
069	REKA			DyenDB	069-005	A	069-005
070	TOJ			DyenDB	070-200	A	070-202
071	GLAVA			DyenDB	071-002	A	071-002
072	DA CUVA			DyenDB	072-205	A	072-207
073	SERCE			DyenDB	073-200	A	073-200
074	TEZKO			DyenDB	074-007	A	074-007
075	TUK			DyenDB	075-211	A	075-211
076	DA UDARI			DyenDB	076-205	A	076-205
077	DERZI			DyenDB	077-010	A	077-010
079	KAK			DyenDB	079-200	A	079-200
080	DA XODIS NA LOV			DyenDB	080-005	A	080-005
081	SEPRUG			DyenDB	081-206	A	081-208
082	AZ			DyenDB	082-200	A	082-200
083	LED			DyenDB	083-204	A	083-204
084	AKO			DyenDB	084-203	A	084-203
085	V, VEV			DyenDB	085-200	A	085-200
086	DA UBIVA			DyenDB	086-008	A	086-008
088	DA ZNAE			DyenDB	088-200	A	088-202
089	EZERO			DyenDB	089-002	A	089-002
090	DA SE SMEE			DyenDB	090-004	A	090-004
091	LIST			DyenDB	091-002	A	091-002
092	LJAVO			DyenDB	092-009	A	092-009
093	KRAK			DyenDB	093-012	A	093-012
094	DA LEZI			DyenDB	094-003	A	094-003
095	DA ZIBEE			DyenDB	095-005	A	095-005
096	CERENDROB			DyenDB	096-204	A	096-204
097	DELGO			DyenDB	097-200	A	097-200
098	VESKA			DyenDB	098-203	A	098-203
099	MEZ			DyenDB	099-203	A	099-205
100	MNOGO			DyenDB	100-200	A	100-200
101	MESO			DyenDB	101-007	A	101-007
103	MAJKA			DyenDB	103-212	A	103-212
104	PLANINA			DyenDB	104-203	A	104-203
105	USTA			DyenDB	105-200	A	105-200
106	IME			DyenDB	106-003	A	106-003
107	TESNO			DyenDB	107-200	A	107-204
108	BLIZKO			DyenDB	108-002	A	108-002
109	BRAT			DyenDB	109-006	A	109-006
110	NOVO			DyenDB	110-200	A	110-200
111	NOSC			DyenDB	111-004	A	111-004
112	NOS			DyenDB	112-005	A	112-005
113	NE			DyenDB	113-005	A	113-005
114	STARO			DyenDB	114-002	A	114-002
115	EDNO			DyenDB	115-200	A	115-200
116	DRUGO			DyenDB	116-200	A	116-200
117	LICE			DyenDB	117-200	A	117-200
118	DA IGRAE			DyenDB	118-200	A	118-200
119	DA DERPA			DyenDB		A	
120	DA BUTA			DyenDB	120-004	A	120-004
121	DA VALI			DyenDB		A	
122	CERVENO			DyenDB	122-005	A	122-005
123	VJARNO			DyenDB		A	
