ID	source_form	phon_form	notes	source	cognate_class	reliability
1	WSE, WSE			DyenDB	2	A
2	I			DyenDB	200	A
3	ZYVELA			DyenDB	200	A
4	POPEL			DyenDB	3	A
5	PRY, KALJA, LJA			DyenDB	200	A
6	ZAD, ADVAROT			DyenDB		A
7	BLAGI, DRINNY			DyenDB		A
8	KARA			DyenDB	202	A
9	TAMU, DZELJA, TAGO STO			DyenDB	12	A
10	BRUXA, ZYVOT			DyenDB	209	A
11	VJALIKI			DyenDB	6	A
12	PTUSKA			DyenDB	206	A
14	CORNY			DyenDB	4	A
15	KROW			DyenDB	5	A
17	KOSTKA			DyenDB	200	A
21	DZICE			DyenDB	4	A
22	XMARA			DyenDB	200	A
23	S'CJUDZENA			DyenDB	200	A
27	DZEN'			DyenDB	3	A
30	BRUDNY			DyenDB	2	A
31	SABAKA			DyenDB	200	A
33	SUXI			DyenDB	205	A
34	TUPY			DyenDB	2	A
35	PYL			DyenDB	200	A
36	VUXA			DyenDB	200	A
37	HLEBA			DyenDB		A
39	JAJKO			DyenDB	7	A
40	VOKA			DyenDB	2	A
42	DALEKI, DALEKA			DyenDB	205	A
43	TUK			DyenDB	5	A
44	BAC'KA			DyenDB	2	A
46	PERA			DyenDB	200	A
47	KRYXU, TROXI			DyenDB		A
50	VAGON'			DyenDB	4	A
51	RYBA			DyenDB	3	A
52	PJAC'			DyenDB	2	A
55	KVETKA			DyenDB	200	A
57	IMHLA, TUMAN			DyenDB	200	A
58	STAPA			DyenDB	4	A
59	CATYRY			DyenDB	2	A
61	PLOD			DyenDB	200	A
64	DOBRY, DOBRA			DyenDB	4	A
65	TRAVA			DyenDB	6	A
66	ZJALENY			DyenDB	200	A
67	KISKI			DyenDB	2	A
68	VOLAS			DyenDB	203	A
69	RUKA			DyenDB	5	A
70	EN			DyenDB	200	A
71	GALAVA			DyenDB	2	A
73	SERCA			DyenDB	200	A
74	CJAZKI			DyenDB	7	A
75	TUT, TUTAKA			DyenDB	211	A
77	TPYMAC'			DyenDB	5	A
79	JAK			DyenDB	200	A
81	SUZENEC			DyenDB		A
82	JA			DyenDB	200	A
83	LED			DyenDB	204	A
84	KALI			DyenDB	203	A
85	U			DyenDB	200	A
88	VEDAC'			DyenDB	200	A
89	VOZERA			DyenDB	2	A
91	LIST			DyenDB	2	A
92	LEVY			DyenDB	9	A
93	NAGA			DyenDB	3	A
96	VANTROBA			DyenDB	203	A
97	DAWHI, DOWHA			DyenDB	200	A
98	VOS			DyenDB	200	A
99	MUZCYNA, CALAVEK			DyenDB	203	A
100	SMAT			DyenDB		A
101	MJASA			DyenDB	7	A
103	MACI			DyenDB	200	A
104	HARA			DyenDB	203	A
105	ROT			DyenDB	2	A
106	IMJA, PROZ'VIMCA			DyenDB	3	A
107	VUZKI, VUZKA			DyenDB	200	A
108	BLIZKI, BLIZKA			DyenDB	2	A
109	KARAK			DyenDB	200	A
