ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	VSECHEN			DyenDB	001-002	A	001-002
002	I			DyenDB	002-200	A	002-200
003	ZVER			DyenDB	003-200	A	003-200
004	POPEL			DyenDB	004-003	A	004-003
005	U			DyenDB	005-200	A	005-211
007	ZLY			DyenDB	007-207	A	007-207
008	KURA			DyenDB	008-202	A	008-204
009	PONEVADZ			DyenDB	009-003	A	009-003
010	BRICHO			DyenDB	010-209	A	010-211
011	VELKY			DyenDB	011-006	A	011-006
012	PTAK			DyenDB	012-207	A	012-207
013	KOUSATI			DyenDB	013-011	A	013-011
014	CERNY			DyenDB	014-004	A	014-004
015	KREV			DyenDB	015-005	A	015-005
016	DOUTI			DyenDB	016-203	A	016-207
017	KOST			DyenDB	017-201	A	017-201
019	DYCHATI			DyenDB	019-002	A	019-002
020	PALITI			DyenDB	020-200	A	020-202
021	DITE			DyenDB	021-004	A	021-004
022	OBLAK			DyenDB	022-206	A	022-206
023	CHLADNY			DyenDB	023-200	A	023-202
024	PRICHAZETI			DyenDB	024-203	A	024-205
025	POCITATI			DyenDB	025-009	A	025-009
026	REZATI			DyenDB	026-207	A	026-207
027	DEN			DyenDB	027-003	A	027-003
028	MRITI			DyenDB	028-003	A	028-003
029	KOPATI			DyenDB	029-203	A	029-203
030	SPINAVY			DyenDB	030-003	A	030-003
031	PES			DyenDB	031-200	A	031-200
032	PITI			DyenDB	032-004	A	032-004
033	SUCHY			DyenDB	033-205	A	033-205
034	TUPY			DyenDB	034-002	A	034-002
035	PRACH			DyenDB	035-200	A	035-202
036	UCHO			DyenDB	036-200	A	036-200
037	ZEME			DyenDB	037-200	A	037-200
038	JISTI			DyenDB	038-006	A	038-006
039	VEJCE			DyenDB	039-007	A	039-007
040	OKO			DyenDB	040-002	A	040-002
041	PADATI			DyenDB	041-207	A	041-207
042	DALEKY			DyenDB	042-205	A	042-205
043	TUK			DyenDB	043-005	A	043-005
044	OTEC			DyenDB	044-200	A	044-200
045	BATI SE			DyenDB	045-200	A	045-204
046	PERO			DyenDB	046-200	A	046-200
048	BOJOVATI			DyenDB	048-011	A	048-011
050	OHEN			DyenDB	050-004	A	050-004
051	RYBA			DyenDB	051-003	A	051-003
052	PET			DyenDB	052-002	A	052-002
054	TECI			DyenDB	054-004	A	054-004
055	KVET			DyenDB	055-200	A	055-200
056	LETETI			DyenDB	056-202	A	056-204
057	MHLA			DyenDB	057-200	A	057-200
058	NOHA			DyenDB	058-003	A	058-003
059	CTYRI			DyenDB	059-002	A	059-002
060	MRAZITI			DyenDB	060-005	A	060-005
063	DATI			DyenDB	063-200	A	063-200
064	DOBRY			DyenDB	064-004	A	064-004
065	TRAVA			DyenDB	065-006	A	065-006
066	ZELENY			DyenDB	066-200	A	066-200
067	STREVO			DyenDB	067-003	A	067-003
068	VLAS			DyenDB	068-203	A	068-203
069	RUKA			DyenDB	069-005	A	069-005
070	ON			DyenDB	070-200	A	070-200
071	HLAVA			DyenDB	071-002	A	071-002
072	SLYSETI			DyenDB	072-205	A	072-205
073	SRDCE			DyenDB	073-200	A	073-200
074	TEZKY			DyenDB	074-007	A	074-007
075	ZDE			DyenDB	075-211	A	075-215
076	BITI			DyenDB	076-205	A	076-207
077	DRZETI			DyenDB	077-010	A	077-010
079	JAK			DyenDB	079-201	A	079-201
080	LOVITI			DyenDB	080-005	A	080-005
081	MUZ			DyenDB	081-206	A	081-206
082	JA			DyenDB	082-200	A	082-200
083	LED			DyenDB	083-204	A	083-204
084	JESTLI			DyenDB	084-002	A	084-002
085	V			DyenDB	085-200	A	085-200
086	ZABIJETI			DyenDB	086-008	A	086-008
088	ZNATI			DyenDB	088-200	A	088-202
089	JEZERO			DyenDB	089-002	A	089-002
090	SMATI SE			DyenDB	090-004	A	090-004
091	LIST			DyenDB	091-002	A	091-002
092	LEVY			DyenDB	092-009	A	092-009
093	HOLEN			DyenDB	093-015	A	093-015
094	LEZETI			DyenDB	094-003	A	094-003
