ID	source_form	phon_form	notes	source	cognate_class	reliability
1	TOT, TOTS			DyenDB	001-003	A
2	E, Y			DyenDB	002-204	A
3	ANIMAL			DyenDB	003-401	A
4	CENDRA			DyenDB	004-002	A
5	AB, DE, PER			DyenDB	005-001	A
6	ESPATLLAS, ESQUENA			DyenDB	006-200	A
7	MAL			DyenDB	007-219	A
8	ESCORXZ			DyenDB	008-202	A
9	PEOQUE			DyenDB	009-010	A
10	VENTRE			DyenDB	010-200	A
11	GRAN			DyenDB	011-207	A
12	AUCELL, MOIXO			DyenDB	012-200	A
14	NEGRE			DyenDB	014-005	A
15	SANCH			DyenDB	015-003	A
17	OS			DyenDB	017-200	A
21	CRIATURA, NEN, NOY, NIN			DyenDB	020-205	A
22	NUVOL			DyenDB	021-008	A
23	FRET			DyenDB	022-003	A
27	DIA			DyenDB	026-003	A
30	BRUT, PORCH			DyenDB	029-203	A
31	CA, GOS			DyenDB	030-003	A
33	SECH, AIXUT			DyenDB	032-202	A
34	ROM, AMUSSADO			DyenDB	033-004	A
35	POLS			DyenDB	034-004	A
36	AURELLA, ORELLA, OIDO			DyenDB	035-200	A
37	TERRA			DyenDB	036-205	A
39	OU			DyenDB	038-007	A
40	ULL			DyenDB	039-002	A
42	LLUNY			DyenDB	041-200	A
43	GRAS, GREIX			DyenDB	042-009	A
44	PARE			DyenDB	043-209	A
46	PLOMA			DyenDB	045-203	A
47	POCH, MICA			DyenDB	046-002	A
50	FOCH			DyenDB	048-002	A
51	PEIX			DyenDB	049-009	A
52	CINCH			DyenDB	050-002	A
55	FLORS			DyenDB	053-002	A
57	BOYRA, BAIXA, BROMA			DyenDB	055-001	A
58	PEU			DyenDB	056-200	A
59	QUATRE			DyenDB	057-002	A
61	FRUYT			DyenDB	059-003	A
64	BO			DyenDB	061-002	A
65	HERBA			DyenDB	062-002	A
66	VERT			DyenDB	063-008	A
67	BUDELL			DyenDB	064-009	A
68	PEL, CABELLO			DyenDB	065-200	A
69	MA			DyenDB	066-002	A
70	LO			DyenDB	067-002	A
71	CAP			DyenDB	068-200	A
73	COR			DyenDB	070-200	A
74	FEIXUCH, PESANT			DyenDB	071-200	A
75	AQUI, ENSA			DyenDB	072-211	A
77	TENIR			DyenDB	074-004	A
79	COM, QUANT			DyenDB	075-200	A
81	MARIT, HOME, ESPOS			DyenDB	077-200	A
82	JO			DyenDB	078-200	A
83	GEL, GLAS			DyenDB	079-200	A
84	SI			DyenDB	080-003	A
85	SOBRE, AB, DE			DyenDB	081-001	A
88	SENTIRSE, SEMBLARSE			DyenDB	083-001	A
89	ESTANY, BASSA, LLACH			DyenDB	084-200	A
91	FULLA			DyenDB	086-200	A
92	ESQUER, SINISTRE			DyenDB	087-200	A
93	CAMA, CUIXA			DyenDB	088-004	A
96	FETGE			DyenDB	091-004	A
97	LLARCH			DyenDB	092-005	A
98	POLL			DyenDB	093-003	A
99	HOME			DyenDB	094-200	A
100	MOLT, FORSA			DyenDB	095-002	A
101	CARN			DyenDB	096-203	A
103	MARE			DyenDB	097-200	A
104	MONT, MONTANYA			DyenDB	098-002	A
105	BOCA			DyenDB	099-006	A
106	NOM			DyenDB	100-003	A
107	ESTRET			DyenDB	101-200	A
108	TANCA, A PROP			DyenDB	102-005	A
109	COLL, CAMA, CUA			DyenDB	103-204	A
110	NOU			DyenDB	104-200	A
111	NIT			DyenDB	105-004	A
112	NAS			DyenDB	106-005	A
113	NO			DyenDB	107-005	A
114	VELL, ANCIA, JAYO			DyenDB	108-010	A
115	UN, HU			DyenDB	109-200	A
116	ALTRA			DyenDB	110-009	A
122	ROIG			DyenDB	116-003	A
123	RECTE, DRET, JUST			DyenDB	117-200	A
124	DRETA			DyenDB	118-200	A
125	RIU			DyenDB	119-200	A
126	CAMI, SENDER			DyenDB	120-006	A
127	ARREL, REL			DyenDB	121-003	A
128	CORDA, CORDILL			DyenDB	122-010	A
129	PUDRIT, CORROMPUT			DyenDB	123-002	A
131	FREGAR			DyenDB	124-002	A
132	SAL			DyenDB	125-002	A
133	SORRA			DyenDB	126-001	A
135	GRATAR, FREGAR			DyenDB	128-002	A
136	MAR			DyenDB	129-200	A
138	GRANA, GRA			DyenDB	131-005	A
140	TALLANT, CARNICER			DyenDB	133-010	A
141	CURT			DyenDB	134-012	A
144	PELL			DyenDB	137-200	A
145	CEL			DyenDB	138-003	A
147	PETIT			DyenDB	140-003	A
149	FUM, GASSA			DyenDB	142-200	A
150	LLIS			DyenDB	143-202	A
151	SERP, SERPENT			DyenDB	144-006	A
152	NEU			DyenDB	145-004	A
153	COLCOM			DyenDB	146-204	A
159	ESTELA, ESTEL			DyenDB	152-004	A
160	PERN, GARROT			DyenDB	153-001	A
161	PEDRA, ROCH			DyenDB	154-202	A
162	RECTE, DRET			DyenDB	155-203	A
164	SOL			DyenDB	157-203	A
167	CUA, LLUFA			DyenDB	160-203	A
168	ES, AQUEIX, EIX			DyenDB	161-209	A
169	AQUI			DyenDB	162-200	A
171	GROS, GRUIXUT, ESPES			DyenDB	164-209	A
172	FLACH, PRIM			DyenDB	165-001	A
174	AQUEST, EST			DyenDB	167-200	A
