ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	FSECKI			DyenDB	001-002	A	001-002
002	AY			DyenDB	002-200	A	002-203
003	ZVIRE			DyenDB	003-200	A	003-200
004	POPEL			DyenDB	004-003	A	004-003
005	NA, PRI			DyenDB	005-200	A	005-214
006	HRBET			DyenDB	006-004	A	006-004
007	ZLE, SPATNE			DyenDB	007-207	A	007-208
008	KURA			DyenDB	008-202	A	008-204
009	PROTO			DyenDB	009-206	A	009-206
010	BRUX			DyenDB	010-209	A	010-211
011	VELIKE, HRUBE			DyenDB	011-006	A	011-006
012	FTAK			DyenDB	012-207	A	012-207
013	KUSAT			DyenDB	013-011	A	013-011
014	CERNE			DyenDB	014-004	A	014-004
015	KREF			DyenDB	015-005	A	015-005
016	FUKAT			DyenDB	016-005	A	016-005
017	KOSTY			DyenDB	017-201	A	017-201
019	DIXAT			DyenDB	019-002	A	019-002
020	HORIT			DyenDB	020-200	A	020-200
021	DYITYE			DyenDB	021-004	A	021-004
022	MRACNO, OBLOHA			DyenDB	022-206	A	022-206
023	ZIMA			DyenDB	023-200	A	023-204
024	PRIYIT			DyenDB	024-203	A	024-203
025	CITAT			DyenDB	025-009	A	025-009
026	REZAT			DyenDB	026-207	A	026-207
027	DENY			DyenDB	027-003	A	027-003
028	UMRIT, SKAPAT			DyenDB	028-003	A	028-003
029	KOPAT			DyenDB	029-203	A	029-203
030	SPINAVE			DyenDB	030-003	A	030-003
031	PES			DyenDB	031-200	A	031-200
032	PIT			DyenDB	032-004	A	032-004
033	SUXE			DyenDB	033-205	A	033-205
034	TUPE			DyenDB	034-002	A	034-002
035	PRAX			DyenDB	035-200	A	035-202
036	UXO			DyenDB	036-200	A	036-200
037	ZEM, HLINA			DyenDB	037-200	A	037-200
038	YEST			DyenDB	038-006	A	038-006
039	VAYCO			DyenDB	039-007	A	039-007
040	OKO			DyenDB	040-002	A	040-002
041	PADNUT			DyenDB	041-207	A	041-207
042	DALEKO			DyenDB	042-205	A	042-205
043	TLUSTI			DyenDB	043-204	A	043-204
044	TATA, OTEC			DyenDB	044-200	A	044-201
045	BATSA			DyenDB	045-200	A	045-204
046	PERO			DyenDB	046-200	A	046-200
047	PAR			DyenDB		A	
048	BITSA			DyenDB	048-011	A	048-011
050	OHENY			DyenDB	050-004	A	050-004
051	RIBA			DyenDB	051-003	A	051-003
052	PYET			DyenDB	052-002	A	052-002
053	STAT NA VODE			DyenDB	053-101	C	053-101
054	TECIT			DyenDB	054-004	A	054-004
055	KVITKO			DyenDB	055-200	A	055-200
056	LETAT			DyenDB	056-202	A	056-204
057	MHLA			DyenDB	057-200	A	057-200
058	NOHA			DyenDB	058-003	A	058-003
059	STIRI			DyenDB	059-002	A	059-002
060	ZMRZNUT			DyenDB	060-005	A	060-005
061	OVOCE			DyenDB	061-200	A	061-200
063	DAT			DyenDB	063-200	A	063-200
064	DOBRE			DyenDB	064-004	A	064-004
065	TRAVA			DyenDB	065-006	A	065-006
066	ZELENE			DyenDB	066-200	A	066-200
067	STREVA			DyenDB	067-003	A	067-003
068	VLASI			DyenDB	068-203	A	068-203
069	RUKA			DyenDB	069-005	A	069-005
070	ON			DyenDB	070-200	A	070-200
071	HLAVA			DyenDB	071-002	A	071-002
072	CUT			DyenDB	072-205	A	072-207
073	SRDCO			DyenDB	073-200	A	073-200
074	TYASKE			DyenDB	074-007	A	074-007
075	TU, TADI, SEM			DyenDB	075-211	A	075-214
076	UDERIT, BIT			DyenDB	076-205	A	076-206
077	DRZAT			DyenDB	077-010	A	077-010
079	YAK			DyenDB	079-201	A	079-201
080	IT NA HON, HONYIT			DyenDB	080-011	A	080-011
081	MUZ			DyenDB	081-206	A	081-206
082	YA			DyenDB	082-200	A	082-200
083	LET			DyenDB	083-204	A	083-204
084	KEBI			DyenDB	084-203	A	084-205
085	V, VE			DyenDB	085-200	A	085-200
086	ZABIT			DyenDB	086-008	A	086-008
088	VEDET			DyenDB	088-200	A	088-200
089	YAZERO			DyenDB	089-002	A	089-002
090	SMITSA			DyenDB	090-004	A	090-004
091	LIST			DyenDB	091-002	A	091-002
092	LEVO			DyenDB	092-009	A	092-009
093	NOHA			DyenDB	093-003	A	093-003
094	LEZAT			DyenDB	094-003	A	094-003
095	ZIT			DyenDB	095-005	A	095-005
096	YATRA			DyenDB	096-203	A	096-203
097	DLUHE			DyenDB	097-200	A	097-200
098	VES			DyenDB	098-203	A	098-203
