ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	AL			DyenDB	001-004	A	001-004
002	OG			DyenDB	002-002	A	002-002
003	DYR			DyenDB	003-005	A	003-005
004	ASKE			DyenDB	004-007	A	004-007
005	VED			DyenDB	005-200	A	005-200
006	BAG			DyenDB	006-209	A	006-211
007	OND			DyenDB	007-210	A	007-210
008	BARK			DyenDB	008-200	A	008-200
009	FORDI			DyenDB	009-212	A	009-212
010	BUG			DyenDB	010-204	A	010-208
011	STOR			DyenDB	011-200	A	011-202
012	FUGL			DyenDB	012-206	A	012-206
013	BIDE			DyenDB	013-002	A	013-002
014	SORT			DyenDB	014-003	A	014-003
015	BLOD			DyenDB	015-004	A	015-004
016	BLAESE			DyenDB	016-203	A	016-205
017	BEN			DyenDB	017-006	A	017-006
019	AANDE			DyenDB	019-200	A	019-200
020	BRAENDE			DyenDB	020-003	A	020-003
021	BARN			DyenDB	021-002	A	021-002
022	SKY			DyenDB	022-202	A	022-202
023	KOLD			DyenDB	023-002	A	023-002
024	KOMME			DyenDB	024-206	A	024-206
025	TAELLE			DyenDB	025-200	A	025-200
026	SKAERE			DyenDB	026-200	A	026-202
027	DAG			DyenDB	027-004	A	027-004
028	DO			DyenDB	028-200	A	028-200
029	GRAVE			DyenDB	029-203	A	029-205
030	BESKIDT			DyenDB	030-004	A	030-004
031	HUND			DyenDB	031-003	A	031-003
032	DRIKKE			DyenDB	032-003	A	032-003
033	TOR			DyenDB	033-005	A	033-005
034	SLOV			DyenDB	034-200	A	034-200
035	STOV			DyenDB	035-203	A	035-203
036	ORE			DyenDB	036-200	A	036-200
037	JORD			DyenDB	037-004	A	037-004
038	SPISE			DyenDB	038-002	A	038-002
039	AEG			DyenDB	039-007	A	039-007
040	OJE			DyenDB	040-002	A	040-002
041	FALDE			DyenDB	041-200	A	041-200
042	FJERN			DyenDB	042-200	A	042-200
043	FEDT			DyenDB	043-006	A	043-006
044	FADER			DyenDB	044-209	A	044-210
045	FRYGTE			DyenDB	045-004	A	045-004
046	FJER			DyenDB	046-203	A	046-203
047	FAA			DyenDB	047-002	A	047-002
048	KAEMPE			DyenDB	048-004	A	048-004
050	ILD			DyenDB	050-005	A	050-005
051	FISK			DyenDB	051-009	A	051-009
052	FEM			DyenDB	052-002	A	052-002
053	FLYDE			DyenDB	053-005	A	053-005
054	FLYDE			DyenDB	054-200	A	054-200
055	BLOMST			DyenDB	055-002	A	055-002
056	FLYVE			DyenDB	056-006	A	056-006
057	TAAGE			DyenDB	057-207	A	057-209
058	FOD			DyenDB	058-200	A	058-200
059	FIRE			DyenDB	059-002	A	059-002
060	FRYSE			DyenDB	060-207	A	060-207
061	FRUGT			DyenDB	061-006	A	061-006
063	GIVE			DyenDB	063-002	A	063-002
064	GOD			DyenDB	064-003	A	064-003
065	GRAES			DyenDB	065-007	A	065-007
066	GRON			DyenDB	066-003	A	066-003
067	TARM			DyenDB	067-205	A	067-205
068	HAAR			DyenDB	068-004	A	068-004
069	HAAND			DyenDB	069-003	A	069-003
070	HAN			DyenDB	070-203	A	070-203
071	HOVED			DyenDB	071-200	A	071-202
072	HORE			DyenDB	072-003	A	072-003
073	HJERTE			DyenDB	073-200	A	073-200
074	TUNG			DyenDB	074-007	A	074-007
075	HER			DyenDB	075-003	A	075-003
076	RAMME, TRAEFFE			DyenDB	076-200	A	076-203
077	HOLDE			DyenDB	077-200	A	077-200
079	HOORLEDES			DyenDB	079-200	A	079-200
080	JAGE			DyenDB	080-007	A	080-007
081	MAND			DyenDB	081-206	A	081-206
082	JEG			DyenDB	082-200	A	082-200
083	IS			DyenDB	083-005	A	083-005
084	HVIS			DyenDB	084-200	A	084-200
085	I			DyenDB	085-200	A	085-200
086	DRAEBE			DyenDB	086-205	A	086-205
088	VIDE			DyenDB	088-200	A	088-200
089	SO			DyenDB	089-004	A	089-004
090	LE			DyenDB	090-200	A	090-200
091	LOV			DyenDB	091-204	A	091-206
092	VENSTRE			DyenDB	092-004	A	092-004
093	BEN			DyenDB	093-200	A	093-202
094	LIGGE			DyenDB	094-003	A	094-003
095	LEVE			DyenDB	095-002	A	095-002
096	LEVER			DyenDB	096-002	A	096-002
097	LANG			DyenDB	097-200	A	097-200
098	LUS			DyenDB	098-200	A	098-200
099	MAND			DyenDB	099-203	A	099-205
100	MANGE			DyenDB	100-200	A	100-200
101	KOD			DyenDB	101-200	A	101-200
103	MODER			DyenDB	103-200	A	103-200
104	BJERG			DyenDB	104-200	A	104-200
105	MUND			DyenDB	105-007	A	105-007
106	NAVN			DyenDB	106-003	A	106-003
107	SMAL			DyenDB	107-218	A	107-218
108	NAER			DyenDB	108-200	A	108-200
109	HALS			DyenDB	109-204	A	109-206
110	NY			DyenDB	110-200	A	110-200
111	NAT			DyenDB	111-004	A	111-004
112	NAESE			DyenDB	112-005	A	112-005
113	IKKE			DyenDB	113-200	A	113-200
114	GAMMEL			DyenDB	114-004	A	114-004
115	EN			DyenDB	115-200	A	115-200
116	ANDEN			DyenDB	116-205	A	116-205
117	PERSON			DyenDB	117-209	A	117-218
118	LEGE			DyenDB	118-203	A	118-203
119	TRAEKKE			DyenDB	119-004	A	119-004
120	STODE			DyenDB	120-200	A	120-200
121	REGN			DyenDB	121-002	A	121-002
122	ROD			DyenDB	122-003	A	122-003
123	RET			DyenDB	123-200	A	123-200
124	HOJRE			DyenDB	124-004	A	124-004
125	FLOD			DyenDB	125-200	A	125-202
126	VEJ			DyenDB	126-209	A	126-209
127	ROD			DyenDB	127-003	A	127-003
128	REP			DyenDB	128-007	A	128-007
129	RAADDEN			DyenDB	129-200	A	129-200
131	GNIDE			DyenDB	131-004	A	131-004
132	SALT			DyenDB	132-002	A	132-002
133	SAND			DyenDB	133-004	A	133-004
134	SIGE			DyenDB	134-005	A	134-005
