ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	ALLES			DyenDB	001-004	A	001-004
002	EN			DyenDB	002-009	A	002-009
003	DIER			DyenDB	003-005	A	003-005
004	ASCH			DyenDB	004-007	A	004-007
005	TE			DyenDB	005-200	A	005-209
006	RUG			DyenDB	006-209	A	006-209
007	SLECHT			DyenDB	007-007	A	007-007
008	SCHORS			DyenDB	008-202	A	008-204
009	OMDAT			DyenDB	009-006	A	009-006
010	BUIK			DyenDB	010-204	A	010-208
011	GROOT			DyenDB	011-009	A	011-009
012	VOGEL			DyenDB	012-206	A	012-206
013	BIJTEN			DyenDB	013-002	A	013-002
014	ZWART			DyenDB	014-003	A	014-003
015	BLOED			DyenDB	015-004	A	015-004
016	BLAZEN, WAAIEN			DyenDB	016-203	A	016-204
017	BEEN, BOT (GRAAT)			DyenDB	017-006	A	017-006
019	ADEMEN			DyenDB	019-005	A	019-005
020	BRANDEN (GLOEIEN)			DyenDB	020-003	A	020-003
021	KIND			DyenDB	021-003	A	021-003
022	WOLK			DyenDB	022-003	A	022-003
023	KOUD			DyenDB	023-002	A	023-002
024	KOMEN			DyenDB	024-206	A	024-206
025	REKENEN			DyenDB	025-200	A	025-202
026	SNIJDEN			DyenDB	026-004	A	026-004
027	DAG			DyenDB	027-004	A	027-004
028	STERVEN			DyenDB	028-200	A	028-202
029	DELVEN			DyenDB	029-203	A	029-207
030	VUIL			DyenDB	030-208	A	030-210
031	HOND			DyenDB	031-003	A	031-003
032	DRINKEN			DyenDB	032-003	A	032-003
033	DROOG			DyenDB	033-004	A	033-004
034	STOMP			DyenDB	034-005	A	034-005
035	STOF			DyenDB	035-203	A	035-203
036	OOR			DyenDB	036-200	A	036-200
037	AARDE			DyenDB	037-004	A	037-004
038	ETEN			DyenDB	038-006	A	038-006
039	EI			DyenDB	039-007	A	039-007
040	OOG			DyenDB	040-002	A	040-002
041	VALLEN			DyenDB	041-200	A	041-200
042	VER			DyenDB	042-200	A	042-200
043	VET			DyenDB	043-006	A	043-006
044	VADER			DyenDB	044-209	A	044-210
045	VREEZEN			DyenDB	045-011	A	045-011
046	VEDER			DyenDB	046-203	A	046-203
047	WEINIG			DyenDB	047-207	A	047-207
048	VECHTEN			DyenDB	048-200	A	048-202
050	VUUR			DyenDB	050-003	A	050-003
051	VISCH			DyenDB	051-009	A	051-009
052	VIJF			DyenDB	052-002	A	052-002
053	DRIJVEN			DyenDB	053-006	A	053-006
054	STROOMEN, VLOEIEN			DyenDB	054-200	A	054-204
055	BLOEM			DyenDB	055-002	A	055-002
056	VLIEGEN			DyenDB	056-006	A	056-006
057	NEVEL, MIST			DyenDB	057-200	A	057-205
058	VOET			DyenDB	058-200	A	058-200
059	VIER			DyenDB	059-002	A	059-002
060	VRIEZEN			DyenDB	060-207	A	060-207
061	VRUCHT			DyenDB	061-006	A	061-006
063	GEVEN			DyenDB	063-002	A	063-002
064	GOED			DyenDB	064-003	A	064-003
065	GRAS			DyenDB	065-007	A	065-007
066	GROEN			DyenDB	066-003	A	066-003
067	DARM			DyenDB	067-205	A	067-205
068	HAAR			DyenDB	068-004	A	068-004
069	HAND			DyenDB	069-003	A	069-003
070	HIJ			DyenDB	070-203	A	070-204
071	HOOFD			DyenDB	071-200	A	071-202
072	HOOREN			DyenDB	072-003	A	072-003
073	HART			DyenDB	073-200	A	073-200
074	ZWAAR			DyenDB	074-008	A	074-008
075	HIER			DyenDB	075-003	A	075-003
076	RAKEN, STOOTEN			DyenDB	076-200	A	076-204
077	HOUDEN			DyenDB	077-200	A	077-200
079	HOE			DyenDB	079-200	A	079-200
080	JAGEN			DyenDB	080-007	A	080-007
081	ECHTGENOOT			DyenDB	081-206	A	081-210
082	IK			DyenDB	082-200	A	082-200
083	IJS			DyenDB	083-005	A	083-005
084	INDIEN			DyenDB	084-212	A	084-213
085	IN, NAAR, BIJ, VAN, OP			DyenDB	085-200	A	085-200
086	DOODEN, SLACKTEN			DyenDB	086-205	A	086-208
088	WETEN			DyenDB	088-200	A	088-200
089	MEER			DyenDB	089-005	A	089-005
090	LACHEN			DyenDB	090-200	A	090-200
091	BLAD			DyenDB	091-204	A	091-204
092	LINKS			DyenDB	092-006	A	092-006
093	BEEN, POOT			DyenDB	093-200	A	093-201
094	LIGGEN			DyenDB	094-003	A	094-003
095	LEVEN			DyenDB	095-002	A	095-002
096	LEVER			DyenDB	096-002	A	096-002
097	LANG			DyenDB	097-200	A	097-200
098	VLOO, LUIS			DyenDB	098-200	A	098-200
099	MAN			DyenDB	099-203	A	099-205
100	VEEL			DyenDB	100-203	A	100-203
101	VLEESCH			DyenDB	101-006	A	101-006
103	MOEDER			DyenDB	103-200	A	103-200
104	BERG			DyenDB	104-200	A	104-200
105	MOND			DyenDB	105-007	A	105-007
106	NAAM			DyenDB	106-003	A	106-003
107	NAUW, ENG			DyenDB	107-200	A	107-207
108	NABIJ			DyenDB	108-200	A	108-200
109	HALS, NEK			DyenDB	109-204	A	109-205
110	NIEUW			DyenDB	110-200	A	110-200
111	NACHT			DyenDB	111-004	A	111-004
112	NEUS			DyenDB	112-005	A	112-005
113	NIET			DyenDB	113-005	A	113-005
114	OUD			DyenDB	114-006	A	114-006
115	EEN			DyenDB	115-200	A	115-200
116	ANDER, NOG EEN			DyenDB	116-205	A	116-205
117	MENSCH			DyenDB	117-209	A	117-216
118	SPELEN			DyenDB	118-203	A	118-205
119	TREKKEN			DyenDB	119-004	A	119-004
120	SCHUIVEN, VOORTDUWEN			DyenDB	120-203	A	120-204
121	REGENEN			DyenDB	121-002	A	121-002
122	ROOD			DyenDB	122-003	A	122-003
123	RICHTIG, RECHT, WAAR, ECHT			DyenDB	123-200	A	123-200
124	RECHTS, RECHTER			DyenDB	124-200	A	124-200
125	RIVIER			DyenDB	125-004	A	125-004
126	WEG			DyenDB	126-209	A	126-209
127	WORTEL			DyenDB	127-003	A	127-003
128	TOUW, KOORD			DyenDB	128-006	A	128-006
129	VERROT, VERSLETEN			DyenDB	129-200	A	129-200
131	WRIJVEN			DyenDB	131-203	A	131-203
132	ZOUT			DyenDB	132-002	A	132-002
133	ZAND			DyenDB	133-004	A	133-004
134	ZEGGEN			DyenDB	134-005	A	134-005
135	KRABLEN			DyenDB	135-207	A	135-207
136	ZEE			DyenDB	136-200	A	136-202
137	ZIEN			DyenDB	137-005	A	137-005
138	ZAAD			DyenDB	138-200	A	138-200
139	NAAIEN			DyenDB	139-004	A	139-004
140	SCHERP			DyenDB	140-004	A	140-004
141	KORT			DyenDB	141-003	A	141-003
142	ZINGEN			DyenDB	142-005	A	142-005
143	ZITTEN			DyenDB	143-200	A	143-200
144	HUID			DyenDB	144-200	A	144-202
145	HEMEL			DyenDB	145-200	A	145-200
146	SLAAP			DyenDB	146-005	A	146-005
147	KLEIN			DyenDB	147-002	A	147-002
148	RUIKEN			DyenDB	148-003	A	148-003
149	ROOK			DyenDB	149-002	A	149-002
150	GELIJK, GLAD			DyenDB	150-205	A	150-209
151	SLANG			DyenDB	151-203	A	151-203
152	SNEEUW			DyenDB	152-004	A	152-004
153	EENIGE, SOMMIGE			DyenDB	153-200	A	153-202
154	SPUWEN			DyenDB	154-205	A	154-206
155	SPLIJTEN			DyenDB	155-002	A	155-002
156	PERSEN			DyenDB	156-002	A	156-002
157	STEKEN			DyenDB	157-003	A	157-003
158	STAAN			DyenDB	158-202	A	158-205
159	STER			DyenDB	159-004	A	159-004
160	STOK			DyenDB	160-013	A	160-013
161	STEEN			DyenDB	161-004	A	161-004
162	RECHT			DyenDB	162-203	A	162-203
163	ZUIGEN			DyenDB	163-202	A	163-206
164	ZON			DyenDB	164-203	A	164-203
165	ZWELLEN			DyenDB	165-002	A	165-002
166	ZWEMMEN			DyenDB	166-002	A	166-002
167	STAART			DyenDB	167-200	A	167-202
168	DIE, DAT, GENE			DyenDB	168-200	A	168-200
169	DAAR, ALDAAR			DyenDB	169-203	A	169-203
170	ZIJ			DyenDB	170-200	A	170-200
171	DIK			DyenDB	171-212	A	171-212
172	DUN			DyenDB	172-002	A	172-002
173	DENKEN			DyenDB	173-003	A	173-003
174	DEZE, DIT			DyenDB	174-200	A	174-206
175	GIJ, JE			DyenDB	175-003	A	175-003
176	DRIE			DyenDB	176-002	A	176-002
177	WERPEN, SMIJTEN			DyenDB	177-211	A	177-214
178	BINDEN, KNOOPEN			DyenDB	178-203	A	178-203
179	TONG			DyenDB	179-200	A	179-200
180	TAND			DyenDB	180-003	A	180-003
181	BOOM			DyenDB	181-004	A	181-004
182	WENDEN, LOEVEN			DyenDB	182-208	A	182-210
183	TWEE			DyenDB	183-002	A	183-002
184	BRAKEN			DyenDB	184-003	A	184-003
185	WANDELEN			DyenDB		A	
186	WARM			DyenDB	186-002	A	186-002
187	WASSCHEN			DyenDB	187-006	A	187-006
188	WATER			DyenDB	188-004	A	188-004
189	WIJ			DyenDB	189-002	A	189-002
190	NAT			DyenDB	190-004	A	190-004
191	WAT			DyenDB	191-003	A	191-003
192	WANNEER			DyenDB	192-200	A	192-200
193	WAAR			DyenDB	193-200	A	193-200
194	WIT			DyenDB	194-205	A	194-205
195	WIE			DyenDB	195-200	A	195-200
196	WIJD, RUIM			DyenDB	196-200	A	196-200
197	HUISVROUW, VROUW			DyenDB	197-005	A	197-005
198	WIND			DyenDB	198-200	A	198-202
199	VLEUGEL			DyenDB	199-004	A	199-004
200	VEGEN			DyenDB	200-002	A	200-002
201	MET, MEDE			DyenDB	201-205	A	201-205
202	VROUW			DyenDB	202-002	A	202-002
203	BOSCH			DyenDB	203-209	A	203-209
204	WORM			DyenDB	204-203	A	204-205
206	JAAR			DyenDB	206-004	A	206-004
207	GEEL			DyenDB	207-200	A	207-200
