ID	source_form	phon_form	notes	source	cognate_class	reliability
1	ALL			DyenDB	4	A
2	AND			DyenDB	9	A
3	ANIMAL			DyenDB		A
4	ASHES			DyenDB	7	A
5	AT			DyenDB	200	A
6	BACK			DyenDB	209	A
7	BAD			DyenDB	200	A
8	BARK			DyenDB	200	B
9	BECAUSE			DyenDB	11	A
10	BELLY			DyenDB	204	A
11	BIG			DyenDB	11	A
12	BIRD			DyenDB		A
14	BLACK			DyenDB	12	A
15	BLOOD			DyenDB	4	A
17	BONE			DyenDB	6	A
21	CHILD			DyenDB		A
22	CLOUD			DyenDB		A
23	COLD			DyenDB	2	A
27	DAY			DyenDB	4	A
30	DIRTY			DyenDB	11	A
31	DOG			DyenDB	6	A
33	DRY			DyenDB	4	A
34	DULL			DyenDB	6	A
35	DUST			DyenDB	203	B
36	EAR			DyenDB	200	A
37	EARTH			DyenDB	4	A
39	EGG			DyenDB		A
40	EYE			DyenDB	2	A
42	FAR			DyenDB	200	A
43	FAT			DyenDB	6	A
44	FATHER			DyenDB	200	A
46	FEATHER			DyenDB	200	B
47	FEW			DyenDB	2	A
50	FIRE			DyenDB	3	A
51	FISH			DyenDB	9	A
52	FIVE			DyenDB	2	A
55	FLOWER			DyenDB		A
57	FOG			DyenDB		A
58	FOOT			DyenDB	200	A
59	FOUR			DyenDB	2	A
61	FRUIT			DyenDB		A
64	GOOD			DyenDB	3	A
65	GRASS			DyenDB	7	A
66	GREEN			DyenDB	3	A
67	GUTS			DyenDB		A
68	HAIR			DyenDB	4	A
69	HAND			DyenDB	3	A
70	HE			DyenDB	200	A
71	HEAD			DyenDB	200	A
73	HEART			DyenDB	200	A
74	HEAVY			DyenDB	6	A
75	HERE			DyenDB	3	A
77	HOLD			DyenDB	200	A
79	HOW			DyenDB	200	A
81	HUSBAND			DyenDB		A
82	I			DyenDB	200	A
83	ICE			DyenDB	5	A
84	IF			DyenDB	7	A
85	IN			DyenDB	200	A
88	KNOW			DyenDB	200	A
89	LAKE			DyenDB		A
91	LEAF			DyenDB	204	A
92	LEFT (HAND)			DyenDB		A
93	LEG			DyenDB	200	B
96	LIVER			DyenDB	2	A
97	LONG			DyenDB	200	A
98	LOUSE			DyenDB	200	A
99	MAN			DyenDB	203	A
100	MANY			DyenDB	200	A
101	MEAT			DyenDB	200	B
103	MOTHER			DyenDB	200	A
104	MOUNTAIN			DyenDB		A
105	MOUTH			DyenDB	7	A
106	NAME			DyenDB	3	A
107	NARROW			DyenDB		A
108	NEAR			DyenDB	200	A
109	NECK			DyenDB	204	A
110	NEW			DyenDB	200	A
111	NIGHT			DyenDB	4	A
112	NOSE			DyenDB	5	A
113	NOT			DyenDB	5	A
114	OLD			DyenDB	6	A
115	ONE			DyenDB	200	A
116	OTHER			DyenDB	205	A
117	PERSON			DyenDB		A
122	RED			DyenDB	3	A
123	RIGHT			DyenDB	200	A
124	RIGHT (HAND)			DyenDB	200	A
125	RIVER			DyenDB	5	A
126	ROAD			DyenDB		A
127	ROOT			DyenDB	3	A
128	ROPE			DyenDB	7	A
129	ROTTEN			DyenDB	200	A
131	RUB			DyenDB	203	A
132	SALT			DyenDB	2	A
133	SAND			DyenDB	4	A
135	SCRATCH			DyenDB	6	A
136	SEA			DyenDB	200	A
138	SEED			DyenDB	200	A
140	SHARP			DyenDB	4	A
141	SHORT			DyenDB	12	A
144	SKIN			DyenDB	200	A
145	SKY			DyenDB	200	B
147	SMALL			DyenDB	11	A
149	SMOKE			DyenDB	3	A
150	SMOOTH			DyenDB		A
151	SNAKE			DyenDB	5	A
152	SNOW			DyenDB	4	A
153	SOME			DyenDB	200	A
159	STAR			DyenDB	4	A
160	STICK			DyenDB	13	A
161	STONE			DyenDB	4	A
162	STRAIGHT			DyenDB		A
164	SUN			DyenDB	203	A
167	TAIL			DyenDB	11	A
168	THAT			DyenDB	200	A
169	THERE			DyenDB	203	A
170	THEY			DyenDB	200	A
171	THICK			DyenDB	212	A
172	THIN			DyenDB	2	A
174	THIS			DyenDB	200	A
175	THOU			DyenDB	2	A
176	THREE			DyenDB	2	A
13	TO BITE			DyenDB	2	A
16	TO BLOW			DyenDB	203	A
19	TO BREATHE			DyenDB		A
20	TO BURN			DyenDB	3	A
24	TO COME			DyenDB	206	A
25	TO COUNT			DyenDB		A
26	TO CUT			DyenDB	200	A
28	TO DIE			DyenDB	200	A
29	TO DIG			DyenDB	4	A
32	TO DRINK			DyenDB	3	A
38	TO EAT			DyenDB	6	A
41	TO FALL			DyenDB	200	A
45	TO FEAR			DyenDB	11	A
48	TO FIGHT			DyenDB	200	A
53	TO FLOAT			DyenDB	5	A
54	TO FLOW			DyenDB	200	A
56	TO FLY			DyenDB	6	A
60	TO FREEZE			DyenDB	207	A
63	TO GIVE			DyenDB	2	A
72	TO HEAR			DyenDB	3	A
76	TO HIT			DyenDB		A
80	TO HUNT			DyenDB	10	A
86	TO KILL			DyenDB	11	A
90	TO LAUGH			DyenDB	200	A
94	TO LIE			DyenDB	3	A
95	TO LIVE			DyenDB	2	A
118	TO PLAY			DyenDB	6	A
119	TO PULL			DyenDB		A
120	TO PUSH			DyenDB		A
121	TO RAIN			DyenDB	2	A
134	TO SAY			DyenDB	5	A
137	TO SEE			DyenDB	5	A
139	TO SEW			DyenDB	200	A
142	TO SING			DyenDB	5	A
143	TO SIT			DyenDB	200	A
146	TO SLEEP			DyenDB	5	A
148	TO SMELL			DyenDB	5	A
154	TO SPIT			DyenDB	203	A
155	TO SPLIT			DyenDB	2	A
156	TO SQUEEZE			DyenDB		A
157	TO STAB			DyenDB		A
158	TO STAND			DyenDB	202	A
163	TO SUCK			DyenDB	202	A
165	TO SWELL			DyenDB	2	A
166	TO SWIM			DyenDB	2	A
173	TO THINK			DyenDB	3	A
177	TO THROW			DyenDB	211	A
178	TO TIE			DyenDB	7	A
182	TO TURN			DyenDB		A
184	TO VOMIT			DyenDB		A
185	TO WALK			DyenDB	9	A
187	TO WASH			DyenDB	6	A
179	TONGUE			DyenDB	200	A
180	TOOTH			DyenDB	3	A
181	TREE			DyenDB	206	A
183	TWO			DyenDB	2	A
186	WARM			DyenDB	2	A
188	WATER			DyenDB	4	A
189	WE			DyenDB	2	A
190	WET			DyenDB	5	A
191	WHAT			DyenDB	3	A
192	WHEN			DyenDB	200	A
193	WHERE			DyenDB	200	A
194	WHITE			DyenDB	205	A
195	WHO			DyenDB	200	A
196	WIDE			DyenDB	200	A
197	WIFE			DyenDB	2	A
198	WIND			DyenDB	200	A
199	WING			DyenDB	2	A
200	WIPE			DyenDB		A
201	WITH			DyenDB	209	A
202	WOMAN			DyenDB	3	A
203	WOODS			DyenDB	209	A
204	WORM			DyenDB	203	A
205	YE			DyenDB	200	A
206	YEAR			DyenDB	4	A
207	YELLOW			DyenDB	200	A
