ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	ALLIR			DyenDB	001-004	A	001-004
002	OG			DyenDB	002-002	A	002-002
003	DYRUR			DyenDB	003-005	A	003-005
004	OSKA			DyenDB	004-007	A	004-007
005	VID, I, A			DyenDB	005-200	A	005-204
006	BAK, (RYGGUR)			DyenDB	006-209	A	006-211
007	ILLUR			DyenDB	007-210	A	007-212
008	BORKUR			DyenDB	008-200	A	008-200
009	(AV) TI (AT)			DyenDB	009-009	A	009-009
010	BUKUR			DyenDB	010-204	A	010-208
011	STORUR, MIKILL			DyenDB	011-200	A	011-201
012	FUGLUR			DyenDB	012-206	A	012-206
013	BITA			DyenDB	013-002	A	013-002
014	SVARTUR			DyenDB	014-003	A	014-003
015	BLOD			DyenDB	015-004	A	015-004
016	BLASA			DyenDB	016-203	A	016-205
017	BEIN			DyenDB	017-006	A	017-006
019	ANDA			DyenDB	019-200	A	019-200
020	BRENNA			DyenDB	020-003	A	020-003
021	BARN			DyenDB	021-002	A	021-002
022	SKYGGJ			DyenDB	022-202	A	022-202
023	KALDUR			DyenDB	023-002	A	023-002
024	KOMA			DyenDB	024-206	A	024-206
025	TELJA			DyenDB	025-200	A	025-200
026	SKERA			DyenDB	026-200	A	026-202
027	DAGUR			DyenDB	027-004	A	027-004
028	DOYGGJA, ANDAST			DyenDB	028-200	A	028-200
029	GRAVA			DyenDB	029-203	A	029-205
030	SKITIN			DyenDB	030-004	A	030-004
031	HUNDUR			DyenDB	031-003	A	031-003
032	DREKKA			DyenDB	032-003	A	032-003
033	TURRUR			DyenDB	033-005	A	033-005
034	OHVASSUR, BAKKI ( )			DyenDB	034-200	A	034-202
035	DUST, STOV			DyenDB	035-203	A	035-204
036	OYRA			DyenDB	036-200	A	036-200
037	MOLD, (JORO)			DyenDB	037-002	A	037-002
038	ETA			DyenDB	038-006	A	038-006
039	EGG			DyenDB	039-007	A	039-007
040	EYGA			DyenDB	040-002	A	040-002
041	FALLA, (DETTA)			DyenDB	041-200	A	041-200
042	LANGT BURTUR			DyenDB	042-200	A	042-202
043	FITI, (FEITT)			DyenDB	043-006	A	043-006
044	FADIR			DyenDB	044-209	A	044-210
045	RAEDAST, VERA RADDUR			DyenDB	045-003	A	045-003
046	FJODUR			DyenDB	046-203	A	046-203
047	FAIR			DyenDB	047-002	A	047-002
048	BERJAST, SLAAST			DyenDB	048-200	A	048-200
050	ELDUR			DyenDB	050-005	A	050-005
051	FISKUR			DyenDB	051-009	A	051-009
052	FIMM			DyenDB	052-002	A	052-002
053	FLOTA			DyenDB	053-005	A	053-005
054	RENNA			DyenDB	054-200	A	054-202
055	BLOMA			DyenDB	055-002	A	055-002
056	FLUGVA			DyenDB	056-006	A	056-006
057	TOKA			DyenDB	057-207	A	057-209
058	FOTUR			DyenDB	058-200	A	058-200
059	FYRA			DyenDB	059-002	A	059-002
060	FRYSTA			DyenDB	060-207	A	060-207
063	GEVA			DyenDB	063-002	A	063-002
064	GODUR			DyenDB	064-003	A	064-003
065	GRASS			DyenDB	065-007	A	065-007
066	GRONUR			DyenDB	066-003	A	066-003
067	TARMAR, GARNAR			DyenDB	067-205	A	067-206
068	HAR			DyenDB	068-004	A	068-004
069	HOND			DyenDB	069-003	A	069-003
070	HANN			DyenDB	070-203	A	070-203
071	HOVD			DyenDB	071-200	A	071-202
072	HOYRA			DyenDB	072-003	A	072-003
073	HJARTA			DyenDB	073-200	A	073-200
075	HER			DyenDB	075-003	A	075-003
076	SLAA			DyenDB	076-200	A	076-200
077	HALDA			DyenDB	077-200	A	077-200
079	HVUSSUR			DyenDB	079-200	A	079-200
080	VEIDA (VEIDA)			DyenDB	080-009	A	080-009
081	MADUR			DyenDB	081-206	A	081-206
082	EG			DyenDB	082-200	A	082-200
083	ISUR			DyenDB	083-005	A	083-005
084	UM, VISS			DyenDB	084-200	A	084-201
085	I			DyenDB	085-200	A	085-200
086	DREPA			DyenDB	086-205	A	086-205
088	VITA			DyenDB	088-200	A	088-200
089	VATN			DyenDB	089-003	A	089-003
090	LAEA			DyenDB	090-200	A	090-200
091	(LEYF)BLAD			DyenDB	091-204	A	091-204
092	VINSTRI			DyenDB	092-004	A	092-004
093	BEIN, LEGGUR			DyenDB	093-200	A	093-205
094	LIGGJA			DyenDB	094-003	A	094-003
095	LIVA			DyenDB	095-002	A	095-002
096	LIVUR			DyenDB	096-002	A	096-002
097	LANGUR			DyenDB	097-200	A	097-200
098	LUS			DyenDB	098-200	A	098-200
099	MADUR, KALLMADUR			DyenDB	099-203	A	099-205
100	MANGUR			DyenDB	100-200	A	100-200
101	HOLD			DyenDB	101-005	A	101-005
103	MODIR			DyenDB	103-200	A	103-200
104	FJALL			DyenDB	104-200	A	104-202
105	MUNNUR			DyenDB	105-007	A	105-007
106	NAVN			DyenDB	106-003	A	106-003
107	TRONGUR			DyenDB	107-218	A	107-220
108	NAR			DyenDB	108-200	A	108-200
109	HALSUR			DyenDB	109-204	A	109-206
110	NYGGJUR			DyenDB	110-200	A	110-200
111	NATT			DyenDB	111-004	A	111-004
112	NOS			DyenDB	112-005	A	112-005
113	IKKI			DyenDB	113-200	A	113-200
114	GAMAL(UR)			DyenDB	114-004	A	114-004
115	EIN			DyenDB	115-200	A	115-200
116	ANNAR			DyenDB	116-205	A	116-205
117	MADUR			DyenDB	117-209	A	117-216
118	LEIKA			DyenDB	118-203	A	118-203
119	DRAGA, TOGA			DyenDB	119-204	A	119-204
120	SKUMPA			DyenDB	120-206	A	120-206
121	REGNA			DyenDB	121-002	A	121-002
122	REYDUR			DyenDB	122-003	A	122-003
123	RAETTUR			DyenDB	123-200	A	123-200
124	HOGRI			DyenDB	124-004	A	124-004
125	A			DyenDB	125-007	A	125-007
126	VEGUR			DyenDB	126-209	A	126-209
127	ROT			DyenDB	127-003	A	127-003
128	REIP			DyenDB	128-007	A	128-007
129	FUGVIN, ROTIN			DyenDB	129-200	A	129-201
131	GNIGGJA			DyenDB	131-004	A	131-004
132	SALT			DyenDB	132-002	A	132-002
133	SANDUR			DyenDB	133-004	A	133-004
135	KLORA			DyenDB	135-003	A	135-003
136	SJOGVUR, HAV			DyenDB	136-200	A	136-201
137	SIGGJA			DyenDB	137-005	A	137-005
138	FRAE			DyenDB	138-003	A	138-003
139	SEYMA			DyenDB	139-200	A	139-202
140	BEITUR, HVASSUR			DyenDB	140-209	A	140-210
141	STUTTUR			DyenDB	141-005	A	141-005
142	SYNGJA			DyenDB	142-005	A	142-005
143	SITA			DyenDB	143-200	A	143-200
144	HUO, SKINN			DyenDB	144-200	A	144-203
145	HIMIN, (HIMNAL)			DyenDB	145-200	A	145-200
146	SOVA			DyenDB	146-200	A	146-200
147	LITIL, SMAUR			DyenDB	147-010	A	147-010
148	TEVJA			DyenDB	148-009	A	148-009
