ID	source_form	phon_form	notes	source	cognate_class
1	ALLE, ALLES			DyenDB	4
2	EN			DyenDB	9
3	DIER, BEEST			DyenDB	5
4	ASCH			DyenDB	7
7	SLECHT			DyenDB	7
9	WANT, OMDAT			DyenDB	6
11	GROOT			DyenDB	9
13	BYTEN			DyenDB	2
14	ZWART			DyenDB	3
15	BLOED			DyenDB	4
17	BEEN			DyenDB	6
19	ADEMEN			DyenDB	5
20	VERBRANDEN			DyenDB	3
21	KIND			DyenDB	3
22	WOLK			DyenDB	3
23	KOUD			DyenDB	2
26	SNYDEN			DyenDB	4
27	DAG			DyenDB	4
31	HOND			DyenDB	3
32	DRINKEN			DyenDB	3
33	DROOG			DyenDB	4
37	AERDE			DyenDB	4
38	ETEN			DyenDB	6
39	EI			DyenDB	7
40	OOG			DyenDB	2
43	VET			DyenDB	6
45	VREZEN			DyenDB	11
50	VUER, BRAND			DyenDB	3
51	VISCH			DyenDB	9
52	VYF			DyenDB	2
53	DRYVEN			DyenDB	6
55	BLOEM			DyenDB	2
56	VLIEGEN			DyenDB	6
59	VIER			DyenDB	2
61	VRUCHT			DyenDB	6
63	GEVEN			DyenDB	2
64	GOED			DyenDB	3
65	GRAS			DyenDB	7
66	GROEN			DyenDB	3
68	HAIR, HAER			DyenDB	4
69	HAND			DyenDB	3
72	HOOREN			DyenDB	3
74	ZWAAR			DyenDB	8
75	HIER			DyenDB	3
80	JAGEN			DyenDB	7
83	YS			DyenDB	5
89	MEER			DyenDB	5
92	LINKSCH			DyenDB	6
94	LIGGEN			DyenDB	3
95	LEVEN			DyenDB	2
96	LEVER			DyenDB	2
101	VLEESCH			DyenDB	6
105	MOND			DyenDB	7
106	NAEM			DyenDB	3
111	NACHT			DyenDB	4
112	NEUS			DyenDB	5
113	NIET			DyenDB	5
114	OUD			DyenDB	6
119	TREKKEN			DyenDB	4
121	REGENEN			DyenDB	2
122	ROOD			DyenDB	3
127	WORTEL			DyenDB	3
128	TOUW			DyenDB	6
132	ZOUT			DyenDB	2
133	ZAND			DyenDB	4
134	ZEGGEN			DyenDB	5
137	ZIEN			DyenDB	5
139	NAIJEN			DyenDB	4
140	SCHERP			DyenDB	4
141	KORT			DyenDB	3
142	ZINGEN			DyenDB	5
146	SLAPEN			DyenDB	5
147	KLEIN			DyenDB	2
148	RUIKEN			DyenDB	3
149	ROOK			DyenDB	2
152	SNEEUW			DyenDB	4
155	SPLITSEN			DyenDB	2
156	WRINGEN			DyenDB	3
157	STEKEN			DyenDB	3
159	STER			DyenDB	4
160	STOK			DyenDB	13
161	STEEN			DyenDB	4
165	OPZWELLEN			DyenDB	2
166	ZWEMMEN			DyenDB	2
172	DUN			DyenDB	2
173	DENKEN			DyenDB	3
175	U, GY			DyenDB	3
176	DRIE			DyenDB	2
180	TAND			DyenDB	3
181	BOOM			DyenDB	4
182	DRAAIJEN			DyenDB	3
183	TWEE			DyenDB	2
184	BRAKEN			DyenDB	3
185	LOOPEN			DyenDB	14
186	WARM			DyenDB	2
187	WASSCHEN			DyenDB	6
188	WATER			DyenDB	4
189	WY			DyenDB	2
190	NAT			DyenDB	4
191	WAT			DyenDB	3
197	ECHTGENOOTE, VROUW			DyenDB	5
199	VLEUGEL			DyenDB	4
200	VEEG			DyenDB	2
202	VROUW			DyenDB	2
206	JAER			DyenDB	4
