ID	source_form	phon_form	notes	source	cognate_class	reliability
1	TOUT			DyenDB	3	A
2	ET			DyenDB	204	A
3	ANIMAL			DyenDB	205	A
4	CENDRE			DyenDB	2	A
5	A			DyenDB	200	A
6	DOS			DyenDB	200	A
7	MAUVAIS			DyenDB	219	A
8	ECORCE			DyenDB	202	A
9	PARCE QUE			DyenDB	10	A
10	VENTRE			DyenDB	200	A
11	GRAND			DyenDB	207	A
12	OISEAU			DyenDB	200	A
14	NOIR			DyenDB	5	A
15	SANG			DyenDB	3	A
17	OS			DyenDB	200	A
21	ENFANT			DyenDB	14	A
22	NUAGE			DyenDB	8	A
23	FROID			DyenDB	3	A
27	JOUR			DyenDB	3	A
30	SALE			DyenDB	16	A
31	CHIEN			DyenDB	3	A
33	SEC			DyenDB	202	A
34	EMOUSSE			DyenDB	4	A
35	POUSSIERE			DyenDB	4	A
36	OREILLE			DyenDB	200	A
37	TERRE			DyenDB	205	A
39	OEUF			DyenDB	7	A
40	OEIL			DyenDB	2	A
42	LOIN			DyenDB	200	A
43	GRAISSE			DyenDB	9	A
44	PERE			DyenDB	200	A
46	PLUME (D'OISEAU)			DyenDB	200	B
47	PEU			DyenDB	2	A
50	FEU			DyenDB	2	A
51	POISSON			DyenDB	9	A
52	CINQ			DyenDB	2	A
55	FLEUR			DyenDB	2	A
57	BROUILLARD			DyenDB	6	A
58	PIED			DyenDB	200	A
59	QUATRE			DyenDB	2	A
61	FRUIT			DyenDB	3	A
64	BON			DyenDB	2	A
65	HERBE			DyenDB	2	A
66	VERT			DyenDB	8	A
67	BOYAU			DyenDB	9	A
68	CHEVEU			DyenDB	200	A
69	MAIN			DyenDB	2	A
70	IL			DyenDB	2	A
71	TETE			DyenDB	200	A
73	COEUR			DyenDB	200	A
74	LOURD			DyenDB	200	A
75	ICI			DyenDB	211	A
77	TENIR			DyenDB	4	A
79	COMMENT			DyenDB	200	A
81	MARI			DyenDB	200	A
82	JE			DyenDB	200	A
83	GLACE			DyenDB	200	A
84	SI			DyenDB	3	A
85	DANS			DyenDB	200	A
88	SAVOIR			DyenDB	2	A
89	LAC			DyenDB	200	A
91	FEUILLE			DyenDB	200	A
92	GAUCHE			DyenDB	8	A
93	JAMBE			DyenDB	4	A
96	FOIE			DyenDB	4	A
97	LONG			DyenDB	200	A
98	POU			DyenDB	3	A
99	HOMME			DyenDB	200	A
100	BEAUCOUP			DyenDB	6	A
101	VIANDE			DyenDB	203	A
103	MERE			DyenDB	200	A
104	MONTAGNE			DyenDB	2	A
105	BOUCHE			DyenDB	6	A
106	NOM			DyenDB	3	A
107	ETROIT			DyenDB	200	A
108	PRES			DyenDB	4	A
109	COU			DyenDB	204	A
110	NOUVEAU			DyenDB	200	A
111	NUIT			DyenDB	4	A
112	NEZ			DyenDB	5	A
113	NON			DyenDB	5	A
114	VIEUX			DyenDB	10	A
115	UN			DyenDB	200	A
116	AUTRE			DyenDB	9	A
117	PERSONNE			DyenDB	206	A
122	ROUGE			DyenDB	3	A
123	JUSTE			DyenDB	200	A
124	DROIT			DyenDB	200	A
125	RIVIERE			DyenDB	200	A
126	CHEMIN			DyenDB	6	A
127	RACINE			DyenDB	3	A
128	CORDE			DyenDB	10	A
129	POURRI			DyenDB	2	A
131	FROTTER			DyenDB	2	A
132	SEL			DyenDB	2	A
133	SABLE			DyenDB	206	A
135	GRATTER			DyenDB	2	A
136	MER			DyenDB	200	A
138	SEMENCE			DyenDB	200	A
140	TRANCHANT			DyenDB	207	A
141	COURT			DyenDB	12	A
144	PEAU			DyenDB	200	A
145	CIEL			DyenDB	3	A
147	PETIT			DyenDB	3	A
149	FUMEE			DyenDB	200	A
150	LISSE			DyenDB	202	A
151	SERPENT			DyenDB	6	A
152	NEIGE			DyenDB	4	A
153	QUELQUE			DyenDB	204	A
159	ETOILE			DyenDB	4	A
160	BATON			DyenDB	5	A
161	PIERRE			DyenDB	202	A
162	DROIT			DyenDB	203	A
164	SOLEIL			DyenDB	203	A
167	QUEUE			DyenDB	203	A
168	CELA			DyenDB	209	A
169	LA			DyenDB	200	A
170	ILS			DyenDB	207	A
171	EPAIS			DyenDB	209	A
172	MINCE			DyenDB	204	A
174	CECI			DyenDB	200	A
175	TU			DyenDB	200	A
176	TROIS			DyenDB	2	A
13	MORDRE			DyenDB	3	A
16	SOUFFLER (DU VENT)			DyenDB	203	A
19	RESPIRER			DyenDB	200	A
20	BRULER			DyenDB	212	A
24	VENIR			DyenDB	206	A
25	COMPTER			DyenDB	203	A
26	COUPER			DyenDB	204	A
28	MOURIR			DyenDB	3	A
29	CREUSER			DyenDB		A
32	BOIRE			DyenDB	4	A
38	MANGER			DyenDB	4	A
41	TOMBER			DyenDB	4	A
45	CRAINDRE			DyenDB	205	A
48	SE BATTRE			DyenDB	205	A
53	FLOTTER			DyenDB	3	A
54	COULER			DyenDB	209	A
56	VOLER (OISEAU)			DyenDB	5	A
60	GELER			DyenDB	204	A
63	DONNER			DyenDB	200	A
72	ENTENDRE			DyenDB	200	A
76	FRAPPER			DyenDB		A
80	CHASSER			DyenDB	3	A
86	TUER			DyenDB	9	A
90	RIRE			DyenDB	3	A
94	SE COUCHER			DyenDB	200	A
95	VIVRE			DyenDB	5	A
118	JOUER			DyenDB	3	A
119	TIRER			DyenDB	200	A
120	POUSSER			DyenDB	2	A
121	PLEUVOIR			DyenDB	4	A
134	DIRE			DyenDB	3	A
137	VOIR			DyenDB	3	A
139	COUDRE			DyenDB	200	A
142	CHANTER			DyenDB	3	A
143	ASSEOIR (ETRE ASSIS)			DyenDB	200	A
146	DORMIR			DyenDB	4	A
148	SENTIR			DyenDB	205	A
154	CRACHER			DyenDB	203	B
155	FENDRE			DyenDB	203	A
156	SERRER			DyenDB	205	A
157	POIGNARDER			DyenDB	200	A
158	DEBOUT			DyenDB	5	A
163	SUCER			DyenDB	202	A
165	ENFLER			DyenDB	206	A
166	NAGER			DyenDB	7	A
173	PENSER			DyenDB	213	A
177	JETER			DyenDB	205	A
178	LIER			DyenDB	200	A
182	TOURNER			DyenDB	10	A
184	VOMIR			DyenDB	4	A
185	MARCHER			DyenDB	6	A
187	LAVER			DyenDB	4	A
179	LANGUE			DyenDB	200	A
180	DENT			DyenDB	3	A
181	ARBRE			DyenDB	6	A
183	DEUX			DyenDB	2	A
186	CHAUD			DyenDB	3	A
188	EAU			DyenDB	3	A
189	NOUS			DyenDB	2	A
190	MOUILLE			DyenDB	12	A
191	QUE			DyenDB	3	A
192	QUAND			DyenDB	200	A
193	OU			DyenDB	200	A
194	BLANC			DyenDB	200	A
195	QUI			DyenDB	200	A
196	LARGE			DyenDB	3	A
197	FEMME, EPOUSE			DyenDB	208	A
198	VENT			DyenDB	200	A
199	AILE			DyenDB	6	A
200	ESSUYER			DyenDB	203	A
201	AVEC			DyenDB	206	A
202	FEMME			DyenDB	200	A
203	BOIS			DyenDB	206	A
204	VER			DyenDB	203	A
205	VOUS			DyenDB	200	A
206	AN			DyenDB	2	A
207	JAUNE			DyenDB	200	A
