ID	source_form	phon_form	notes	source	cognate_class	reliability
1	TUT			DyenDB	3	A
2	EPI, E			DyenDB	204	A
3	BET, ZANIMO			DyenDB	205	A
4	SAN			DyenDB	2	A
5	A (TIME), 0 (ZERO), A (PLACE)			DyenDB	200	A
6	DO			DyenDB	200	A
7	MOVE			DyenDB	219	A
8	LAPO BWA			DyenDB	6	A
9	PIS, A KOZ, BIKOZ			DyenDB	10	A
10	BUDE, VAT			DyenDB	200	A
11	GHWA, GHO			DyenDB	207	A
12	ZIBYE (BIG), ZWEZO (SMALL)			DyenDB	200	A
14	NWE			DyenDB	5	A
15	SA			DyenDB	3	A
17	ZO			DyenDB	200	A
21	ZAFA, TI MAMAY			DyenDB	14	A
22	NIAZ			DyenDB	8	A
23	FWET			DyenDB	3	A
27	ZU			DyenDB	3	A
30	SAL			DyenDB	16	A
31	SIE			DyenDB	3	A
33	SES			DyenDB	202	A
34	PA FILE			DyenDB	10	A
35	PUSYE			DyenDB	4	A
36	ZOHWEY			DyenDB	200	A
37	TE			DyenDB	205	A
39	ZE			DyenDB	7	A
40	ZYE			DyenDB	2	A
42	LWE			DyenDB	200	A
43	GHWES			DyenDB	9	A
44	PAPA			DyenDB	209	B
46	PLIM			DyenDB	200	A
47	PE			DyenDB	2	A
50	DIFE			DyenDB	2	A
51	PWESO			DyenDB	9	A
52	SEK			DyenDB	2	A
55	FLE			DyenDB	2	A
57	(VAPE, NIAZ)			DyenDB	200	A
58	PYE			DyenDB	200	A
59	KAT			DyenDB	2	A
61	FWITAZ (CULTIV.), GHWEN BWA (WILD)			DyenDB	3	A
64	BO			DyenDB	2	A
65	ZEB			DyenDB	2	A
66	VE			DyenDB	8	A
67	THWIP			DyenDB	200	A
68	SIVE			DyenDB	200	A
69	LAME			DyenDB	2	A
70	I			DyenDB	2	A
71	TET			DyenDB	200	A
73	CE			DyenDB	3	A
74	LU			DyenDB	200	A
75	ESIT, ISI			DyenDB	211	A
77	CEN			DyenDB	4	A
79	KUMA			DyenDB	200	A
81	MAHWI			DyenDB	200	A
82	MWE			DyenDB	200	A
83	LAGLAS			DyenDB	200	A
84	SI			DyenDB	3	A
85	A			DyenDB	200	A
88	SAV  SE			DyenDB	2	A
89	LETA			DyenDB	7	A
91	FEY			DyenDB	200	A
92	GOS			DyenDB	8	A
93	ZAM			DyenDB	4	A
96	FWA			DyenDB	4	A
97	LON			DyenDB	200	A
98	PU			DyenDB	3	A
99	NOM			DyenDB	200	A
100	STA, A PIL			DyenDB	8	A
101	VYAN, LASE (FLESH)			DyenDB	203	A
103	MAMA			DyenDB	200	A
104	MON, MOTAY			DyenDB	2	A
105	BUS			DyenDB	6	A
106	NO			DyenDB	3	A
107	ETHWET			DyenDB	200	A
108	PWE			DyenDB	4	A
109	KU			DyenDB	204	A
110	NUVO			DyenDB	200	A
111	LANWIT			DyenDB	4	A
112	NE			DyenDB	5	A
113	PA			DyenDB	2	A
114	VYE			DyenDB	10	A
115	YO			DyenDB	200	A
116	LOT			DyenDB	9	A
117	MUN			DyenDB	5	A
122	HWUZ			DyenDB	3	A
123	BO, KOREK			DyenDB		A
124	DWET			DyenDB	200	A
125	LAYVYE			DyenDB	200	A
126	SIME			DyenDB	6	A
127	HWASIN			DyenDB	3	A
128	KOD, LIN			DyenDB	10	A
129	PUHWI			DyenDB	2	A
131	FWOTE			DyenDB	2	A
132	SEL			DyenDB	2	A
133	SAB			DyenDB	206	A
135	GHWAFIYE			DyenDB	2	A
