ID	source_form	phon_form	notes	source	cognate_class	reliability
001	TUT			DyenDB	001-003	A
002	EPI			DyenDB	002-206	A
004	SAN			DyenDB	004-002	A
005	A-, A			DyenDB	005-202	A
006	DO			DyenDB	006-200	A
007	MOVE			DyenDB	007-219	A
008	LAPO			DyenDB	008-006	A
009	PAS, PIS			DyenDB	009-010	A
010	BUDE			DyenDB	010-200	A
011	GWO, GWA			DyenDB	011-208	A
012	ZWEZO			DyenDB	012-200	A
013	MODE			DyenDB	013-003	A
014	NWE			DyenDB	014-005	A
015	SA			DyenDB	015-003	A
016	VATE			DyenDB		A
017	ZOS			DyenDB	017-200	A
019	WESPIRE			DyenDB	019-202	A
020	BWILE			DyenDB	020-214	A
021	ZAFA			DyenDB	021-014	A
022	NWAZ			DyenDB	022-008	A
023	FWET			DyenDB	023-003	A
024	VINI			DyenDB	024-206	A
025	KOTE			DyenDB	025-205	A
026	KUPE			DyenDB	026-204	A
027	ZU			DyenDB	027-003	A
028	MO			DyenDB	028-003	A
029	FWIYE			DyenDB	029-002	A
030	SAL			DyenDB	030-016	A
031	SYE			DyenDB	031-003	A
032	BWE			DyenDB	032-004	A
033	SES			DyenDB	033-202	A
034	PA FILE			DyenDB	034-010	A
035	PUSYE			DyenDB	035-004	A
036	ZOREJ			DyenDB	036-200	A
037	TE			DyenDB	037-205	A
038	MAZE			DyenDB	038-004	A
039	ZE			DyenDB	039-007	A
040	ZJE			DyenDB	040-002	A
041	TOBE			DyenDB	041-004	A
042	LWE			DyenDB	042-202	A
043	GWES			DyenDB	043-009	A
044	PAPA			DyenDB	044-217	A
045	PE			DyenDB	045-209	A
046	PLIM			DyenDB	046-206	A
047	PE			DyenDB	047-002	A
048	GUME			DyenDB	048-206	A
050	DIFE			DyenDB	050-002	A
051	PWESO			DyenDB	051-009	A
052	SEK			DyenDB	052-002	A
053	FLOTE			DyenDB	053-003	A
054	KULE			DyenDB	054-209	A
055	FLE			DyenDB	055-002	A
056	VOLE			DyenDB	056-005	A
058	PYE			DyenDB	058-200	A
059	KAT			DyenDB	059-002	A
060	ZELE			DyenDB	060-204	A
061	FWI			DyenDB	061-003	A
063	BAY			DyenDB	063-202	A
064	BO			DyenDB	064-002	A
065	ZEB			DyenDB	065-002	A
066	VE			DyenDB	066-008	A
067	BUDE			DyenDB	067-009	A
068	SIVE			DyenDB	068-200	A
069	LAME			DyenDB	069-002	A
070	I			DyenDB	070-002	A
071	TET			DyenDB	071-200	A
072	TAN			DyenDB	072-200	A
073	CE			DyenDB	073-003	A
074	LU			DyenDB	074-203	A
075	ISI			DyenDB	075-216	A
076	FUTE			DyenDB	076-006	A
077	CEN			DyenDB	077-004	A
079	KUMA			DyenDB	079-200	A
080	SASE			DyenDB	080-003	A
081	MAWI			DyenDB	081-200	A
082	MWE			DyenDB	082-200	A
083	LAGLAS			DyenDB	083-200	A
084	SI			DyenDB	084-003	A
085	A			DyenDB	085-200	A
086	CWE			DyenDB	086-009	A
088	SAV			DyenDB	088-002	A
089	LETA			DyenDB	089-007	A
090	WI			DyenDB	090-003	A
091	FEY			DyenDB	091-200	A
092	GOS			DyenDB	092-008	A
093	ZAM			DyenDB	093-004	A
094	KUSE			DyenDB	094-200	A
095	VIV			DyenDB	095-005	A
096	FWA			DyenDB	096-004	A
097	LON			DyenDB	097-200	A
098	PU			DyenDB	098-003	A
099	NOM			DyenDB	099-200	A
100	OTA			DyenDB	100-008	A
101	LASE			DyenDB	101-203	A
103	MAMA			DyenDB	103-206	A
104	MON			DyenDB	104-002	A
105	BUS			DyenDB	105-006	A
106	NO			DyenDB	106-003	A
107	ETWET			DyenDB	107-200	A
108	PWE			DyenDB	108-004	A
109	KU			DyenDB	109-206	A
110	NUVO			DyenDB	110-200	A
111	LENWIT			DyenDB	111-004	A
112	NE			DyenDB	112-005	A
113	PE			DyenDB	113-002	A
114	VYE			DyenDB	114-010	A
115	YO			DyenDB	115-200	A
116	LOT			DyenDB	116-009	A
117	MUA			DyenDB	117-005	A
118	ZWE			DyenDB	118-003	A
119	TIWE			DyenDB	119-200	A
120	PUSE			DyenDB	120-002	A
121	TOBE (LAPLI)			DyenDB	121-004	A
122	WUZ			DyenDB	122-003	A
124	DWET			DyenDB	124-200	A
125	LAYVYE			DyenDB	125-200	A
126	SIME			DyenDB	126-006	A
127	WASIN			DyenDB	127-003	A
128	KOD			DyenDB	128-010	A
129	PUWI			DyenDB	129-002	A
131	FWOTE			DyenDB	131-002	A
132	SEL			DyenDB	132-002	A
133	SAB			DyenDB	133-206	A
134	DI			DyenDB	134-003	A
135	GWATE			DyenDB	135-002	A
136	LAME			DyenDB	136-204	A
137	(V)WE			DyenDB	137-003	A
138	GWEN			DyenDB	138-005	A
139	KUD			DyenDB	139-200	A
140	FILE			DyenDB	140-202	A
141	KUT			DyenDB	141-012	A
142	SATE			DyenDB	142-003	A
143	ASIZ			DyenDB	143-200	A
144	LAPO			DyenDB	144-200	A
145	SYEL			DyenDB	145-003	A
146	DOMI			DyenDB	146-004	A
147	PITI			DyenDB	147-003	A
148	SATI			DyenDB	148-205	A
149	LAFIME			DyenDB	149-200	A
150	LIS			DyenDB	150-202	A
152	LANEZ			DyenDB	152-004	A
153	CEK			DyenDB	153-005	A
154	KWASE			DyenDB	154-204	A
155	FAN			DyenDB	155-203	A
156	PIZE			DyenDB	156-017	A
157	CUK			DyenDB	157-008	A
158	DUBUT			DyenDB	158-005	A
159	ZETWEL			DyenDB	159-004	A
160	MOSO BWA			DyenDB		A
161	WOS			DyenDB	161-204	A
162	DWET			DyenDB	162-203	A
163	SUSE			DyenDB	163-206	A
164	SOLEY			DyenDB	164-203	A
165	AFLE			DyenDB	165-209	A
166	NEZE			DyenDB	166-007	A
