ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	ALLE, ALLES, ALLEGEARRE			DyenDB	001-004	A	001-004
002	EN			DyenDB	002-009	A	002-009
003	BISTEGUD			DyenDB		A	
004	YESKE			DyenDB	004-007	A	004-007
005	OP			DyenDB		A	
006	RUG, RECH			DyenDB	006-209	A	006-209
007	BAR, ERCH, LILK			DyenDB	007-210	A	007-213
008	BAST			DyenDB	008-202	A	008-202
009	OMDET, OMREDENEN, TROCHDET			DyenDB	009-006	A	009-006
010	BAST, BUK			DyenDB	010-204	A	010-208
011	GREAT			DyenDB	011-009	A	011-009
012	FUGEL			DyenDB	012-206	A	012-206
013	BITE			DyenDB	013-002	A	013-002
015	BLOED			DyenDB	015-004	A	015-004
016	WAEIJE			DyenDB	016-203	A	016-203
017	BIEN			DyenDB	017-006	A	017-006
019	AMJE, AZEMJE			DyenDB	019-005	A	019-005
020	BARNE, BRANNE			DyenDB	020-003	A	020-003
021	KYN			DyenDB	021-003	A	021-003
022	WOLK, WOLKE			DyenDB	022-003	A	022-003
023	KALD			DyenDB	023-002	A	023-002
024	KOMME			DyenDB	024-206	A	024-206
025	TELLE			DyenDB	025-200	A	025-200
026	SNIJE			DyenDB	026-004	A	026-004
027	DEI			DyenDB	027-004	A	027-004
028	DEAGEAN, FORSTJERRE			DyenDB	028-200	A	028-201
029	DOLLE, GRAVE			DyenDB	029-203	A	029-206
030	FIIS			DyenDB	030-208	A	030-208
031	HOUN			DyenDB	031-003	A	031-003
032	NINNE			DyenDB		A	
033	DROECH			DyenDB	033-004	A	033-004
034	STOMP			DyenDB	034-005	A	034-005
035	STOF			DyenDB	035-203	A	035-203
036	EAR			DyenDB	036-200	A	036-200
037	IERDE			DyenDB	037-004	A	037-004
038	ITE			DyenDB	038-006	A	038-006
039	EIKE			DyenDB	039-007	A	039-007
040	EACH			DyenDB	040-002	A	040-002
041	FALLE			DyenDB	041-200	A	041-200
042	FIER			DyenDB	042-200	A	042-200
043	VET			DyenDB	043-006	A	043-006
044	FAER			DyenDB	044-209	A	044-210
045	EANGJE			DyenDB		A	
046	FEAR			DyenDB	046-203	A	046-203
047	RUSKE			DyenDB		A	
048	DEILJE			DyenDB		A	
050	BRAN, FJUR			DyenDB	050-003	A	050-003
051	FISK			DyenDB	051-009	A	051-009
052	FIIF			DyenDB	052-002	A	052-002
053	DOBBERJE			DyenDB		A	
054	STROME			DyenDB	054-200	A	054-205
055	BLOM			DyenDB	055-002	A	055-002
056	WJUKJE			DyenDB		A	
057	DIZE			DyenDB		A	
058	FOET			DyenDB	058-200	A	058-200
059	FJOUWER			DyenDB	059-002	A	059-002
060	FRIEZE			DyenDB	060-207	A	060-207
061	FRUCHT			DyenDB	061-006	A	061-006
064	WOL			DyenDB		A	
065	GJERS			DyenDB	065-007	A	065-007
066	GRIEM			DyenDB	066-003	A	066-003
068	HIER			DyenDB	068-004	A	068-004
