ID	source_form	phon_form	notes	source	cognate_class	reliability
001	HOLOI			DyenDB	001-006	A
002	KAI			DyenDB	002-008	A
003	TO DZOO			DyenDB	003-202	A
004	STACHTE, STACHTES			DyenDB	004-009	A
005	STO, STE			DyenDB	005-002	A
006	PISO			DyenDB	006-002	A
007	KAKOS			DyenDB	007-218	A
008	FLOUDA			DyenDB	008-208	A
009	EPEIDE, GIATI			DyenDB	009-201	A
010	KOILIA			DyenDB	010-003	A
011	MEGALOS			DyenDB	011-200	A
012	POULI			DyenDB	012-003	A
013	DAGKONO			DyenDB	013-008	A
014	MAUROS			DyenDB	014-013	A
015	HAIMA			DyenDB	015-009	A
016	FUSAEI			DyenDB	016-006	A
017	KOKKALO			DyenDB	017-004	A
019	ANAPNEO			DyenDB	019-006	A
020	KAIOMAI			DyenDB	020-002	A
021	PAIDI			DyenDB	021-011	A
022	SUNNEFO			DyenDB	022-207	A
023	KRUO			DyenDB	023-009	A
024	ERCHOMAI			DyenDB	024-209	A
025	METRAO			DyenDB	025-003	A
026	KOBO			DyenDB	026-009	A
027	MERA, HEMERA			DyenDB	027-002	A
028	PETHAINO			DyenDB	028-002	A
029	SKABO			DyenDB	029-203	A
030	BROMIKOS			DyenDB	030-216	A
031	SKULOS, SKOLI			DyenDB	031-008	A
032	PINO			DyenDB	032-004	A
033	KSEROS			DyenDB	033-200	A
034	DIOLOU MUTERO, DEV KOBEI			DyenDB	034-003	A
035	SKONE			DyenDB	035-005	A
036	AUTI			DyenDB	036-200	A
037	CHOMA			DyenDB	037-204	A
038	TROO			DyenDB	038-005	A
039	AUGO			DyenDB	039-007	A
040	MATI			DyenDB	040-002	A
041	PEFTO			DyenDB	041-006	A
042	MAKRIA			DyenDB	042-002	A
043	LIPOS, KSUGGI			DyenDB	043-003	A
044	PATERAS, MPAMPAS			DyenDB	044-211	A
045	FOBAMAI			DyenDB	045-005	A
046	FTEROUGA			DyenDB	046-203	A
047	LIGOI			DyenDB	047-007	A
048	POLEMAO			DyenDB	048-005	A
050	FOTIA			DyenDB	050-007	A
051	PSARI			DyenDB	051-005	A
052	PENTE			DyenDB	052-002	A
053	PLEO			DyenDB	053-005	A
054	TRECHO			DyenDB	054-208	A
055	LOULOUDI			DyenDB	055-006	A
056	PETAO			DyenDB	056-002	A
057	OMICHLE			DyenDB	057-200	A
058	PODI			DyenDB	058-200	A
059	TESSERA			DyenDB	059-002	A
060	PAGONO			DyenDB	060-002	A
061	FROUTO			DyenDB	061-007	A
