ID	source_form	phon_form	notes	source	cognate_class	reliability
1	HOLOI			DyenDB	001-006	A
2	KAI			DyenDB	002-008	A
3	DZOON			DyenDB	003-200	A
4	TEFRA			DyenDB	004-001	A
5	EIS TO			DyenDB	005-002	A
6	HOPISO			DyenDB	006-002	A
7	KAKOS			DyenDB	007-218	A
8	FLOIOS			DyenDB	008-209	A
9	EPEIDE, DIOTI			DyenDB	009-200	A
10	KOILIA			DyenDB	010-003	A
11	MEGALOS			DyenDB	011-200	A
12	PTENON			DyenDB	012-006	A
14	MELAS			DyenDB	014-010	A
15	HAIMA			DyenDB	015-009	A
17	OSTOUN			DyenDB	017-200	A
21	PAIDION			DyenDB	020-011	A
22	NEFOS			DyenDB	021-207	A
23	PSUCHROS			DyenDB	022-001	A
27	HEMERA			DyenDB	026-002	A
30	AKATHARTOS			DyenDB	029-001	A
31	KUON			DyenDB	030-003	A
33	KSEROS			DyenDB	032-200	A
34	ME AICHMERON			DyenDB	033-001	A
35	KONIORTOS			DyenDB	034-001	A
36	HOUS			DyenDB	035-200	A
37	CHOMA			DyenDB	036-204	A
39	HOON			DyenDB	038-001	A
40	OFTHALMOS			DyenDB	039-002	A
42	MAKRAN			DyenDB	041-002	A
43	LIPOS			DyenDB	042-003	A
44	PATER			DyenDB	043-209	A
46	PTERUKS			DyenDB	045-203	A
47	OLIGOI			DyenDB	046-007	A
50	PUR			DyenDB	048-003	A
51	ICHTHUS			DyenDB	049-004	A
52	PENTE			DyenDB	050-002	A
55	ANTHOS			DyenDB	053-001	A
57	OMICHLE			DyenDB	055-200	A
58	POUS			DyenDB	056-200	A
59	TESSARA			DyenDB	057-002	A
61	OPORAI, KARPOI			DyenDB	059-001	A
64	KALOS			DyenDB	061-009	A
65	CHLOE			DyenDB	062-003	A
66	PRASINOS			DyenDB	063-004	A
67	EUTOSTHIA			DyenDB	064-001	A
68	KOME			DyenDB	065-001	A
69	CHEIR			DyenDB	066-203	A
70	OUTOS			DyenDB	067-003	A
71	KEFALE			DyenDB	068-007	A
73	KARDIA			DyenDB	070-200	A
74	BARUS			DyenDB	071-200	A
75	EDO			DyenDB	072-004	A
77	KRATO			DyenDB	074-002	A
79	POS			DyenDB	075-200	A
81	SUDZUGOS			DyenDB	077-001	A
82	EGO			DyenDB	078-200	A
83	PAGOS			DyenDB	079-006	A
84	AN			DyenDB	080-006	A
85	EIS			DyenDB	081-200	A
88	GNORIDZO			DyenDB	083-200	A
89	LIMNE			DyenDB	084-006	A
91	FULLON			DyenDB	086-204	A
92	ARISTERA			DyenDB	087-013	A
93	POUS			DyenDB	088-200	A
