ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	HOLOI			DyenDB	001-006	A	001-006
002	KAI, ME			DyenDB	002-008	A	002-008
003	DZOO			DyenDB	003-200	A	003-202
004	STACHTE			DyenDB	004-009	A	004-009
005	SE, STE			DyenDB	005-002	A	005-002
006	PLATE, RACHE			DyenDB	006-109	C	006-109
007	ASKEMOS			DyenDB		A	
009	GIATI			DyenDB	009-200	A	009-202
010	KOILIA			DyenDB	010-003	A	010-003
011	MEGALOS			DyenDB	011-200	A	011-200
012	POULI			DyenDB	012-003	A	012-003
013	DAGKANO			DyenDB	013-008	A	013-008
014	MAUROS			DyenDB	014-013	A	014-013
015	HAIMA			DyenDB	015-009	A	015-009
016	FUSO			DyenDB	016-006	A	016-006
017	KOKKALO			DyenDB	017-004	A	017-004
019	ANAPNEO			DyenDB	019-006	A	019-006
020	KAIETAI (3 SG.)			DyenDB	020-002	A	020-002
021	PAIDI, PAIDAKI			DyenDB	021-011	A	021-011
022	SUNNEFO			DyenDB	022-207	A	022-207
023	KRUOS			DyenDB	023-009	A	023-009
024	ERCHOMAI			DyenDB	024-209	A	024-209
025	METRO			DyenDB	025-003	A	025-003
026	KOBO			DyenDB	026-009	A	026-009
027	MERA, HEMERA			DyenDB	027-002	A	027-002
028	PETHAINO, PSOFO			DyenDB	028-002	A	028-002
029	SKABO			DyenDB	029-203	A	029-203
030	BROMIKOS, LEROMENOS			DyenDB	030-214	A	030-215
031	SKULI			DyenDB	031-008	A	031-008
032	PINO			DyenDB	032-004	A	032-004
033	STEGNOS			DyenDB		A	
034	STOMOMENOS			DyenDB		A	
035	SKONE			DyenDB	035-005	A	035-005
036	AUTI			DyenDB	036-200	A	036-200
037	CHOMA			DyenDB	037-204	A	037-204
038	TROGO			DyenDB	038-005	A	038-005
039	AUGO			DyenDB	039-007	A	039-007
040	MATI			DyenDB	040-002	A	040-002
041	PEFTO			DyenDB	041-006	A	041-006
042	MAKRUA			DyenDB	042-002	A	042-002
043	LIPOS			DyenDB	043-003	A	043-003
