ID	source_form	phon_form	notes	source	cognate_class
1	HOLOS			DyenDB	6
2	KAI			DyenDB	8
4	STACHTE			DyenDB	9
5	SE			DyenDB	2
10	KOILIA			DyenDB	3
12	POULI			DyenDB	3
13	DAGKANO			DyenDB	8
14	MAUROS			DyenDB	13
15	HAIMA			DyenDB	9
16	FUSO			DyenDB	6
17	KOKKALO			DyenDB	4
20	KAIGETAI (3 SG.)			DyenDB	2
21	PAIDI			DyenDB	11
23	KRUO			DyenDB	9
25	METRO			DyenDB	3
26	KOBO			DyenDB	9
27	MERA			DyenDB	2
28	PETHAINO			DyenDB	2
31	SKULOS			DyenDB	8
32	PINO			DyenDB	4
35	SKONE			DyenDB	5
38	TROGO			DyenDB	5
39	AUGO			DyenDB	7
40	MATI			DyenDB	2
41	PEFTO			DyenDB	6
42	MAKRUA			DyenDB	2
43	LIPOS			DyenDB	3
45	FOBAMAI			DyenDB	5
47	LIGOI (M. PL. NOM.)			DyenDB	7
48	POLEMO			DyenDB	5
50	FOTIA			DyenDB	7
51	PSARI			DyenDB	5
52	PENTE			DyenDB	2
53	PLEBO			DyenDB	5
55	LOULOUDI			DyenDB	6
56	PETO			DyenDB	2
59	TESSERA			DyenDB	2
60	PAGONO			DyenDB	2
61	FROUTO			DyenDB	7
64	KALOS			DyenDB	9
65	CHORTARI			DyenDB	11
66	PRASINOS			DyenDB	4
67	ANTERA			DyenDB	10
70	AUTOS			DyenDB	3
71	KEFALI			DyenDB	7
72	AKOUGO			DyenDB	3
75	EDO			DyenDB	4
80	KUNEGO			DyenDB	12
81	ANTRAS			DyenDB	3
83	PAGOS			DyenDB	6
84	AN			DyenDB	6
89	LIMNE			DyenDB	6
90	GELO			DyenDB	6
92	ARISTEROS			DyenDB	13
94	KSAPLONO			DyenDB	5
95	DZO			DyenDB	5
96	SEKOTI			DyenDB	6
97	MAKRUS			DyenDB	2
98	PSEIRA			DyenDB	6
101	KREAS			DyenDB	9
105	STOMA			DyenDB	8
106	ONOMA			DyenDB	3
107	STENOS			DyenDB	4
108	KONTA			DyenDB	13
109	LAIMOS			DyenDB	5
110	KAINOURGIOS			DyenDB	2
111	NUCHTA			DyenDB	4
112	MUTE			DyenDB	6
113	DEN			DyenDB	3
115	HENA			DyenDB	2
118	PAIDZO			DyenDB	8
119	TRABO			DyenDB	2
121	BRECHEI (3 SG.)			DyenDB	9
122	KOKKINOS			DyenDB	6
123	SOSTOS			DyenDB	3
124	DEKSIOS			DyenDB	2
125	POTAMOS			DyenDB	10
126	DROMOS			DyenDB	15
127	HRIDZA			DyenDB	3
128	SKOINI			DyenDB	11
129	SAPIOS			DyenDB	5
131	TRIBO			DyenDB	3
132	HALATI			DyenDB	2
133	HAMMOS			DyenDB	6
134	LEGO			DyenDB	7
137	BLEPO			DyenDB	12
138	SPOROS			DyenDB	7
139	HRABO			DyenDB	6
140	KOFTEROS			DyenDB	7
141	KONTOS			DyenDB	6
142	TRAGOUDO			DyenDB	4
145	OURANOS			DyenDB	9
146	KOIMAMAI			DyenDB	7
147	MIKROS			DyenDB	8
148	MURIDZO			DyenDB	11
149	KAPNOS			DyenDB	4
159	ASTRO			DyenDB	4
160	KSULO			DyenDB	12
161	PETRA			DyenDB	2
162	ISIOS			DyenDB	2
163	HROUFO			DyenDB	4
166	KOLUMPO			DyenDB	6
167	OURA			DyenDB	13
169	EKEI			DyenDB	4
172	PSILOS			DyenDB	9
176	TRIA			DyenDB	2
178	DENO			DyenDB	9
179	GLOSSA			DyenDB	2
180	DONTI			DyenDB	3
183	DUO			DyenDB	2
185	PERPATO			DyenDB	11
186	DZESTOS			DyenDB	7
187	PLUNO			DyenDB	5
188	NERO			DyenDB	2
189	EMEIS			DyenDB	2
190	BREMENOS			DyenDB	10
191	TI			DyenDB	3
194	ASPROS			DyenDB	5
198	AGERAS			DyenDB	4
203	DASOS			DyenDB	7
204	SKOULEKI			DyenDB	2
205	ESEIS			DyenDB	2
206	CHRONOS			DyenDB	13
207	KITRINOS			DyenDB	6
