ID	source_form	phon_form	notes	source	cognate_class	reliability
001	OLOS			DyenDB	001-006	A
002	KE, K, KY			DyenDB	002-008	A
003	ZOO			DyenDB	003-202	A
004	STAKHTI			DyenDB	004-009	A
005	SE, S			DyenDB	005-002	A
006	PLATI			DyenDB	006-109	C
007	KAKOS			DyenDB	007-218	A
008	FLUDHA			DyenDB	008-208	A
009	YATI, PU			DyenDB	009-202	A
010	KILYA			DyenDB	010-003	A
011	MEGHALOS			DyenDB	011-200	A
012	PULI			DyenDB	012-003	A
013	DHANGO			DyenDB	013-008	A
014	MAVROS			DyenDB	014-013	A
015	EMA			DyenDB	015-009	A
016	FISA(I)			DyenDB	016-006	A
017	KOKALO			DyenDB	017-004	A
019	ANAPNEO			DyenDB	019-006	A
020	KEO			DyenDB	020-002	A
021	PEDHI			DyenDB	021-011	A
022	SIGHNEFO			DyenDB	022-207	A
023	KRIOS			DyenDB	023-009	A
024	ERKHOME			DyenDB	024-209	A
025	METRO			DyenDB	025-003	A
026	KOVO			DyenDB	026-009	A
027	MERA			DyenDB	027-002	A
028	PETHENO			DyenDB	028-002	A
029	SKAVO			DyenDB	029-203	A
030	VROMIKOS			DyenDB	030-216	A
031	SKILI			DyenDB	031-008	A
032	PINO			DyenDB	032-004	A
033	KSEROS			DyenDB	033-200	A
034	DHEN-GOVI (DOES NOT CUT)			DyenDB	034-003	A
035	SKONI			DyenDB	035-005	A
036	AFTI			DyenDB	036-200	A
037	YI			DyenDB		A
038	TROO			DyenDB	038-005	A
039	AVGHO			DyenDB	039-007	A
040	MATI			DyenDB	040-002	A
041	PEFTO			DyenDB	041-006	A
042	MAKRIA			DyenDB	042-002	A
043	PAKHOS			DyenDB		A
044	PATERAS			DyenDB	044-210	A
045	FOVUME			DyenDB	045-005	A
046	FTERO			DyenDB	046-203	A
047	LIYI			DyenDB	047-007	A
048	POLEMO			DyenDB	048-005	A
050	FOTYA			DyenDB	050-007	A
051	PSARI			DyenDB	051-005	A
052	PENDE			DyenDB	052-002	A
053	PLEO			DyenDB	053-005	A
054	REO			DyenDB	054-206	A
055	LULUDHI			DyenDB	055-006	A
056	PETO			DyenDB	056-002	A
057	KATAKHNYA			DyenDB		A
058	PODHI			DyenDB	058-200	A
059	TESERIS			DyenDB	059-002	A
060	INE PAGHONYA			DyenDB	060-002	A
061	FRUTO			DyenDB	061-007	A
063	DHINO			DyenDB	063-200	A
064	KALOS			DyenDB	064-009	A
065	KHORTARI			DyenDB	065-011	A
066	PRASINOS			DyenDB	066-004	A
067	ANDERA			DyenDB	067-010	A
068	MALYA			DyenDB	068-207	A
069	CHERI			DyenDB	069-203	A
070	AFTOS, TOS			DyenDB	070-003	A
071	KEFALI			DyenDB	071-007	A
072	AKUO			DyenDB	072-003	A
073	KARDHYA			DyenDB	073-200	A
074	VARIS			DyenDB	074-200	A
075	EDHO			DyenDB	075-004	A
076	KHTIPO			DyenDB	076-208	A
077	KRATO			DyenDB	077-002	A
079	POS			DyenDB	079-200	A
080	KINIGHO, PAO			DyenDB	080-012	A
081	ANDRAS			DyenDB	081-003	A
082	EGHO			DyenDB	082-200	A
083	PAGHOS			DyenDB	083-006	A
084	AN, AM, A			DyenDB	084-006	A
085	SE, S			DyenDB	085-200	A
086	SKOTONO			DyenDB	086-211	A
088	KSERO			DyenDB	088-204	A
089	LIMNI			DyenDB	089-006	A
090	YELO			DyenDB	090-006	A
091	FILO			DyenDB	091-204	A
092	ZERVOS, ARISTERA (TO THE LEFT)			DyenDB	092-013	A
093	PODHI			DyenDB	093-200	A
094	IME-KSAPLOMENOS			DyenDB	094-005	A
095	ZO			DyenDB	095-005	A
096	SKOTI			DyenDB	096-006	A
097	MAKRIS			DyenDB	097-002	A
098	PSIRA			DyenDB	098-006	A
099	ANDRAS			DyenDB	099-216	A
100	POLI			DyenDB	100-203	A
101	KREAS			DyenDB	101-009	A
103	MITERA			DyenDB	103-200	A
104	VUNO			DyenDB	104-211	A
105	STOMA			DyenDB	105-008	A
106	ONOMA			DyenDB	106-003	A
107	STENOS			DyenDB	107-004	A
108	KONDA			DyenDB	108-013	A
109	LEMOS			DyenDB	109-005	A
110	KENURYOS			DyenDB	110-002	A
111	NIKHTA			DyenDB	111-004	A
112	MITI			DyenDB	112-006	A
