ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	BEDHA			DyenDB		A	
002	ANE (TATHA)			DyenDB	002-010	A	002-010
003	JANWER (PRANI) JENAWER			DyenDB	003-400	C	003-400
004	RAKH			DyenDB	004-006	A	004-006
006	PITH, WASO			DyenDB	006-006	A	006-006
007	KNERAB			DyenDB	007-200	A	007-202
008	CHAL			DyenDB	008-205	A	008-205
009	KAREN KE			DyenDB	009-004	A	009-004
010	PET			DyenDB	010-212	A	010-212
011	MOTU			DyenDB	011-007	A	011-007
012	PENKHI, PEKSI			DyenDB	012-203	A	012-203
013	KERERWU			DyenDB	013-101	C	013-101
014	KALU			DyenDB	014-002	A	014-002
015	LOHI			DyenDB	015-008	A	015-008
016	FUKWU, FUKAWU (INTR.)			DyenDB	016-006	A	016-006
017	HARKU			DyenDB	017-203	A	017-203
019	SWASLEWO			DyenDB	019-008	A	019-008
020	BELWU			DyenDB	020-209	A	020-211
021	CHOKRO			DyenDB	021-100	C	021-100
022	WADEL			DyenDB	022-004	A	022-004
023	THENDI			DyenDB	023-004	A	023-004
024	AWEWU			DyenDB	024-200	A	024-200
025	GENEWU			DyenDB	025-002	A	025-002
026	KAPWU			DyenDB	026-010	A	026-010
027	DIWES			DyenDB	027-003	A	027-003
028	MERWU			DyenDB	028-003	A	028-003
029	KHODWU			DyenDB	029-009	A	029-009
030	GENDU			DyenDB	030-211	A	030-211
031	KUTERO			DyenDB	031-005	A	031-005
032	PIWU			DyenDB	032-004	A	032-004
033	SUKU			DyenDB	033-205	A	033-205
034	BUTTNU			DyenDB	034-400	C	034-400
035	DHUL			DyenDB	035-206	A	035-206
036	KAN			DyenDB	036-003	A	036-003
037	MATI			DyenDB	037-211	A	037-211
038	KHAWU			DyenDB	038-200	A	038-200
039	INDU			DyenDB	039-002	A	039-002
040	AKH			DyenDB	040-002	A	040-002
041	PERWU			DyenDB	041-203	A	041-203
042	DUR			DyenDB	042-007	A	042-007
043	CERBI			DyenDB	043-007	A	043-007
044	BAP, BAPA, BAPU, (PITA)			DyenDB	044-214	A	044-214
045	DERWU, BIHWU			DyenDB	045-200	A	045-203
046	PICU			DyenDB	046-100	C	046-100
047	THORU			DyenDB	047-205	A	047-206
048	LEREWU			DyenDB	048-002	A	048-002
050	AG			DyenDB	050-004	A	050-004
051	MACHELI			DyenDB	051-002	A	051-002
052	PAE			DyenDB	052-002	A	052-002
053	TEREWU			DyenDB	053-002	A	053-002
054	WEHEWU			DyenDB	054-215	A	054-215
055	FUL			DyenDB	055-004	A	055-004
056	URWU			DyenDB	056-200	A	056-200
057	DHUMMES			DyenDB	057-007	A	057-007
058	PEG			DyenDB		A	
059	CAR			DyenDB	059-002	A	059-002
060	THERWU, JHAMEWU, JHAMI JEWU			DyenDB	060-004	A	060-004
061	FEL			DyenDB	061-002	A	061-002
063	APWU			DyenDB		A	
064	SARU			DyenDB		A	
065	GHAS			DyenDB	065-008	A	065-008
066	LILU			DyenDB		A	
067	ANTERLA			DyenDB	067-200	A	067-200
068	WAL			DyenDB	068-204	A	068-204
069	NATH			DyenDB		A	
070	E, TE			DyenDB	070-200	A	070-210
071	MATHU			DyenDB	071-205	A	071-207
072	SAMBHELEWU			DyenDB		A	
