ID	source_form	phon_form	notes	source	cognate_class	reliability
001	SEB, SARA			DyenDB	001-203	A
002	OR			DyenDB	002-004	A
003	JANVER			DyenDB	003-400	C
004	RAKH			DyenDB	004-006	A
005	-ME, -PER			DyenDB	005-220	A
006	PITH			DyenDB	006-006	A
007	KHERAB, BURA			DyenDB	007-201	A
008	CHAL			DyenDB	008-205	A
009	KYOKE			DyenDB	009-213	A
010	PET			DyenDB	010-212	A
011	BERA			DyenDB	011-204	A
012	PEKSI			DyenDB	012-203	A
013	KHANA			DyenDB	013-100	C
014	KALA			DyenDB	014-002	A
015	REKT			DyenDB	015-200	A
016	BEHNA			DyenDB	016-200	A
017	HEDDI			DyenDB	017-203	A
019	SAS+LENA			DyenDB	019-008	A
020	JELNA			DyenDB	020-209	A
021	BECCA			DyenDB	021-005	A
022	BADEL			DyenDB	022-004	A
023	THENDA			DyenDB	023-004	A
024	ANA			DyenDB	024-200	A
025	GINNA			DyenDB	025-002	A
026	KATNA			DyenDB	026-202	A
027	DIN			DyenDB	027-003	A
028	MERNA			DyenDB	028-003	A
029	KHODNA			DyenDB	029-009	A
030	GENDA, MELA			DyenDB	030-212	A
031	KUTTA			DyenDB	031-005	A
032	PINA			DyenDB	032-004	A
033	SUKHA			DyenDB	033-205	A
034	MUTHRA			DyenDB		A
035	DHUL			DyenDB	035-206	A
036	KAN			DyenDB	036-003	A
037	MITTI			DyenDB	037-211	A
038	KHANA			DyenDB	038-200	A
039	ENDA			DyenDB	039-002	A
040	AKH			DyenDB	040-002	A
041	GIRNA			DyenDB	041-205	A
042	DUR			DyenDB	042-007	A
043	CERBI			DyenDB	043-007	A
044	BAP, PITA			DyenDB	044-214	A
045	DERNA			DyenDB	045-202	A
046	PER			DyenDB	046-200	A
047	THORA			DyenDB	047-206	A
048	LERNA			DyenDB	048-002	A
050	AG			DyenDB	050-004	A
051	MECHLI			DyenDB	051-002	A
052	PAC			DyenDB	052-002	A
053	UTERANA			DyenDB	053-002	A
054	BEHNA			DyenDB	054-215	A
055	PHUL			DyenDB	055-004	A
056	URNA			DyenDB	056-200	A
057	KOHRA			DyenDB	057-003	A
058	PER			DyenDB	058-200	A
059	CAR			DyenDB	059-002	A
060	JEMNA			DyenDB	060-004	A
061	PHEL			DyenDB	061-002	A
063	DENA			DyenDB	063-200	A
064	ECCHA			DyenDB	064-200	A
065	GHAS			DyenDB	065-008	A
066	HERA			DyenDB	066-205	A
067	AT			DyenDB	067-200	A
068	BAL, KES			DyenDB	068-205	A
069	HATH			DyenDB	069-200	A
070	VOH, YEH			DyenDB	070-213	A
071	SIR			DyenDB	071-205	A
072	SUNNA			DyenDB	072-205	A
073	DIL, HRIDEY			DyenDB	073-007	A
074	BHARI			DyenDB	074-206	A
075	YEHA			DyenDB	075-200	A
076	MARNA			DyenDB	076-214	A
077	DHERNA			DyenDB	077-010	A
079	KESA			DyenDB	079-200	A
080	SIKAR + KERNA			DyenDB	080-004	A
081	PETI			DyenDB	081-205	A
082	ME			DyenDB	082-200	A
083	BERPH			DyenDB	083-202	A
084	EGER, YEDI			DyenDB	084-209	A
085	ENDER, -ME			DyenDB	085-201	A
086	MARNA			DyenDB	086-200	A
088	JANNA			DyenDB	088-202	A
089	JHIL			DyenDB	089-209	A
090	HESNA			DyenDB	090-007	A
091	PETTA			DyenDB	091-005	A
092	BAYA			DyenDB	092-205	A
093	TAG			DyenDB	093-009	A
094	LETNA			DyenDB	094-008	A
095	JINA (BE ALIVE)			DyenDB	095-005	A
096	DIL			DyenDB		A
097	LEMBA			DyenDB	097-003	A
098	JU			DyenDB	098-204	A
099	ADMI			DyenDB		A
100	BOHT			DyenDB	100-009	A
101	MAS			DyenDB	101-007	A
103	MA			DyenDB	103-200	A
104	PEHAR			DyenDB	104-208	A
105	MUKH			DyenDB	105-202	A
106	NAM			DyenDB	106-003	A
107	SEKRA, TENG			DyenDB	107-216	A
108	PAS			DyenDB	108-006	A
109	GERDEN			DyenDB	109-211	A
110	NEYA			DyenDB	110-200	A
111	RAT			DyenDB	111-003	A
112	NAK			DyenDB	112-005	A
113	NA, NEHI			DyenDB	113-005	A
114	BURHA (ANIMATE), PURANA (INANIMATE)			DyenDB	114-201	A
115	EK			DyenDB	115-200	A
116	DUSRA			DyenDB	116-007	A
117	LOG, INSAN			DyenDB	117-213	A
118	KHELNA			DyenDB	118-011	A
119	KHICNA			DyenDB	119-211	A
120	DEBANA			DyenDB		A
121	BERESNA, BARIS+HONA			DyenDB	121-013	A
122	LAL			DyenDB	122-002	A
123	THIK			DyenDB	123-007	A
124	DAYA			DyenDB	124-201	A
125	NEDI			DyenDB	125-203	A
126	RASTA, SEREK			DyenDB	126-201	A
127	MUL			DyenDB	127-202	A
