ID	source_form	phon_form	notes	source	cognate_class	reliability
1	ALLIR			DyenDB	001-004	A
2	OG			DyenDB	002-002	A
3	DYR			DyenDB	003-005	A
4	ASKA			DyenDB	004-007	A
5	VIO			DyenDB	005-200	A
6	BAK			DyenDB	006-209	A
7	LELEGUR, VONDUR, ILLUR			DyenDB	007-210	A
8	BORKUR			DyenDB	008-200	A
9	AF THVI AO			DyenDB	009-009	A
10	MAGI			DyenDB	010-204	A
11	STOR			DyenDB	011-200	A
12	FUGL			DyenDB	012-206	A
14	SVARTR			DyenDB	014-003	A
15	BLOO			DyenDB	015-004	A
17	BEIN			DyenDB	017-006	A
21	BARN			DyenDB	020-002	A
22	SKY			DyenDB	021-202	A
23	KALDR			DyenDB	022-002	A
27	DAGR			DyenDB	026-004	A
30	SKITUGUR			DyenDB	029-004	A
31	HUNDR			DyenDB	030-003	A
33	THURR			DyenDB	032-005	A
34	BITLAUS			DyenDB	033-001	A
35	RYK			DyenDB	034-001	A
36	EYRA			DyenDB	035-200	A
37	MOLD			DyenDB	036-002	A
39	EGG			DyenDB	038-007	A
40	AUGA			DyenDB	039-002	A
42	LANGT (I) BURTU			DyenDB	041-200	A
43	FITA			DyenDB	042-006	A
44	FAOIR			DyenDB	043-209	A
46	FJOOUR			DyenDB	045-203	A
47	FAIR			DyenDB	046-002	A
50	ELDR			DyenDB	048-005	A
51	FISKR			DyenDB	049-009	A
52	FIMM			DyenDB	050-002	A
55	BLOM			DyenDB	053-002	A
57	THOKA			DyenDB	055-207	A
58	FOTR			DyenDB	056-200	A
59	FJORIR			DyenDB	057-002	A
64	GOOR			DyenDB	061-003	A
65	GRAS			DyenDB	062-007	A
66	GRAENN			DyenDB	063-003	A
67	THARMAR			DyenDB	064-205	A
68	HAR			DyenDB	065-004	A
69	HOND			DyenDB	066-003	A
70	HANN			DyenDB	067-203	A
71	HOFUO			DyenDB	068-200	A
73	HJARTA			DyenDB	070-200	A
74	THUNGR			DyenDB	071-007	A
75	HER(NA)			DyenDB	072-003	A
77	HALDA			DyenDB	074-200	A
79	HVERNIG, HVERSU			DyenDB	075-200	A
81	MADUR EIGINMADUR			DyenDB	077-206	A
82	EG			DyenDB	078-200	A
83	IS			DyenDB	079-005	A
84	EF			DyenDB	080-007	A
85	I			DyenDB	081-200	A
88	VITA			DyenDB	083-200	A
89	VATN			DyenDB	084-003	A
91	LAUFBLAO			DyenDB	086-204	A
92	VINSTRI			DyenDB	087-004	A
93	FOTR			DyenDB	088-200	A
96	LIFR			DyenDB	091-002	A
97	LANGR			DyenDB	092-200	A
98	LUS			DyenDB	093-200	A
99	KARL / KARLMADR / MADR			DyenDB	094-203	A
100	MARGIR			DyenDB	095-001	A
101	HOLD			DyenDB	096-005	A
103	MOOIR			DyenDB	097-200	A
104	FJALL			DyenDB	098-200	A
105	MUNNR			DyenDB	099-007	A
106	NAFN			DyenDB	100-003	A
107	THRONGUR, MJOR			DyenDB	101-218	A
108	NALAEGT			DyenDB	102-200	A
109	HALS			DyenDB	103-204	A
110	NYR			DyenDB	104-200	A
111	NOTT			DyenDB	105-004	A
112	NEF			DyenDB	106-001	A
113	EKKI			DyenDB	107-200	A
114	GAMALL			DyenDB	108-004	A
115	EINN			DyenDB	109-200	A
116	ANNAR			DyenDB	110-205	A
117	MAOR			DyenDB	111-209	A
122	RAUOR			DyenDB	116-003	A
123	RETTR			DyenDB	117-200	A
124	HAEGRI			DyenDB	118-004	A
125	A			DyenDB	119-007	A
126	VEGR			DyenDB	120-209	A
127	ROT			DyenDB	121-003	A
128	REIPI			DyenDB	122-007	A
129	FUINN			DyenDB	123-200	A
131	NUA			DyenDB	124-001	A
132	SALT			DyenDB	125-002	A
133	SANDR			DyenDB	126-004	A
135	KLORA			DyenDB	128-003	A
136	SAER, SJOR			DyenDB	129-200	A
138	FRAE			DyenDB	131-003	A
140	BEITTUR			DyenDB	133-209	A
141	STUTTR			DyenDB	134-005	A
144	HUO, SKINN			DyenDB	137-200	A
145	HIMINN			DyenDB	138-200	A
147	LITILL			DyenDB	140-010	A
149	REYKR			DyenDB	142-002	A
150	SLETTR			DyenDB	143-205	A
151	(HOGGORMUR)			DyenDB	144-201	A
152	SNJOR			DyenDB	145-004	A
153	NOKKRIR			DyenDB	146-200	A
159	STJARNA			DyenDB	152-004	A
161	STEINN			DyenDB	154-004	A
162	BEINN			DyenDB	155-203	A
164	SOL			DyenDB	157-203	A
168	THESSI, THETTA			DyenDB	161-200	A
169	THAR(NA)			DyenDB	162-203	A
170	THEIR			DyenDB	163-200	A
171	THYKKR, DIGR			DyenDB	164-212	A
172	THUNNR, MJOR, GRANNR			DyenDB	165-002	A
174	THESSI, THETTA			DyenDB	167-200	A
175	THU			DyenDB	168-200	A
176	THRIR			DyenDB	169-002	A
13	BITA			DyenDB	013-002	A
16	BLASA			DyenDB	016-203	A
19	ANDA			DyenDB	018-200	A
20	BRENNA			DyenDB	019-003	A
24	KOMA			DyenDB	023-206	A
25	TELJA			DyenDB	024-200	A
26	SKERA			DyenDB	025-200	A
28	DEYJA			DyenDB	027-200	A
29	GRAFA			DyenDB	028-203	A
32	DREKKA			DyenDB	031-003	A
38	ETA, BOROA			DyenDB	037-006	A
41	FALLA			DyenDB	040-200	A
45	HRAEOASK, VERA HRAEDDR			DyenDB	044-003	A
53	FLJOTA			DyenDB	051-005	A
54	RENNA			DyenDB	052-200	A
56	FLJUGA			DyenDB	054-006	A
60	FRJOSA			DyenDB	058-207	A
63	GEFA			DyenDB	060-002	A
72	HEYRA			DyenDB	069-003	A
76	SLA			DyenDB	073-200	A
80	VEIOA			DyenDB	076-009	A
86	DREPA			DyenDB	082-205	A
90	HLAEJA			DyenDB	085-200	A
94	LIGGJA			DyenDB	089-003	A
95	LIFA			DyenDB	090-002	A
118	LEIKA SER			DyenDB	112-203	A
119	DRAGA			DyenDB	113-200	A
120	YTA			DyenDB	114-001	A
121	RIGNA			DyenDB	115-002	A
134	SEGJA			DyenDB	127-005	A
137	SEA, SJA			DyenDB	130-005	A
139	SAUMA			DyenDB	132-200	A
142	SYNGVA, SYNGJA			DyenDB	135-005	A
143	SITJA			DyenDB	136-200	A
146	SOFA			DyenDB	139-200	A
148	THEFA			DyenDB	141-009	A
154	SPYTA			DyenDB	147-205	A
155	KLJUFA			DyenDB	148-003	A
156	KREISTA			DyenDB	149-010	A
157	STINGA			DyenDB	150-004	A
158	STANDA			DyenDB	151-202	A
163	SJUGA			DyenDB	156-202	A
165	BOLGNA			DyenDB	158-006	A
166	SYNDA			DyenDB	159-002	A
173	HUGSA			DyenDB	166-006	A
177	KASTA			DyenDB	170-002	A
178	BINDA			DyenDB	171-203	A
182	SNUA(SK)			DyenDB	175-208	A
184	KASTA UPP			DyenDB	177-212	A
185	GANGA			DyenDB	178-005	A
187	THVO			DyenDB	180-009	A
179	TUNGA			DyenDB	172-200	A
180	TONN			DyenDB	173-003	A
181	TRE			DyenDB	174-206	A
183	TVEIR			DyenDB	176-002	A
188	VATN			DyenDB	181-004	A
189	VIO			DyenDB	182-002	A
190	VOTUR			DyenDB	183-005	A
191	HVAO			DyenDB	184-003	A
192	HVENAER			DyenDB	185-200	A
193	HVAR			DyenDB	186-200	A
194	HVITR			DyenDB	187-205	A
195	HVER			DyenDB	188-200	A
196	VIOR, BREIOR			DyenDB	189-200	A
197	KONA, EIGINKONA			DyenDB	190-200	A
198	VINDR			DyenDB	191-200	A
199	VAENGR			DyenDB	192-002	A
200	THURRKA			DyenDB	193-008	A
201	MEO			DyenDB	194-205	A
202	KONA, KVENNMAOR			DyenDB	195-204	A
203	SKOGR			DyenDB	196-002	A
204	MAOKR			DyenDB	197-203	A
205	THIO			DyenDB	198-005	A
206	AR			DyenDB	199-004	A
207	GULR			DyenDB	200-200	A
