ID	source_form	phon_form	notes	source	cognate_class	reliability
1	UILE, GO LEIR, AR FAD			DyenDB	001-006	A
2	AGUS			DyenDB	002-006	A
3	AINMHE, BEITHIDHEACH			DyenDB	003-202	A
4	LUAITH			DyenDB	004-005	A
5	AIG			DyenDB	005-200	A
6	DROM			DyenDB	006-207	A
7	OLC			DyenDB	007-214	A
8	COIRT			DyenDB	008-206	A
9	MAR, TOISC			DyenDB	009-001	A
10	BOLG			DyenDB	010-204	A
11	MOR			DyenDB	011-008	A
12	EAN			DyenDB	012-006	A
14	DUBH			DyenDB	014-006	A
15	FUIL			DyenDB	015-010	A
17	CNAMH			DyenDB	017-002	A
21	PAISTE			DyenDB	020-001	A
22	NEAL, SGAMALL			DyenDB	021-006	A
23	FUAR			DyenDB	022-205	A
27	LA			DyenDB	026-005	A
30	SALACH			DyenDB	029-015	A
31	MADADH, GADHAR			DyenDB	030-007	A
33	TIRIM			DyenDB	032-005	A
34	MAOL			DyenDB	033-001	A
35	DUSTA, CEO			DyenDB	034-009	A
36	CLUAS			DyenDB	035-201	A
37	CRE, ITHIR			DyenDB	036-001	A
39	UBH			DyenDB	038-007	A
40	SUIL			DyenDB	039-005	A
42	FADA, I BHFAD			DyenDB	041-001	A
43	BLONAG, GEIR			DyenDB	042-201	A
44	ATHAIR			DyenDB	043-209	A
46	CLEITE			DyenDB	045-002	A
47	BEAGAN			DyenDB	046-003	A
50	TEINE			DyenDB	048-006	A
51	IASC			DyenDB	049-009	A
52	CUIG			DyenDB	050-002	A
55	BLATH			DyenDB	053-002	A
57	CEO			DyenDB	055-002	A
58	COS, TROIGH			DyenDB	056-204	A
59	CEATHAIR			DyenDB	057-002	A
61	TORADH			DyenDB	059-011	A
64	MAITH			DyenDB	061-006	A
65	FEAR			DyenDB	062-009	A
66	GLAS, UAINE			DyenDB	063-200	A
67	HUTOGA			DyenDB	064-001	A
68	GRUAIG			DyenDB	065-008	A
69	LAMH			DyenDB	066-004	A
70	SE			DyenDB	067-205	A
71	CEANN			DyenDB	068-004	A
73	CROIDHE			DyenDB	070-200	A
74	TROM			DyenDB	071-003	A
75	ANNSO			DyenDB	072-206	A
77	RUD DO CHOINNEAIL SA LAIMH			DyenDB	074-001	A
79	CONAS			DyenDB	075-200	A
81	FEAR			DyenDB	077-203	A
82	ME			DyenDB	078-200	A
83	LEAC OIDHRE			DyenDB	079-003	A
84	MA			DyenDB	080-005	A
85	I			DyenDB	081-200	A
88	TA A FHIOS AIGE ("ITS KNOWLEDGE IS AT HIM")			DyenDB	083-200	A
89	LOCH			DyenDB	084-200	A
91	DUILLEOG			DyenDB	086-203	A
92	CLE			DyenDB	087-005	A
93	COS			DyenDB	088-007	A
96	AE, AENNA (PL.)			DyenDB	091-003	A
97	FADA			DyenDB	092-006	A
98	MIOL			DyenDB	093-007	A
99	FEAR			DyenDB	094-200	A
100	GO LEOR, MORAN			DyenDB	095-209	A
101	FEOIL			DyenDB	096-002	A
103	MATHAIR			DyenDB	097-200	A
104	SLIABH			DyenDB	098-005	A
105	BEAL			DyenDB	099-009	A
106	AINM			DyenDB	100-003	A
107	CAOL			DyenDB	101-002	A
108	COMHGARACH, GAR			DyenDB	102-008	A
109	MUINEAL			DyenDB	103-003	A
110	NUA			DyenDB	104-200	A
111	OIDHCHE			DyenDB	105-006	A
112	SRON			DyenDB	106-010	A
113	NI			DyenDB	107-005	A
114	SEAN, AOSTA			DyenDB	108-008	A
115	AON, CEANN			DyenDB	109-200	A
116	EILE			DyenDB	110-207	A
117	DUINE			DyenDB	111-004	A
122	DEARG			DyenDB	116-007	A
123	CEART			DyenDB	117-001	A
124	DEAS			DyenDB	118-002	A
125	ABHAINN			DyenDB	119-002	A
126	BOTHAR			DyenDB	120-012	A
127	PREAMH			DyenDB	121-003	A
128	TEAD, ROPA			DyenDB	122-004	A
129	LOBHTHA			DyenDB	123-001	A
131	CUIMILT			DyenDB	124-010	A
132	SALANN			DyenDB	125-002	A
133	GAINEAMH			DyenDB	126-005	A
135	TOCHAS			DyenDB	128-205	A
136	FAIRRGE			DyenDB	129-004	A
138	SIOL			DyenDB	131-200	A
140	GEAR			DyenDB	133-204	A
141	GEARR			DyenDB	134-004	A
144	CRAICEANN			DyenDB	137-207	A
145	SPEIR			DyenDB	138-007	A
147	BEAG			DyenDB	140-004	A
149	DEATACH (TOIT U.)			DyenDB	142-200	A
150	SLEAMHAIN, REIDH, MIN			DyenDB	143-205	A
152	SNEACHTA			DyenDB	145-004	A
153	EIGIAN			DyenDB	146-004	A
159	REALT			DyenDB	152-005	A
160	MAIDE			DyenDB	153-001	A
161	CLOCH			DyenDB	154-010	A
162	DIREACH			DyenDB	155-013	A
164	GRIAN			DyenDB	157-203	A
167	EARBALL			DyenDB	160-013	A
168	SAN			DyenDB	161-200	A
169	ANNSAN			DyenDB	162-206	A
170	SIAD			DyenDB	163-206	A
