ID	source_form	phon_form	notes	source	cognate_class	reliability
001	UILE			DyenDB	001-006	A
002	AGUS			DyenDB	002-006	A
003	AINMHIDH			DyenDB	003-208	A
004	LUAITH			DyenDB	004-005	A
005	AG			DyenDB	005-202	A
006	DRUIM			DyenDB	006-207	A
007	OLC			DyenDB	007-214	A
008	COIRT			DyenDB	008-206	A
010	BOLG			DyenDB	010-204	A
011	MOR			DyenDB	011-008	A
012	EAN			DyenDB	012-006	A
013	COGNAIM			DyenDB	013-103	C
014	DUBH			DyenDB	014-006	A
015	PUIL			DyenDB	015-010	A
016	REIDIM			DyenDB		A
017	CHAIMH			DyenDB	017-002	A
019	ANALAIM			DyenDB	019-200	A
020	DOIGHIM			DyenDB	020-204	A
021	LEANBH			DyenDB		A
022	NEALL			DyenDB	022-006	A
023	PUAR			DyenDB	023-205	A
024	TAR			DyenDB	024-100	C
025	AIREA MHAIM			DyenDB	025-209	A
026	GEARRU			DyenDB	026-006	A
027	LA			DyenDB	027-005	A
028	DOLUIDH			DyenDB		A
029	ROMHARAIM			DyenDB	029-008	A
030	SALACH			DyenDB	030-015	A
031	MADA			DyenDB	031-007	A
032	OLAIM			DyenDB	032-004	A
033	DIOSC			DyenDB		A
034	DUR			DyenDB		A
035	CEO			DyenDB	035-009	A
036	CLUAS			DyenDB	036-202	A
037	TALAMH			DyenDB		A
038	ITHIM			DyenDB	038-011	A
039	UBH			DyenDB	039-007	A
040	SUIL			DyenDB	040-005	A
041	TUITIM			DyenDB	041-009	A
042	SIA			DyenDB		A
043	MEATHAS			DyenDB		A
044	ATHAIR			DyenDB	044-210	A
046	CLEITE			DyenDB	046-002	A
047	BEAGAN			DyenDB	047-003	A
048	CATHUIGH IM, TROIDIM, IOMBUAILIM			DyenDB	048-203	A
050	TEINE			DyenDB	050-006	A
051	IASC			DyenDB	051-009	A
052	CUIGEAR			DyenDB	052-002	A
054	GUISIM			DyenDB		A
055	BLATH			DyenDB	055-002	A
056	EITLIM, EITILLIGHIM, EITIM			DyenDB	056-008	A
057	CEO			DyenDB	057-002	A
058	COS			DyenDB	058-206	A
059	CESTHAIR			DyenDB	059-002	A
060	DO RHIOCADH, DO REOILEACADH			DyenDB	060-208	A
061	TORADH, TORAIDH, TORTHA			DyenDB	061-011	A
063	TABHARIM			DyenDB	063-003	A
064	MAITH			DyenDB	064-006	A
065	FEAR, FEIR			DyenDB	065-009	A
066	GLAS, UAITHNE			DyenDB	066-200	A
067	INNREACHTAN, AIN			DyenDB		A
068	GRUAIG, GRUAIGE			DyenDB	068-008	A
069	LAMH			DyenDB	069-004	A
070	E, SEISEAN, SE			DyenDB	070-207	A
071	CEANN			DyenDB	071-004	A
072	AINIGHIM, CLOISIM			DyenDB	072-205	A
073	CROIDHE			DyenDB	073-200	A
074	IOMTHROM			DyenDB	074-003	A
075	AG SO			DyenDB	075-207	A
076	D'AMUS, DO BHUALADH			DyenDB	076-009	A
077	CONGABHAIM			DyenDB		A
079	COINNUS			DyenDB	079-200	A
080	DUL AG FLADHACH			DyenDB	080-200	A
081	FEAN POSTA			DyenDB	081-203	A
082	ME			DyenDB	082-200	A
083	LEAC OIDHRE			DyenDB	083-003	A
084	MA, DA			DyenDB	084-005	A
085	I, IN, SA, ANN, SAN			DyenDB	085-200	A
086	DO MHASBHADH			DyenDB		A
088	AITHNIGHIM			DyenDB	088-202	A
089	LOCH			DyenDB	089-200	A
090	DO DHEANAMH GAIRE			DyenDB	090-005	A
091	DUILLE			DyenDB	091-203	A
092	CLI, CLE			DyenDB	092-005	A
093	COS, COISE, -A			DyenDB	093-007	A
094	LUIGHIM			DyenDB	094-003	A
095	DO BHEITH NA BHEATHIDH			DyenDB	095-005	A
096	AE			DyenDB	096-003	A
097	FADA			DyenDB	097-006	A
098	MIOL			DyenDB	098-007	A
099	DUINE			DyenDB	099-200	A
100	MORAN, IOMAD, IOMDHA, LIACHT, FOIRLION			DyenDB	100-211	A
101	FEOIL			DyenDB	101-002	A
103	MATHAIR			DyenDB	103-200	A
104	SLAIBH			DyenDB	104-005	A
105	BEAL, -EIL			DyenDB	105-009	A
106	AINM			DyenDB	106-003	A
107	CUMHANG			DyenDB	107-202	A
108	GAR			DyenDB	108-008	A
109	MUINEAL, -NIL			DyenDB	109-003	A
110	NUADH			DyenDB	110-200	A
111	OIDHEHE			DyenDB	111-006	A
112	SRON			DyenDB	112-010	A
113	NI			DyenDB	113-005	A
114	SEAN, AOSTA, ARSA(CH), DIBHEALL			DyenDB	114-008	A
115	AON			DyenDB	115-200	A
116	EILE			DyenDB	116-207	A
117	PEARSA, -ANN, -ANNA			DyenDB		A
118	IMRIM			DyenDB	118-005	A
119	TARRAINGIM, STRACAIM, STATHAIM			DyenDB	119-003	A
120	DRIGIM, BRUIDHIM, RAITHIM			DyenDB	120-013	A
121	DO DHEANAMH   FEARTHAINNE			DyenDB	121-007	A
122	DEARG, -EIRGE			DyenDB	122-007	A
123	COIR			DyenDB	123-006	A
124	CORA			DyenDB		A
125	ABHA			DyenDB	125-002	A
126	BOTHAR, -AIR			DyenDB	126-012	A
127	PREAMH, -A			DyenDB	127-003	A
128	TEAD			DyenDB	128-004	A
129	DREOIGHTE			DyenDB		A
131	CUIMLIM			DyenDB	131-010	A
132	SALANN			DyenDB	132-002	A
133	GAINIMH			DyenDB	133-005	A
134	DEIRIM			DyenDB		A
135	SCRIOBAIM, DO THOCHUR			DyenDB	135-205	A
136	FAIRRGE			DyenDB	136-004	A
138	SIOL			DyenDB	138-200	A
139	D'FHUAGHAIL			DyenDB	139-005	A
140	FAOBHRACH, -AIGHE, GEAR			DyenDB	140-204	A
