ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	TUTTO			DyenDB	001-003	A	001-003
002	E, ED			DyenDB	002-204	A	002-204
003	ANIMALE			DyenDB	003-401	C	003-401
004	CENERE			DyenDB	004-002	A	004-002
005	A, AD			DyenDB	005-200	A	005-202
006	DOSSO			DyenDB	006-200	A	006-200
007	CATTIVO			DyenDB		A	
008	SCORZA, CORTECCIA			DyenDB	008-202	A	008-204
009	PERCHE			DyenDB	009-010	A	009-010
010	VENTRE			DyenDB	010-200	A	010-201
011	GRANDE			DyenDB	011-207	A	011-209
012	UCCELLO			DyenDB	012-200	A	012-200
013	MORDERE			DyenDB	013-003	A	013-003
014	NERO			DyenDB	014-005	A	014-005
015	SANGUE			DyenDB	015-003	A	015-003
016	SOFFIARE			DyenDB	016-203	A	016-208
017	OSSO			DyenDB	017-200	A	017-200
019	RESPIRARE			DyenDB	019-200	A	019-202
020	ARDERE, BRUCIARE			DyenDB	020-212	A	020-213
021	FANCIULLO, BAMBINO			DyenDB	021-014	A	021-014
022	NUVOLA, NUBE			DyenDB	022-008	A	022-008
023	FREDDO			DyenDB	023-003	A	023-003
024	VENIRE			DyenDB	024-206	A	024-206
025	CONTARE			DyenDB	025-203	A	025-205
026	TAGLIARE			DyenDB	026-204	A	026-206
027	GIORNO			DyenDB	027-003	A	027-003
028	MORIRE			DyenDB	028-003	A	028-003
029	VANGARE, SCAVARE			DyenDB	029-003	A	029-003
030	SPORCO			DyenDB	030-203	A	030-205
031	CANE			DyenDB	031-003	A	031-003
032	BERE, BEVERE			DyenDB	032-004	A	032-004
033	ASCIUTTO			DyenDB	033-202	A	033-204
035	POLVERE			DyenDB	035-004	A	035-004
036	ORECCHIO			DyenDB	036-200	A	036-200
037	TERRA			DyenDB	037-205	A	037-205
038	MANGIARE			DyenDB	038-004	A	038-004
039	UOVO			DyenDB	039-007	A	039-007
040	OCCHIO			DyenDB	040-002	A	040-002
041	CADERE			DyenDB	041-003	A	041-003
042	LONTANO			DyenDB	042-200	A	042-202
043	GRASSO			DyenDB	043-009	A	043-009
044	PADRE			DyenDB	044-209	A	044-210
045	TEMERE			DyenDB	045-205	A	045-205
046	PIUMA			DyenDB	046-203	A	046-206
047	POCHI, POCHE			DyenDB	047-002	A	047-002
048	COMBATTERE			DyenDB	048-205	A	048-205
050	FUOCO			DyenDB	050-002	A	050-002
051	PESCE			DyenDB	051-009	A	051-009
052	CINQUE			DyenDB	052-002	A	052-002
053	GALLEGGIARE			DyenDB	053-008	A	053-008
054	SCORRERE, COLARE, FLUIRE			DyenDB	054-209	A	054-213
055	FIORE			DyenDB	055-002	A	055-002
056	VOLARE			DyenDB	056-005	A	056-005
057	NEBBIA			DyenDB	057-200	A	057-206
058	PIE, PIEDE			DyenDB	058-200	A	058-200
059	QUATTRO			DyenDB	059-002	A	059-002
060	GELARE			DyenDB	060-204	A	060-204
061	FRUTTO			DyenDB	061-003	A	061-003
063	DARE			DyenDB	063-200	A	063-200
064	BUONO			DyenDB	064-002	A	064-002
065	ERBA			DyenDB	065-002	A	065-002
066	VERDE			DyenDB	066-008	A	066-008
067	INTESTINO			DyenDB	067-200	A	067-202
068	PELO, CAPELLO			DyenDB	068-200	A	068-201
069	MANO			DyenDB	069-002	A	069-002
070	EGLI			DyenDB	070-002	A	070-002
071	TESTA			DyenDB	071-200	A	071-200
072	UDIRE, SENTIRE			DyenDB	072-200	A	072-203
073	CUORE			DyenDB	073-200	A	073-200
074	PESANTE, GREVE			DyenDB	074-200	A	074-201
075	QUI, QUA			DyenDB	075-211	A	075-216
076	BATTERE, COLPIRE			DyenDB	076-007	A	076-007
077	TENERE			DyenDB	077-004	A	077-004
079	COME			DyenDB	079-200	A	079-200
080	ANDARE A CACCIA			DyenDB	080-003	A	080-003
081	MARITO, SPOSO			DyenDB	081-200	A	081-200
082	IO			DyenDB	082-200	A	082-200
083	GHIACCIO			DyenDB	083-200	A	083-200
084	SE			DyenDB	084-003	A	084-003
085	DENTRO			DyenDB	085-200	A	085-200
086	UCCIDELE, AMMAZZARE			DyenDB	086-200	A	086-203
088	SAPERE			DyenDB	088-002	A	088-002
089	LAGO			DyenDB	089-200	A	089-200
090	RIDERE			DyenDB	090-003	A	090-003
091	FOGLIO			DyenDB	091-200	A	091-200
092	SINISTRO			DyenDB	092-200	A	092-200
093	GAMBA			DyenDB	093-004	A	093-004
094	GIACERE			DyenDB	094-200	A	094-202
095	VIVERE			DyenDB	095-005	A	095-005
096	FEGATO			DyenDB	096-004	A	096-004
097	LUNGO			DyenDB	097-200	A	097-200
098	PIDOCCHIO			DyenDB	098-003	A	098-003
099	UOMO			DyenDB	099-200	A	099-200
100	MOLTI			DyenDB	100-002	A	100-002
101	CARNE			DyenDB	101-203	A	101-203
103	MADRE			DyenDB	103-200	A	103-200
104	MONTAGNA, MONTE			DyenDB	104-002	A	104-002
105	BOCCA			DyenDB	105-006	A	105-006
106	NOME			DyenDB	106-003	A	106-003
107	STRETTO			DyenDB	107-200	A	107-200
108	VICINO			DyenDB		A	
109	COLLO			DyenDB	109-204	A	109-206
110	NUOVO			DyenDB	110-200	A	110-200
111	NOTTE			DyenDB	111-004	A	111-004
112	NASO			DyenDB	112-005	A	112-005
113	NO, NON			DyenDB	113-005	A	113-005
114	VECCHIO			DyenDB	114-010	A	114-010
115	UNO			DyenDB	115-200	A	115-200
116	ALTRO			DyenDB	116-009	A	116-009
117	PERSONA			DyenDB	117-206	A	117-206
118	GIUOCARE			DyenDB	118-003	A	118-003
119	TIRARE			DyenDB	119-200	A	119-200
120	SPINGERE			DyenDB	120-003	A	120-003
121	PIOVERE			DyenDB	121-004	A	121-004
122	ROSSO			DyenDB	122-003	A	122-003
123	GIUSTO			DyenDB	123-200	A	123-202
124	DESTRO			DyenDB	124-002	A	124-002
125	FIUME			DyenDB	125-200	A	125-202
126	STRADA			DyenDB	126-013	A	126-013
127	RADICE			DyenDB	127-003	A	127-003
128	CORDA			DyenDB	128-010	A	128-010
129	MARCIO			DyenDB		A	
131	FREGARE			DyenDB	131-002	A	131-002
132	SALE			DyenDB	132-002	A	132-002
133	SABBIA, RENA			DyenDB	133-206	A	133-207
134	DIRE			DyenDB	134-003	A	134-003
135	GRATTARE			DyenDB	135-002	A	135-002
136	MARE			DyenDB	136-200	A	136-204
137	VEDERE			DyenDB	137-003	A	137-003
138	SEME			DyenDB	138-200	A	138-200
139	CUCIRE			DyenDB	139-200	A	139-200
140	TAGLIENTE			DyenDB	140-010	A	140-010
141	CORTO			DyenDB	141-012	A	141-012
142	CANTARE			DyenDB	142-003	A	142-003
143	SEDERE			DyenDB	143-200	A	143-200
144	PELLE			DyenDB	144-200	A	144-200
145	CIELO			DyenDB	145-003	A	145-003
146	DORMIRE			DyenDB	146-004	A	146-004
147	PICCOLO			DyenDB	147-007	A	147-007
148	SENTIRE, ODORATE			DyenDB	148-205	A	148-206
149	FUMO			DyenDB	149-200	A	149-200
150	PIANO, LISCIO			DyenDB	150-202	A	150-203
151	SERPE			DyenDB	151-006	A	151-006
152	NEVE			DyenDB	152-004	A	152-004
153	ALCUNI			DyenDB	153-204	A	153-204
154	SPUTARE			DyenDB	154-205	A	154-206
155	FENDARE, SPACCARE			DyenDB	155-203	A	155-204
156	PREMERE			DyenDB	156-200	A	156-200
157	FERIRE			DyenDB		A	
158	STARE			DyenDB	158-202	A	158-205
159	STELLA			DyenDB	159-004	A	159-004
160	BASTONE			DyenDB	160-005	A	160-005
161	PIETRA			DyenDB	161-202	A	161-202
162	DIRITTO			DyenDB	162-203	A	162-203
163	SUCCHIARE			DyenDB	163-202	A	163-206
164	SOLE			DyenDB	164-203	A	164-203
165	GONFIARE			DyenDB	165-206	A	165-209
166	NUOTARE			DyenDB	166-008	A	166-008
