ID	source_form	phon_form	notes	source	cognate_class	reliability
001	SORI			DyenDB	001-400	C
002	TA			DyenDB	002-003	A
003	JANAWAR			DyenDB	003-400	C
004	KHAKH, SUR			DyenDB	004-004	A
005	KANI			DyenDB	005-101	C
006	PYUTHU			DyenDB	006-006	A
007	MADA, AROTU, BAD			DyenDB	007-206	A
008	DEL, TSAM			DyenDB		A
009	NEMATI			DyenDB		A
010	MYADA, PHORU, YED			DyenDB		A
011	BODU			DyenDB	011-204	A
012	JANAWAR, PANKHI			DyenDB	012-203	A
013	TSAPUN			DyenDB		A
014	KALA, KREHONU			DyenDB	014-002	A
015	RATH			DyenDB	015-014	A
016	PHOKUN			DyenDB	016-006	A
017	ADIJU			DyenDB	017-206	A
019	SHAH HYONU			DyenDB	019-008	A
020	DAZUN			DyenDB	020-204	A
021	BOKUTU, SHURU			DyenDB		A
022	OBUR			DyenDB	022-209	A
023	SHITAL, TURU			DyenDB	023-006	A
024	YUNU			DyenDB	024-201	A
025	GANZARUN			DyenDB	025-002	A
026	TSATUN, KATUN			DyenDB	026-202	A
027	DEN, DOH			DyenDB	027-003	A
028	MARUN			DyenDB	028-003	A
029	KHANUN			DyenDB	029-209	A
030	ACHOLU, ASORSHU, MALABORUTU			DyenDB		A
031	HUNU			DyenDB	031-003	A
032	CYONU			DyenDB		A
033	HOKHU, KHOSHK			DyenDB	033-205	A
034	MONDU			DyenDB		A
035	KHAKH, LATSH, PHEKH			DyenDB	035-208	A
036	KAN			DyenDB	036-003	A
037	METSU, ZAMIN			DyenDB	037-211	A
038	KHYONU			DyenDB	038-201	A
039	THUL			DyenDB		A
040	ACHI, NITHAR			DyenDB	040-002	A
041	PYONU			DyenDB	041-203	A
042	DUR, DURU			DyenDB	042-007	A
043	BIKH, CARBI			DyenDB	043-007	A
044	MOLU, BAB			DyenDB	044-215	A
045	DARUN, TARSUN, KHOTSUN			DyenDB	045-201	A
046	PAKHACH, TIR			DyenDB	046-003	A
047	MAINAY			DyenDB		A
048	LADUN			DyenDB	048-002	A
050	NAR			DyenDB		A
051	GAD			DyenDB		A
052	PANTS			DyenDB	052-002	A
053	YIRUN			DyenDB		A
054	WAHUN			DyenDB	054-215	A
055	POSH, GUL			DyenDB		A
056	WUPHUN, WUDUN			DyenDB	056-200	A
057	WUNAL			DyenDB		A
058	KHOR, PAR, PAD, PURU			DyenDB	058-200	A
059	TSOR			DyenDB	059-002	A
060	HANDARUN			DyenDB		A
061	PHAL			DyenDB	061-002	A
063	DYUNU			DyenDB	063-200	A
064	KHARA, JAN			DyenDB	064-204	A
065	GASA			DyenDB	065-008	A
066	NYULU, SABAZ			DyenDB	066-002	A
067	TSAPH			DyenDB		A
068	MAS, RUM, WAL			DyenDB	068-204	A
069	ATHA			DyenDB	069-200	A
070	SUH			DyenDB	070-206	A
071	KALA			DyenDB		A
072	BOZUN			DyenDB		A
073	DIL, REDA, WOLINJ			DyenDB	073-007	A
074	GOBU			DyenDB		A
075	YOR, YUTU			DyenDB	075-202	A
076	LAYUN			DyenDB		A
077	HYONU, RATUN			DyenDB		A
079	KETHA			DyenDB	079-200	A
080	SHIKAR KARUN			DyenDB	080-004	A
081	RUNU, BARTA			DyenDB	081-100	C
082	BOH			DyenDB	082-202	A
083	SHUH			DyenDB	083-100	C
084	YED, AY			DyenDB	084-209	A
085	MANZ			DyenDB	085-202	A
086	MARUN			DyenDB	086-200	A
088	ZANUN			DyenDB	088-202	A
089	SAR, DAL			DyenDB	089-100	C
090	ASUN			DyenDB	090-007	A
091	PAN			DyenDB	091-207	A
092	KHOWORU			DyenDB	092-017	A
093	ZANG			DyenDB	093-011	A
095	LASUN, ZUWUN			DyenDB	095-005	A
096	JIGAR, KALEJA			DyenDB	096-201	A
097	ZYUTHU			DyenDB		A
098	ZOV			DyenDB	098-204	A
099	MARD, PORUSH, NAR, ZONU			DyenDB	099-207	A
100	SETHAH			DyenDB		A
101	MAZ			DyenDB	101-007	A
103	MOJU			DyenDB	103-200	A
104	BAL, PARBATH			DyenDB	104-206	A
105	MOKH, OS			DyenDB	105-201	A
106	NAV			DyenDB	106-003	A
107	TANG			DyenDB	107-213	A
108	NISH			DyenDB	108-206	A
109	KORU			DyenDB	109-209	A
110	NOWU			DyenDB	110-200	A
111	RATH			DyenDB	111-003	A
112	NAST			DyenDB	112-005	A
113	NA			DyenDB	113-005	A
114	BUDA			DyenDB	114-202	A
115	OKU, AKH			DyenDB	115-200	A
116	BYAKH, PAR			DyenDB	116-003	A
117	ZAN, MURTH			DyenDB	117-007	A
118	GINDUN			DyenDB		A
119	LAMUN			DyenDB		A
120	ZIRU DINU			DyenDB		A
121	RUD PYONU, WASHUN			DyenDB	121-010	A
122	WOZOLU			DyenDB		A
124	DACHYUNU			DyenDB	124-002	A
125	KOL			DyenDB		A
126	WATH			DyenDB	126-003	A
127	MUL			DyenDB	127-202	A
128	RAZ			DyenDB	128-400	C
129	DODURU			DyenDB		A
131	MALUN, MATHUN			DyenDB	131-200	A
132	NUN			DyenDB	132-202	A
133	SEKH			DyenDB	133-203	A
134	WANUN			DyenDB		A
135	KASHUN			DyenDB	135-202	A
136	SODAR, SAGAR, SAMANDAR			DyenDB	136-005	A
137	WUCHUN			DyenDB		A
138	BYOLU			DyenDB	138-002	A
139	SUWUN			DyenDB	139-200	A
140	TEZ			DyenDB	140-006	A
141	TSHOTU			DyenDB	141-008	A
142	GEWUN			DyenDB	142-002	A
143	BEHUN			DyenDB	143-206	A
144	TSAM			DyenDB	144-206	A
145	NAB			DyenDB	145-002	A
146	SHONGUN			DyenDB	146-200	A
147	LUKU, LOKUTU, NIKA			DyenDB		A
148	PHUKUN			DyenDB		A
149	DAH			DyenDB	149-200	A
150	SATORU			DyenDB		A
151	SARAPH			DyenDB		A
152	SHIN			DyenDB	152-201	A
154	THOKUN			DyenDB	154-202	A
155	PHALUN, PHATUN			DyenDB	155-202	A
157	TASANUN			DyenDB		A
158	THODU WOTHUN			DyenDB	158-204	A
159	TARUKH			DyenDB	159-004	A
160	LURU			DyenDB	160-202	A
161	WATH, KUNU			DyenDB	161-100	C
162	SYODU			DyenDB	162-006	A
163	TSAHUN			DyenDB	163-002	A
164	SURE			DyenDB	164-203	A
165	HANUN, WOTHUN			DyenDB		A
166	TSATH, LAYUNU			DyenDB	166-100	C
167	LOTU			DyenDB		A
168	ATH, TIH			DyenDB	168-208	A
169	TOR, TOTU			DyenDB	169-203	A
170	TIM			DyenDB	170-200	A
171	MOTU			DyenDB	171-204	A
172	TONU, NYUKU			DyenDB	172-002	A
173	ZANUN			DyenDB		A
174	ATH, YIH			DyenDB	174-204	A
175	TSAH			DyenDB	175-201	A
176	TREH			DyenDB	176-002	A
177	TSHUNUN			DyenDB		A
178	GANDUN			DyenDB	178-205	A
179	ZEV			DyenDB	179-200	A
180	DAND			DyenDB	180-003	A
181	KULU			DyenDB		A
183	ZAH (DOYE = OBL.)			DyenDB	183-002	A
184	WAMUN			DyenDB	184-004	A
185	PAKUN			DyenDB		A
186	WUSHUNU			DyenDB		A
187	CHALUN, SORSHUN			DyenDB	187-100	C
188	PONU			DyenDB	188-202	A
189	ASI			DyenDB	189-002	A
190	ODURU, KYONU			DyenDB		A
191	KYAH			DyenDB	191-003	A
192	KAR			DyenDB	192-200	A
193	KATI, KOTU			DyenDB	193-200	A
194	CHOTU			DyenDB	194-100	C
195	KYAH			DyenDB	195-200	A
196	KHULA			DyenDB		A
197	KOLAY			DyenDB		A
198	WAV			DyenDB	198-202	A
199	PAKH			DyenDB	199-005	A
200	WOTHARUN			DyenDB		A
201	SUTY, SAN			DyenDB	201-200	A
202	ZANANA, TRIY			DyenDB	202-205	A
203	WAN			DyenDB	203-212	A
204	KIRM, KYOMU			DyenDB	204-200	A
205	TOHI			DyenDB	205-003	A
206	WAHAR, WARIH			DyenDB		A
207	LEDORU			DyenDB		A
