ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	SABAI			DyenDB	001-202	A	001-202
002	ARU, RA			DyenDB	002-004	A	002-004
003	JANTU, PASHU			DyenDB	003-203	A	003-203
004	KHARANI			DyenDB		A	
005	MA			DyenDB	005-219	A	005-221
006	KANDO			DyenDB		A	
007	NARAMRO			DyenDB		A	
008	BOKRA			DyenDB	008-005	A	008-005
009	KINAKI			DyenDB	009-214	A	009-214
010	BHUNRI			DyenDB	010-212	A	010-214
011	THULO			DyenDB	011-204	A	011-206
012	CHARA, PANCHHI			DyenDB	012-203	A	012-204
013	TOKNU			DyenDB	013-005	A	013-005
014	KALO			DyenDB	014-002	A	014-002
015	RAGAT			DyenDB	015-201	A	015-201
016	PHUKNU			DyenDB	016-006	A	016-006
017	HAR			DyenDB	017-203	A	017-203
020	BALNU, JALNU			DyenDB	020-209	A	020-210
021	BALAKHA, KETA			DyenDB	021-006	A	021-006
022	BADAL, DHUNRI			DyenDB	022-004	A	022-004
023	JARO, CHISO			DyenDB		A	
024	ANU			DyenDB	024-200	A	024-200
025	GANNU			DyenDB	025-002	A	025-002
026	KATNU			DyenDB	026-200	A	026-202
027	DIUSO			DyenDB	027-003	A	027-003
028	MARNU, BITNU			DyenDB	028-003	A	028-003
029	KHANNU			DyenDB	029-208	A	029-209
030	PHORI, MAILO			DyenDB	030-211	A	030-213
031	KUKUR			DyenDB	031-004	A	031-004
032	KHANU			DyenDB	032-002	A	032-002
033	SUKYAKO			DyenDB	033-205	A	033-205
035	DHULO			DyenDB	035-206	A	035-206
036	KAN			DyenDB	036-003	A	036-003
037	MATO			DyenDB	037-211	A	037-211
038	KHANU			DyenDB	038-200	A	038-200
039	PHUL			DyenDB	039-005	A	039-005
040	ANKHA			DyenDB	040-002	A	040-002
041	LOTNU			DyenDB		A	
042	TARA			DyenDB	042-204	A	042-204
043	BOSO			DyenDB	043-008	A	043-008
044	BABU			DyenDB	044-215	A	044-215
045	DARNU			DyenDB	045-200	A	045-202
046	PWANKH			DyenDB	046-003	A	046-003
047	KAMTI, THORAI			DyenDB	047-205	A	047-205
048	LARNU			DyenDB	048-002	A	048-002
050	AGO			DyenDB	050-004	A	050-004
051	MACHHA			DyenDB	051-002	A	051-002
052	PANCH			DyenDB	052-002	A	052-002
053	BAHNU, BAGNU			DyenDB	053-100	C	053-100
054	BAHANU, BAGNU			DyenDB	054-215	A	054-216
055	PHUL			DyenDB	055-004	A	055-004
056	URNU			DyenDB	056-200	A	056-200
057	KUHIRO			DyenDB	057-003	A	057-003
058	KHUTTA			DyenDB	058-200	A	058-203
059	CHAR			DyenDB	059-002	A	059-002
061	PHALPHUL			DyenDB	061-002	A	061-002
063	DINU			DyenDB	063-200	A	063-200
064	RAMRO, JATI			DyenDB	064-200	A	064-202
065	GHAS, JHAR			DyenDB	065-008	A	065-008
066	HARIO			DyenDB	066-200	A	066-200
068	RAUN			DyenDB		A	
069	HATH			DyenDB	069-200	A	069-200
070	U			DyenDB	070-213	A	070-213
071	TAUKO, MUNTO			DyenDB	071-205	A	071-208
072	SUNNU			DyenDB	072-205	A	072-205
073	MUTO			DyenDB	073-200	A	073-202
074	GARUNGO			DyenDB	074-200	A	074-200
075	YAHAN			DyenDB	075-200	A	075-200
076	HANNU, HIRKANU			DyenDB	076-211	A	076-211
077	THAMNU			DyenDB		A	
079	KASTO, KASTARI			DyenDB	079-200	A	079-200
081	LOGNIA			DyenDB	081-010	A	081-010
082	M			DyenDB	082-200	A	082-200
083	HIUN			DyenDB	083-007	A	083-007
084	BHANEDEKHIN			DyenDB		A	
085	MA			DyenDB	085-200	A	085-202
088	JANNU			DyenDB	088-200	A	088-202
089	TALAU, TAL			DyenDB	089-206	A	089-211
090	HANSNU			DyenDB	090-007	A	090-007
091	PAT			DyenDB	091-005	A	091-005
092	DEBRO			DyenDB	092-007	A	092-007
093	KHUTTA			DyenDB	093-014	A	093-014
095	JIUNO			DyenDB	095-005	A	095-005
096	KALEJO			DyenDB	096-200	A	096-200
097	LAMO			DyenDB	097-003	A	097-003
098	JUMRA			DyenDB	098-204	A	098-204
099	MANCHHA, JANA, MANIS			DyenDB	099-203	A	099-205
100	DHERI, SASTI			DyenDB	100-206	A	100-206
101	SHIKAR, MASU			DyenDB	101-007	A	101-007
103	AMA			DyenDB	103-204	A	103-205
104	PARBAT, LEKH			DyenDB	104-206	A	104-206
105	MUKH			DyenDB	105-200	A	105-202
106	NAM, NAUN			DyenDB	106-003	A	106-003
107	SANGURO			DyenDB	107-213	A	107-217
108	NIR, NAJIK			DyenDB	108-204	A	108-204
109	GHANTI			DyenDB		A	
110	NAYA, NAULA			DyenDB	110-200	A	110-200
111	RAT			DyenDB	111-003	A	111-003
112	NAK			DyenDB	112-005	A	112-005
