ID	source_form	phon_form	notes	source	cognate_class	reliability
001	TUOT			DyenDB	001-003	A
002	E, ED			DyenDB	002-204	A
003	ANIMAL, ARMAINT			DyenDB	003-401	C
004	TSCHENDRA			DyenDB	004-002	A
005	A, AD, ADA			DyenDB	005-202	A
006	DOSS, RAIN			DyenDB	006-201	A
007	MEL			DyenDB	007-219	A
008	SCORZA			DyenDB	008-204	A
009	CAUSA CHA, PERVI CHA			DyenDB	009-010	A
010	VAINTER			DyenDB	010-201	A
011	GRAND			DyenDB	011-209	A
012	UTSCHE			DyenDB	012-200	A
013	MORDER			DyenDB	013-003	A
014	MOR, NAIR			DyenDB	014-005	A
015	SAUNG			DyenDB	015-003	A
016	BOFFER, SBOFFER, SOFFLER			DyenDB	016-209	A
017	OSS			DyenDB	017-200	A
019	RESPIRER			DyenDB	019-202	A
020	ARDER, BRUSCHER			DyenDB	020-213	A
021	INFAUNT			DyenDB	021-014	A
022	NUVLA			DyenDB	022-008	A
023	FRAID			DyenDB	023-003	A
024	GNIR			DyenDB	024-206	A
025	DOMBRER, IN(N)UMBRER			DyenDB	025-203	A
026	TAGLIER			DyenDB	026-206	A
027	DI			DyenDB	027-003	A
028	MORIR, SMURIR			DyenDB	028-003	A
029	CHAVER			DyenDB	029-003	A
030	ASCHER			DyenDB		A
031	CHAUN			DyenDB	031-003	A
032	BAIVER			DyenDB	032-004	A
033	SECH, SUT			DyenDB	033-203	A
034	MUOT			DyenDB	034-004	A
035	PUOLVRA			DyenDB	035-004	A
036	URAGLIA			DyenDB	036-200	A
037	TERRA			DyenDB	037-205	A
038	MANGER			DyenDB	038-004	A
039	OV			DyenDB	039-007	A
040	OGL			DyenDB	040-002	A
041	CRUDER			DyenDB	041-003	A
042	VIA			DyenDB		A
043	SUNDSCHA			DyenDB		A
044	BAP			DyenDB	044-214	A
045	TMAIR			DyenDB	045-205	A
046	PENNA			DyenDB	046-203	A
047	POCHA			DyenDB	047-002	A
048	CUMBATTER			DyenDB	048-205	A
050	FO			DyenDB	050-002	A
051	PESCH			DyenDB	051-009	A
052	TSCHINCH			DyenDB	052-002	A
054	FLUIR			DyenDB	054-214	A
055	FLUR			DyenDB	055-002	A
056	SVOLER			DyenDB	056-005	A
057	TSCHIERA			DyenDB		A
058	PE			DyenDB	058-200	A
059	QUATTER			DyenDB	059-002	A
060	DSCHLER			DyenDB	060-204	A
061	FRUT			DyenDB	061-003	A
063	DER			DyenDB	063-200	A
064	BUNA			DyenDB	064-002	A
065	ERVA			DyenDB	065-002	A
066	VERD, VIERD			DyenDB	066-008	A
067	BOGL			DyenDB	067-009	A
068	CHAVE			DyenDB	068-200	A
069	MAUN			DyenDB	069-002	A
070	EL			DyenDB	070-002	A
071	TESTA			DyenDB	071-200	A
072	UDIR			DyenDB	072-202	A
073	COUR			DyenDB	073-200	A
074	PESANT			DyenDB	074-204	A
075	TSCHO, ACCO / ACQUI, QUI			DyenDB	075-216	A
076	COLPIR			DyenDB	076-007	A
077	TGNAIR, TEGNER			DyenDB	077-004	A
079	QUANT			DyenDB	079-200	A
080	CHATSCHER			DyenDB	080-003	A
081	MARID			DyenDB	081-200	A
082	EAU			DyenDB	082-200	A
083	GLATSCH			DyenDB	083-200	A
084	SCHA			DyenDB	084-003	A
085	IN			DyenDB	085-200	A
086	MAZZER, MURENTER			DyenDB	086-204	A
088	SAVAIR			DyenDB	088-002	A
089	LEJ, LEIH			DyenDB	089-200	A
090	RIR			DyenDB	090-003	A
091	FOGLIA			DyenDB	091-200	A
092	SCHNESTER			DyenDB	092-200	A
093	CHAMMA			DyenDB	093-004	A
094	GIASCHAIR			DyenDB	094-202	A
095	VIVER			DyenDB	095-005	A
096	FIO			DyenDB	096-004	A
097	LUNGIA			DyenDB	097-200	A
098	PLUOGL			DyenDB	098-003	A
099	HOMENS, CRASTIAUN			DyenDB	099-200	A
100	BAINQUAUNTS, BGER			DyenDB		A
101	CHARN			DyenDB	101-203	A
103	MAMA			DyenDB	103-206	A
104	MUNT, MUNTAGNA			DyenDB	104-002	A
105	BUOCHA			DyenDB	105-006	A
106	NOM			DyenDB	106-003	A
107	STRET			DyenDB	107-200	A
108	ARDAINT, STRUSCH			DyenDB		A
109	CULOZ			DyenDB	109-206	A
110	NOUV, NOV			DyenDB	110-200	A
111	NOT, NOAT			DyenDB	111-004	A
112	NES			DyenDB	112-005	A
113	NA, NOAT, NUN			DyenDB	113-005	A
114	VEGL			DyenDB	114-010	A
115	UN			DyenDB	115-200	A
116	OTER			DyenDB	116-009	A
117	CRASTIAUN, HOMENS,PERSUNA			DyenDB	117-207	A
118	GIOVER			DyenDB	118-003	A
119	TRER			DyenDB	119-203	A
120	SBUERLER, STUMPLER			DyenDB		A
121	PLOUVER, PLOVER			DyenDB	121-004	A
122	COTSCHEN			DyenDB	122-010	A
123	DRET			DyenDB	123-200	A
124	DRET			DyenDB	124-200	A
125	FLUM			DyenDB	125-202	A
126	VIA			DyenDB	126-008	A
127	RISCH			DyenDB	127-205	A
128	CORDA			DyenDB	128-010	A
129	PUTIRD			DyenDB	129-002	A
131	SFRUSCHER			DyenDB		A
132	SAL			DyenDB	132-002	A
133	SABLUN			DyenDB	133-206	A
134	DIR			DyenDB	134-003	A
135	SGRATTER, GRATTER			DyenDB	135-002	A
136	MER			DyenDB	136-204	A
137	VAIR			DyenDB	137-003	A
138	SEM, SEMENZA			DyenDB	138-200	A
139	CUSIR			DyenDB	139-200	A
140	TAGLIAINT			DyenDB	140-010	A
141	CUORT			DyenDB	141-012	A
142	CHANTER			DyenDB	142-003	A
143	SEZZER			DyenDB	143-200	A
144	PEL			DyenDB	144-200	A
145	TSCHEL			DyenDB	145-003	A
146	DORMIR			DyenDB	146-004	A
147	PITSCHEN			DyenDB	147-007	A
148	SAVURER			DyenDB		A
149	FUM			DyenDB	149-200	A
150	GLISCH			DyenDB	150-202	A
151	SERP, ZERP			DyenDB	151-006	A
152	NAIV			DyenDB	152-004	A
153	ALCH, QUALCHE, TSCHERTUNS			DyenDB	153-207	A
154	SCRACHER, SPUDER			DyenDB	154-205	A
155	SFENDER, FENDER			DyenDB	155-203	A
156	SQUITSCHER			DyenDB		A
157	STILETTER			DyenDB		A
158	STER			DyenDB	158-205	A
159	ASTER			DyenDB	159-004	A
160	BASTUN			DyenDB	160-005	A
161	CRAP, SASS			DyenDB		A
162	DRET			DyenDB	162-203	A
163	TETTER, TSCHUTSCHER			DyenDB		A
164	SOLAGL			DyenDB	164-203	A
165	IFFLER, SCUFFLER			DyenDB	165-209	A
166	NUDER			DyenDB	166-008	A
167	CUA			DyenDB	167-203	A
168	LESS, QUEL			DyenDB	168-210	A
169	ACQUI / ALLO, QUANDER / QUI			DyenDB	169-201	A
170	ELS			DyenDB	170-209	A
172	STIGL			DyenDB		A
173	S'IMPISSER, PENSER			DyenDB	173-215	A
174	QUAIST, QUIST			DyenDB	174-204	A
175	TU			DyenDB	175-200	A
176	TRAIS			DyenDB	176-002	A
177	BUTTER, PATTER			DyenDB	177-204	A
178	LIER			DyenDB	178-200	A
179	LAUNGIA			DyenDB	179-200	A
180	DAINT			DyenDB	180-003	A
181	BOS			DyenDB		A
182	GIRER, VERDSCHER			DyenDB	182-201	A
183	DUOS			DyenDB	183-002	A
184	VOMITER			DyenDB	184-004	A
185	CHAMINER			DyenDB	185-204	A
186	CHOD			DyenDB	186-003	A
187	LAVER			DyenDB	187-004	A
188	OVA			DyenDB	188-003	A
189	NUS			DyenDB	189-002	A
190	BLETSCH, CREGN			DyenDB		A
191	CHE			DyenDB	191-003	A
192	CUR, CURA			DyenDB	192-200	A
193	INUA			DyenDB	193-200	A
194	ALV			DyenDB	194-202	A
195	CHI			DyenDB	195-200	A
196	LARG, LED			DyenDB	196-003	A
197	MUGLIER			DyenDB	197-212	A
198	SOFFEL, VENT			DyenDB	198-202	A
199	ELA			DyenDB	199-006	A
200	TERDSCHER			DyenDB	200-006	A
201	CUN			DyenDB	201-211	A
202	DUONNA, FEMNA			DyenDB	202-201	A
203	GOD, SELVA			DyenDB	203-206	A
204	VERM, VIERM			DyenDB	204-205	A
205	VUS			DyenDB	205-200	A
206	AN, ANNEDA			DyenDB	206-002	A
207	MELLEN, GIALV			DyenDB	207-201	A
