ID	source_form	phon_form	notes	source	cognate_class
2	TE			DyenDB	3
4	SWA			DyenDB	8
6	PICCHE			DyenDB	6
11	WEDDA			DyenDB	2
12	PERINDA			DyenDB	5
14	KALA			DyenDB	2
15	XUN			DyenDB	12
19	SA GHINNEN			DyenDB	8
21	BECCA			DyenDB	5
22	BEDDEL			DyenDB	4
23	THEND			DyenDB	4
25	GINNEN			DyenDB	2
27	DI			DyenDB	3
28	MEREN			DyenDB	3
29	KHODEN			DyenDB	9
31	KUTTA			DyenDB	5
32	PIWEN			DyenDB	4
34	KHUNDA			DyenDB	7
36	KEN			DyenDB	3
39	ENDA			DyenDB	2
40	EKH			DyenDB	2
42	DUR			DyenDB	7
48	LEREN			DyenDB	2
51	MECHLI			DyenDB	2
52	PENJ			DyenDB	2
53	TAEREN			DyenDB	2
55	PHUL			DyenDB	4
57	DHUNDH			DyenDB	7
59	CAR			DyenDB	2
60	JEMMEN			DyenDB	4
61	PHEL			DyenDB	2
64	CENGA			DyenDB	8
65	GHA			DyenDB	8
73	DIL			DyenDB	7
77	PEKREN			DyenDB	3
80	SIKAR KHEDEN			DyenDB	4
90	HESSEN			DyenDB	7
91	PETTA			DyenDB	5
92	KHEBBA			DyenDB	17
93	TENG			DyenDB	9
94	LETEN			DyenDB	8
95	JIWEN			DyenDB	5
97	LEMBA			DyenDB	3
101	MAS			DyenDB	7
106	NA			DyenDB	3
109	GERDEN			DyenDB	6
111	RAT			DyenDB	3
112	NEK			DyenDB	5
113	NE, NI			DyenDB	5
116	BIYA			DyenDB	3
118	KHEDEN			DyenDB	11
121	BARES THIWEN			DyenDB	13
122	LAL			DyenDB	2
123	THIK			DyenDB	7
129	SERI			DyenDB	10
136	SEMUNDER			DyenDB	5
137	DEKHEN			DyenDB	10
138	BIJ			DyenDB	2
140	TEZ			DyenDB	6
141	CHOTA			DyenDB	8
142	GAWEN			DyenDB	2
145	ESMAN			DyenDB	5
151	SEP			DyenDB	6
152	BERF, BERREF			DyenDB	2
156	NICOREN			DyenDB	18
159	TARA			DyenDB	4
161	PETTHER			DyenDB	9
162	SIDDHA			DyenDB	6
163	CHUSEN			DyenDB	2
165	SUJJEN			DyenDB	4
166	TAEREN			DyenDB	4
167	PUCH			DyenDB	6
176	TRAE			DyenDB	2
177	SUTTEN			DyenDB	3
180	DEND			DyenDB	3
183	DU			DyenDB	2
185	TUREN			DyenDB	15
186	GERMI			DyenDB	2
189	ESSA			DyenDB	2
191	KE			DyenDB	3
194	SEFED			DyenDB	2
199	PER			DyenDB	10
201	NAL			DyenDB	2
204	KIRA			DyenDB	4
205	TUSSA			DyenDB	3
