ID	source_form	phon_form	notes	source	cognate_class	reliability
1	VISS			DyenDB	2	A
2	UN			DyenDB		A
3	DZIVNIEKS, KUSTONIS			DyenDB	200	A
4	PELNI			DyenDB	3	A
5	UZ, PIE			DyenDB	200	A
6	MUGURA			DyenDB	8	A
7	SLIKTS			DyenDB		A
8	MIZA			DyenDB		A
9	TAPEC KA			DyenDB		A
10	VEDERS			DyenDB	200	A
11	LIELS			DyenDB		A
12	PUTNS			DyenDB	206	A
14	MELNS			DyenDB	10	A
15	ASINIS			DyenDB	6	A
17	KAULS			DyenDB	3	A
21	BERNS			DyenDB	2	A
22	MAKONIS			DyenDB		A
23	AUKSTS			DyenDB	205	B
27	DIENA			DyenDB	3	A
30	NETIRS			DyenDB		A
31	SUNS			DyenDB	3	A
33	SAUSS			DyenDB	205	A
34	NEASS (TRULS)			DyenDB	11	A
35	PUTEKLI			DyenDB	200	A
36	AUSS			DyenDB	200	A
37	ZEME			DyenDB	200	A
39	OLA			DyenDB		A
40	ACS			DyenDB	2	A
42	TALS			DyenDB	203	A
43	TAUKS, TREKNS			DyenDB	5	A
44	TEVS			DyenDB	200	A
46	SPALVA			DyenDB		A
47	MAZLIET, DRUSKU, DAZI			DyenDB		A
50	UGUNS			DyenDB	4	A
51	ZIVS			DyenDB	4	A
52	PIECI			DyenDB	2	A
55	PUKE			DyenDB		A
57	MIGLA			DyenDB	200	A
58	KAJA			DyenDB	2	A
59	CETRI			DyenDB	2	A
61	AUGLIS			DyenDB		A
64	LABS			DyenDB	100	A
65	ZALE			DyenDB	3	A
66	ZALS			DyenDB	200	A
67	ZARNAS			DyenDB	205	A
68	MATS			DyenDB		A
69	ROKA			DyenDB	5	A
70	VINS			DyenDB	200	A
71	GALVA			DyenDB	2	A
73	SIRDS			DyenDB	200	A
74	SMAGS			DyenDB		A
75	SEIT			DyenDB	211	A
77	TURET			DyenDB		A
79	KA			DyenDB	200	A
81	VIRS			DyenDB	203	A
82	ES			DyenDB	200	A
83	LEDUS			DyenDB	204	A
84	JA			DyenDB	203	A
88	ZINAT			DyenDB	200	A
89	EZERS			DyenDB	2	A
91	LAPA			DyenDB	4	A
92	KREISAIS			DyenDB		A
93	KAJA			DyenDB	5	A
96	AKNAS			DyenDB	200	A
97	GARS			DyenDB		A
98	UTS			DyenDB	200	A
99	VIRIETIS			DyenDB	200	A
100	DAUDZ			DyenDB	4	A
101	GALA			DyenDB		A
103	MATE			DyenDB	200	A
104	KALNS			DyenDB	4	A
105	MUTE			DyenDB	200	A
106	VARDS			DyenDB	2	A
107	SAURS			DyenDB	200	A
108	TUVU			DyenDB		A
109	KAKLS			DyenDB	204	A
110	JAUNS			DyenDB		A
111	NAKTS			DyenDB	4	A
112	DEGUNS			DyenDB		A
113	NE			DyenDB	5	A
114	VECS			DyenDB	10	A
115	VIENS			DyenDB	200	A
116	CITS			DyenDB	6	A
117	PERSONA			DyenDB		A
122	SARKANS			DyenDB	200	B
123	PAREIZS			DyenDB		A
124	LABAIS			DyenDB		A
125	UPE			DyenDB	2	A
126	CELS			DyenDB	2	A
127	SAKNE			DyenDB	2	A
128	VIRVE			DyenDB	5	A
129	SAPUVIS, SATRUDEJIS			DyenDB	5	A
131	BERZT			DyenDB		A
132	SALS			DyenDB	2	A
133	SMILTIS			DyenDB	3	A
135	KASIT			DyenDB	200	A
136	JURA			DyenDB	2	A
138	SEKLA			DyenDB	200	A
140	ASS			DyenDB	200	A
141	ISS			DyenDB		A
144	ADA			DyenDB	2	A
145	DEBESS			DyenDB	2	A
147	MAZS			DyenDB	5	A
149	DUMI			DyenDB	200	A
150	GLUDS, LIDZENS			DyenDB	205	A
151	CUSKA			DyenDB		A
152	SNIEGS			DyenDB	4	A
153	KADS, DAZI, DRUSKU			DyenDB	204	A
159	ZVAIGZNE			DyenDB	3	A
160	NUJA, KOKS			DyenDB		A
161	AKMENS			DyenDB	6	A
162	TAISNI			DyenDB	3	A
164	SAULE			DyenDB	203	A
167	ASTE			DyenDB	7	A
168	TAS			DyenDB	200	A
169	TUR			DyenDB	203	A
170	VINI			DyenDB		A
171	BIEZS			DyenDB	200	A
172	TIEVS			DyenDB	2	A
174	SIS			DyenDB	200	A
175	TU			DyenDB	200	A
176	TRIS			DyenDB	2	A
13	KOST			DyenDB	11	A
16	PUST			DyenDB	6	A
19	ELPOT			DyenDB	100	A
20	DEDZINAT			DyenDB	200	A
24	NAKT, BRAUKT			DyenDB		A
25	SKAITIT			DyenDB	4	A
26	GRIEZT			DyenDB		A
28	MIRST			DyenDB	3	A
29	RAKT			DyenDB		A
32	DZERT			DyenDB	5	A
38	EST			DyenDB	6	A
41	KRIST			DyenDB	200	A
45	BAIDITIES			DyenDB	200	A
48	KAUTIES, SISTIES, CINITIES			DyenDB	3	A
53	PELDET			DyenDB	5	A
54	PLUST			DyenDB	200	A
56	LIDOT			DyenDB		A
60	SALT			DyenDB	200	A
63	DOT			DyenDB	200	A
72	DZIRDET			DyenDB	2	A
76	IESIST			DyenDB		A
80	MEDIT			DyenDB	2	A
86	NOGALINAT, NONAVET			DyenDB		A
90	SMIETIES			DyenDB	4	A
94	GULET			DyenDB	6	A
95	DZIVOT			DyenDB	5	A
118	SPELET			DyenDB		A
119	VILKT			DyenDB	206	A
120	GRUST			DyenDB		A
121	LIT (LIETUS)			DyenDB	5	A
134	SACIT, TEIKT, RUNAT			DyenDB	5	A
137	REDZET			DyenDB		A
139	SUT			DyenDB	200	A
142	DZIEDAT			DyenDB		A
143	SEDET			DyenDB	200	A
146	GULET			DyenDB		A
148	OST			DyenDB	205	A
154	SPLAUTIES			DyenDB	203	A
155	SASKALDIT, SASKELT			DyenDB	206	A
156	SPIEST			DyenDB	14	A
157	IEDURT, IESPRAUST			DyenDB	7	A
158	STAVET			DyenDB	202	A
163	ZIST, SUKT			DyenDB	202	A
165	PAMPT, TUKT			DyenDB	103	A
166	PELDETIES			DyenDB		A
173	DOMAT			DyenDB	209	A
177	MEST, SVIEST			DyenDB	208	A
178	SIET			DyenDB		A
182	PAGRIEZT, PAVERST			DyenDB	200	A
184	VEMT			DyenDB	4	A
185	IET, STAIGAT			DyenDB	16	A
187	MAZGAT			DyenDB	200	A
179	MELE			DyenDB		A
180	ZOBS			DyenDB	2	A
181	KOKS			DyenDB		A
183	DIVI			DyenDB	2	A
186	SILTS			DyenDB	3	A
188	UDENS			DyenDB	4	A
189	MES			DyenDB	2	A
190	SLAPS			DyenDB	6	A
191	KAS			DyenDB	3	A
192	KAD			DyenDB	200	A
193	KUR			DyenDB	200	A
194	BALTS			DyenDB	203	A
195	KAS, KURS			DyenDB	200	A
196	PLATS			DyenDB	203	A
197	SIEVA			DyenDB		A
198	VEJS			DyenDB	200	A
199	SPARNS			DyenDB	200	A
200	SLAUCIT			DyenDB	12	A
201	AR			DyenDB		A
202	SIEVIETE			DyenDB		A
203	MEZA			DyenDB	203	A
204	TARPS			DyenDB		A
205	JUS			DyenDB	200	A
206	GADS			DyenDB		A
207	DZELTENS			DyenDB	200	A
