ID	source_form	phon_form	notes	source	cognate_class	reliability
001	VISAS, VISI (PL)			DyenDB	001-002	A
002	IR			DyenDB	002-012	A
003	GYVULYS			DyenDB	003-202	A
004	PELENAI			DyenDB	004-003	A
005	ANT			DyenDB		A
006	PECAI			DyenDB	006-100	C
007	BLOGAS, NEGERAS			DyenDB	007-003	A
008	MEDZIO ZIEVE			DyenDB	008-004	A
009	TODEL KAD, UZTAI KAD			DyenDB	009-007	A
010	PILVAS			DyenDB	010-007	A
011	DIDELIS			DyenDB	011-005	A
012	PAUKSTIS			DyenDB	012-207	A
013	KASTI			DyenDB	013-011	A
014	JUODAS			DyenDB	014-009	A
015	KRAUJAS			DyenDB	015-005	A
016	PUSTI			DyenDB	016-006	A
017	KAULAS			DyenDB	017-003	A
019	KVEPUOTI			DyenDB	019-007	A
020	DEGINTI			DyenDB	020-204	A
021	VAIKAS			DyenDB	021-013	A
022	DEBESIS			DyenDB	022-207	A
023	SALTAS			DyenDB	023-005	A
024	ATEITI			DyenDB	024-203	A
025	ROKUOTI			DyenDB		A
026	KIRSTI			DyenDB	026-202	A
027	DIENA			DyenDB	027-003	A
028	MIRTI			DyenDB	028-003	A
029	KASTI			DyenDB	029-005	A
030	PURVINAS			DyenDB	030-008	A
031	SUO			DyenDB	031-003	A
032	GERTI			DyenDB	032-005	A
033	SAUSAS			DyenDB	033-205	A
034	ATBUKES, NE ASTRUS			DyenDB	034-011	A
035	DULKES			DyenDB	035-206	A
036	AUSIS			DyenDB	036-200	A
037	ZEME			DyenDB	037-200	A
038	VALGYTI			DyenDB	038-010	A
039	KIAUSINIS			DyenDB	039-004	A
040	AKIS			DyenDB	040-002	A
041	PULTI			DyenDB	041-200	A
042	TOLUS			DyenDB	042-203	A
043	TAUKAI			DyenDB	043-005	A
044	TEVAS			DyenDB	044-204	A
045	BIJOTI			DyenDB	045-204	A
046	PLUNKENA			DyenDB	046-206	A
047	KELI			DyenDB	047-100	C
048	MUSTIS			DyenDB		A
050	UGNIS			DyenDB	050-004	A
051	ZUVIS			DyenDB	051-004	A
052	PENKI			DyenDB	052-002	A
053	PLAUKYTI			DyenDB	053-005	A
054	TEKETI, BEGTI			DyenDB	054-004	A
055	KVIETKA			DyenDB	055-201	A
056	SKRISTI			DyenDB	056-202	A
057	UKAS			DyenDB		A
058	KOJA			DyenDB	058-002	A
059	KETURI			DyenDB	059-002	A
060	SALDYTI			DyenDB	060-203	A
061	VAISIUS			DyenDB	061-010	A
063	DUOTI			DyenDB	063-200	A
064	GERAS			DyenDB	064-011	A
065	ZOLE			DyenDB	065-003	A
066	ZALIAS			DyenDB	066-200	A
068	PLAUKAI			DyenDB	068-002	A
069	RANKA			DyenDB	069-005	A
070	JIS			DyenDB	070-211	A
071	GALVA			DyenDB	071-002	A
072	GIRDETI			DyenDB	072-002	A
073	SIRDIS			DyenDB	073-200	A
074	SUNKUS			DyenDB	074-005	A
075	CIA, SICIA			DyenDB	075-216	A
076	SUDUOTI			DyenDB		A
077	LAIKYTI			DyenDB	077-007	A
079	KAIP			DyenDB	079-200	A
080	MEDZIOTI			DyenDB	080-002	A
081	VYRAS			DyenDB	081-203	A
082	AS			DyenDB	082-200	A
083	LEDAS			DyenDB	083-204	A
084	JEI, JEIGU			DyenDB	084-209	A
085	I			DyenDB	085-200	A
086	UZMUSTI, NAIKINTI			DyenDB	086-004	A
088	ZINOTI			DyenDB	088-202	A
089	AZERAS			DyenDB	089-002	A
090	JUOKTIS			DyenDB	090-009	A
091	LAPAS, LAKSTAS			DyenDB	091-004	A
092	KAIRINIS			DyenDB	092-015	A
