ID	source_form	phon_form	notes	source	cognate_class	reliability
1	VISAS			DyenDB	001-002	A
2	IR			DyenDB	002-012	A
3	GYVULYS, ZVERIS (WILD)			DyenDB	003-200	A
4	PELENAI			DyenDB	004-003	A
5	PRIE			DyenDB	005-213	A
6	NUGARA			DyenDB	006-008	A
7	BLOGAS, NEGERAS			DyenDB	007-003	A
8	MEDZIO ZIEVE			DyenDB	008-004	A
9	TODEL KAD, UZ TAI KAD			DyenDB	009-007	A
10	PILVAS			DyenDB	010-007	A
11	DIDELIS			DyenDB	011-005	A
12	PAUKSTIS			DyenDB	012-207	A
14	JUODAS			DyenDB	014-009	A
15	KRAUJAS			DyenDB	015-005	A
17	KAULAS			DyenDB	017-003	A
21	KUDIKIS, VAIKAS			DyenDB	020-013	A
22	DEBESIS			DyenDB	021-207	A
23	SALTAS			DyenDB	022-005	A
27	DIENA			DyenDB	026-003	A
30	NESVARUS, PURVINAS			DyenDB	029-008	A
31	SUO			DyenDB	030-003	A
33	SAUSAS			DyenDB	032-205	A
34	BUKAS, NEASTRUS, ATSIPES			DyenDB	033-011	A
35	DULKES			DyenDB	034-206	A
36	AUSIS			DyenDB	035-200	A
37	ZEME			DyenDB	036-200	A
39	KIAUSINIS			DyenDB	038-004	A
40	AKIS			DyenDB	039-002	A
42	TOLIMAS			DyenDB	041-203	A
43	TAUKAI			DyenDB	042-005	A
44	TEVAS			DyenDB	043-204	A
46	PLUNKSNA			DyenDB	045-203	A
47	NEDAUG			DyenDB	046-001	A
50	UGNIS			DyenDB	048-004	A
51	ZUVIS			DyenDB	049-004	A
52	PENKI			DyenDB	050-002	A
55	GELE			DyenDB	053-100	A
57	MIGLA			DyenDB	055-200	A
58	KOJA			DyenDB	056-002	A
59	KETURI			DyenDB	057-002	A
61	VAISIUS			DyenDB	059-010	A
64	GERAS			DyenDB	061-011	A
65	ZOLE			DyenDB	062-003	A
66	ZALIAS			DyenDB	063-200	A
67	VIDURIAI, ZARNOS			DyenDB	064-205	A
68	PLAUKAS			DyenDB	065-002	A
69	RANKA			DyenDB	066-005	A
70	JIS			DyenDB	067-211	A
71	GALVA			DyenDB	068-002	A
73	SIRDIS			DyenDB	070-200	A
74	SUNKUS			DyenDB	071-005	A
75	CIA			DyenDB	072-214	A
77	LAIKYTI			DyenDB	074-007	A
79	KAIP			DyenDB	075-200	A
81	VYRAS			DyenDB	077-203	A
82	AS			DyenDB	078-200	A
83	LEDAS			DyenDB	079-204	A
84	JEI, JEIGU, KAD			DyenDB	080-204	A
85	I			DyenDB	081-200	A
88	ZINOTI			DyenDB	083-200	A
89	EZERAS			DyenDB	084-002	A
91	LAPAS			DyenDB	086-004	A
92	KAIRYS			DyenDB	087-015	A
93	KOJA			DyenDB	088-005	A
96	KEPENOS (PL.), KEPENYS (PL.)			DyenDB	091-005	A
97	ILGAS			DyenDB	092-200	A
98	UTELE			DyenDB	093-202	A
99	VYRAS			DyenDB	094-200	A
100	DAUG			DyenDB	095-004	A
101	MESA			DyenDB	096-007	A
103	MOTINA			DyenDB	097-200	A
104	KALNAS			DyenDB	098-004	A
105	BURNA			DyenDB	099-005	A
106	VARDAS			DyenDB	100-002	A
107	SIAURAS, ANKSTAS			DyenDB	101-207	A
108	ARTI			DyenDB	102-009	A
109	KAKLAS			DyenDB	103-207	A
110	NAUJAS			DyenDB	104-200	A
111	NAKTIS			DyenDB	105-004	A
112	NOSIS			DyenDB	106-005	A
113	NE- (PREFIX)			DyenDB	107-005	A
114	SENAS			DyenDB	108-008	A
115	NIENAS, VIENERI (COLL.)			DyenDB	109-200	A
116	KITAS			DyenDB	110-006	A
117	ASMUO			DyenDB	111-001	A
122	RAUDONAS			DyenDB	116-003	A
123	TAISYKLINGAS			DyenDB	117-004	A
124	DESINYS			DyenDB	118-002	A
125	UPE			DyenDB	119-002	A
126	KELIAS			DyenDB	120-002	A
127	SAKNIS			DyenDB	121-002	A
128	VIRVE			DyenDB	122-005	A
129	SUPUVES			DyenDB	123-005	A
131	TRINTI			DyenDB	124-003	A
132	DRUSKA			DyenDB	125-006	A
133	SMELIS, SMELYS			DyenDB	126-003	A
135	KASYTI, KRAPSTYTI			DyenDB	128-200	A
136	JURA			DyenDB	129-002	A
138	SEKLA			DyenDB	131-200	A
140	ASTRUS			DyenDB	133-200	A
141	TRUMPAS			DyenDB	134-009	A
144	ODA			DyenDB	137-002	A
145	DANGUS			DyenDB	138-010	A
147	MAZAS			DyenDB	140-005	A
149	DUMAI			DyenDB	142-200	A
150	SVELNUS, NESIURKSTUS			DyenDB	143-001	A
151	GYVATE, ZALTYS			DyenDB	144-009	A
152	SNIEGAS			DyenDB	145-004	A
153	KELI, KELETAS			DyenDB	146-002	A
159	ZVAIGZDE			DyenDB	152-003	A
160	PAGALYS			DyenDB	153-001	A
161	AKMUO			DyenDB	154-006	A
162	TIESUS			DyenDB	155-003	A
164	SAULE			DyenDB	157-203	A
167	UODEGA			DyenDB	160-007	A
168	TAS			DyenDB	161-200	A
169	TEN, TENAI			DyenDB	162-203	A
170	JIE, JOS			DyenDB	163-206	A
171	STORAS			DyenDB	164-003	A
172	PLONAS			DyenDB	165-005	A
174	SIS, SITAS			DyenDB	167-200	A
175	TU			DyenDB	168-200	A
176	TRYS			DyenDB	169-002	A
13	KASTI			DyenDB	013-011	A
16	PUSTI			DyenDB	016-006	A
19	KVEPUOTI, ALSUOTI			DyenDB	018-007	A
20	DEGTI			DyenDB	019-200	A
24	ATEITI			DyenDB	023-203	A
25	SKAICIUOTI			DyenDB	024-004	A
26	PIAUTI, RIEKTI (BREAD)			DyenDB	025-001	A
28	MIRTI (PEOPLE), DVESTI (ANIMALS)			DyenDB	027-003	A
29	KASTI			DyenDB	028-005	A
32	GERTI			DyenDB	031-005	A
38	VALGYTI			DyenDB	037-010	A
41	(NU)KRISTI, NUPULTI			DyenDB	040-200	A
45	BIJOTI			DyenDB	044-203	A
48	KOVOTI			DyenDB	047-003	A
53	PLAUKTI			DyenDB	051-005	A
54	TEKETI			DyenDB	052-004	A
56	SKRISTI, LEKTI			DyenDB	054-202	A
60	SALDYTI			DyenDB	058-203	A
63	DUOTI			DyenDB	060-200	A
72	GIRDE TI			DyenDB	069-002	A
76	MUSTI			DyenDB	073-001	A
80	MEDZIOTI			DyenDB	076-002	A
86	UZMUSTI			DyenDB	082-004	A
90	JUOKTIS			DyenDB	085-009	A
94	GULETI			DyenDB	089-006	A
95	GYVENTI			DyenDB	090-005	A
118	ZAISTI, ZAISTI			DyenDB	112-100	A
119	TRAUKTI			DyenDB	113-007	A
120	STUMTI			DyenDB	114-200	A
121	LYTI			DyenDB	115-005	A
134	SAKYTI			DyenDB	127-005	A
137	MATYTI			DyenDB	130-011	A
139	SIUTI			DyenDB	132-200	A
142	DAINUOTI			DyenDB	135-007	A
143	SEDETI			DyenDB	136-200	A
146	MIEGOTI			DyenDB	139-003	A
148	UZUOSTI			DyenDB	141-205	A
154	SPIAUTI			DyenDB	147-205	A
155	SKELTI			DyenDB	148-207	A
156	SUSPAUSTI			DyenDB	149-014	A
157	DURTI			DyenDB	150-007	A
158	STOVETI			DyenDB	151-202	A
163	CIULPTI			DyenDB	156-005	A
165	PUSTI			DyenDB	158-203	A
166	PLAUKTI			DyenDB	159-003	A
173	GALVOTI, MASTYTI			DyenDB	166-001	A
177	MESTI			DyenDB	170-208	A
178	RISTI			DyenDB	171-003	A
182	KRYPTI, SUKTI			DyenDB	175-008	A
184	VEMTI			DyenDB	177-004	A
185	VAIKSCIOTI			DyenDB	178-010	A
187	MAZGOTI			DyenDB	180-201	A
179	LIEZUVIS			DyenDB	172-200	A
180	DANTIS			DyenDB	173-003	A
181	MEDIS			DyenDB	174-010	A
183	DU, DVI			DyenDB	176-002	A
186	SILTAS			DyenDB	179-003	A
188	VANDUO			DyenDB	181-004	A
189	MES			DyenDB	182-002	A
190	SLAPIAS			DyenDB	183-006	A
191	KAS			DyenDB	184-003	A
192	KADA			DyenDB	185-200	A
193	KUR			DyenDB	186-200	A
194	BALTAS			DyenDB	187-203	A
195	KAS			DyenDB	188-200	A
196	PLATUS			DyenDB	189-203	A
197	ZMONA			DyenDB	190-214	A
198	VEJAS			DyenDB	191-200	A
199	SPARNAS			DyenDB	192-201	A
200	SLUOSTYTI			DyenDB	193-012	A
201	SU			DyenDB	194-201	A
202	MOTERISKE			DyenDB	195-001	A
203	MISKAS			DyenDB	196-203	A
204	SLIEKAS, KIRMELE			DyenDB	197-200	A
205	JUS			DyenDB	198-200	A
206	METAI			DyenDB	199-009	A
207	GELTONAS			DyenDB	200-200	A
