ID	source_form	phon_form	notes	source	cognate_class	reliability
1	WSEN			DyenDB	001-002	A
2	I			DyenDB	002-200	A
3	ZWERISCO			DyenDB	003-200	A
4	POPEL			DyenDB	004-003	A
5	WU			DyenDB	005-208	A
6	KSEBJAT			DyenDB	006-004	A
7	ZLY			DyenDB	007-207	A
8	SKORA			DyenDB	008-202	A
9	PSETO			DyenDB	009-207	A
10	BRUCH			DyenDB	010-209	A
11	WELIKI			DyenDB	011-006	A
12	PTAK			DyenDB	012-207	A
14	CARNY			DyenDB	014-004	A
15	KSEJ			DyenDB	015-005	A
17	KOSC			DyenDB	017-201	A
21	ZESE			DyenDB	020-004	A
22	KURAWA			DyenDB	021-005	A
23	CHLODNY			DyenDB	022-200	A
27	ZEN			DyenDB	026-003	A
30	MAZANY			DyenDB	029-006	A
31	PJAS			DyenDB	030-200	A
33	SUCHY			DyenDB	032-205	A
34	TUPY			DyenDB	033-002	A
35	PROCH			DyenDB	034-200	A
36	HUCHO			DyenDB	035-200	A
37	ZEMJA			DyenDB	036-200	A
39	JAJO			DyenDB	038-007	A
40	WOKO			DyenDB	039-002	A
42	DALOKI			DyenDB	041-205	A
43	TUK			DyenDB	042-005	A
44	NAN			DyenDB	043-001	A
46	PERO			DyenDB	045-200	A
50	HOGEN			DyenDB	048-004	A
51	RYBA			DyenDB	049-003	A
52	PES			DyenDB	050-002	A
55	KWET			DyenDB	053-200	A
57	MLA			DyenDB	055-200	A
58	NOGA			DyenDB	056-003	A
59	STYRI			DyenDB	057-002	A
64	DOBRY			DyenDB	061-004	A
65	TSAWA			DyenDB	062-006	A
66	ZELENY			DyenDB	063-200	A
67	CROWO			DyenDB	064-003	A
68	LOS			DyenDB	065-203	A
69	RUKA			DyenDB	066-005	A
70	WON			DyenDB	067-200	A
71	GLOWA			DyenDB	068-002	A
73	HUTSOBA			DyenDB	070-004	A
74	SEZKI			DyenDB	071-007	A
75	TU			DyenDB	072-211	A
77	ZARZAS			DyenDB	074-010	A
