ID	source_form	phon_form	notes	source	cognate_class
1	SIOT			DyenDB	2
4	PEPEL			DyenDB	3
6	GRB			DyenDB	4
10	MEV			DyenDB	6
11	VELIK			DyenDB	6
13	KASAM			DyenDB	11
14	CRN			DyenDB	4
15	KRV			DyenDB	5
19	DISAM			DyenDB	2
21	DETE			DyenDB	4
25	BROJAM			DyenDB	5
27	DEN			DyenDB	3
28	UMRAM			DyenDB	3
30	PRLAV			DyenDB	9
32	PIJAM			DyenDB	4
34	TAP			DyenDB	2
38	JADAM			DyenDB	6
39	JAJCE			DyenDB	7
40	OKO			DyenDB	2
48	BORAM SE			DyenDB	8
50	OGON			DyenDB	4
51	RIBA			DyenDB	3
52	PET			DyenDB	2
54	TECAM			DyenDB	4
58	NOGA			DyenDB	3
59	CETIRI			DyenDB	2
60	MRZNAM			DyenDB	5
64	DOBAR			DyenDB	4
65	TREVKA			DyenDB	6
67	CREVO			DyenDB	3
68	KOSA			DyenDB	9
69	RAKA			DyenDB	5
71	GLAVA			DyenDB	2
74	TEZOK			DyenDB	7
77	DRZAM			DyenDB	10
80	LOVAM			DyenDB	5
86	UBIVAM			DyenDB	8
89	EZERO			DyenDB	2
90	SMEAM SE			DyenDB	4
91	LIST			DyenDB	2
92	LEV			DyenDB	9
93	NOGA			DyenDB	3
94	LEZAM			DyenDB	3
95	ZIVEAM			DyenDB	5
101	MESO			DyenDB	7
106	IME			DyenDB	3
108	BLIZOK			DyenDB	2
109	VRAT			DyenDB	6
111	NOK			DyenDB	4
112	NOS			DyenDB	5
113	NE			DyenDB	5
114	STAR			DyenDB	2
121	DOZD			DyenDB	3
122	CRVEN			DyenDB	5
123	PRAV			DyenDB	2
125	REKA			DyenDB	3
126	PAT			DyenDB	4
127	KOREN			DyenDB	4
129	GNIL			DyenDB	4
131	TRIAM			DyenDB	3
132	SOL			DyenDB	2
133	PESOK			DyenDB	2
137	VIDAM			DyenDB	3
141	KRATOK			DyenDB	12
142	PEJAM			DyenDB	6
144	KOZA			DyenDB	5
145	NEBO			DyenDB	2
147	MAL			DyenDB	11
148	MIRIZBA			DyenDB	4
150	MAZEN			DyenDB	5
151	ZMIJA			DyenDB	4
152	SNEG			DyenDB	4
155	SLOMAM			DyenDB	5
156	STEGAM			DyenDB	4
159	DZVEZDA			DyenDB	3
160	PALICA			DyenDB	2
161	KAMEN			DyenDB	6
166	PLIVAM			DyenDB	3
167	OPASKA			DyenDB	3
171	DEBEL			DyenDB	7
176	TRI			DyenDB	2
177	FRLAM			DyenDB	11
178	VRZAM			DyenDB	3
180	ZAB			DyenDB	2
183	DVA			DyenDB	2
185	IDAM			DyenDB	16
186	TOPOL			DyenDB	6
188	VODA			DyenDB	4
189	NIE			DyenDB	2
190	MOKAR			DyenDB	7
191	STO			DyenDB	3
196	SIROK			DyenDB	5
199	KRILO			DyenDB	3
200	BRISAM			DyenDB	5
206	GODINA			DyenDB	5
