ID	source_form	phon_form	notes	source	cognate_class	reliability
001	SA, SIOV-N-T			DyenDB	001-002	A
002	I, PA			DyenDB	002-200	A
003	ZIVOTINA, -INKA			DyenDB	003-202	A
004	PEPEL			DyenDB	004-003	A
005	U, NA			DyenDB	005-210	A
006	GRB			DyenDB	006-004	A
007	LOS			DyenDB	007-005	A
008	KORA			DyenDB	008-204	A
009	ZASTO			DyenDB	009-208	A
010	MEV, SKEMBE			DyenDB	010-006	A
011	GOLEM			DyenDB	011-003	A
012	PTICA			DyenDB	012-207	A
013	KASA/KASNE			DyenDB	013-011	A
014	CRN			DyenDB	014-004	A
015	KRV			DyenDB	015-005	A
016	DUVA			DyenDB	016-207	A
017	KOSKA			DyenDB	017-201	A
019	DISI			DyenDB	019-002	A
020	GORI, ZEGA, PALI			DyenDB	020-203	A
021	DETE, ROZBA			DyenDB	021-004	A
022	OBLAK			DyenDB	022-206	A
023	LADEN, STRUD			DyenDB	023-202	A
024	DOJDE, PRIJDE			DyenDB	024-203	A
025	BROI, NABROI			DyenDB	025-005	A
026	PO REZE, REZE, SECE			DyenDB	026-208	A
027	DEN			DyenDB	027-003	A
028	UMRE			DyenDB	028-003	A
029	GREBE, KOPA			DyenDB	029-204	A
031	PCISTE, KUCE/PES			DyenDB	031-203	A
032	PIE			DyenDB	032-004	A
033	SUV			DyenDB	033-205	A
034	TAP			DyenDB	034-002	A
035	PRAV			DyenDB	035-202	A
036	UVO, USI			DyenDB	036-200	A
037	ZEMJA			DyenDB	037-200	A
038	JADE			DyenDB	038-006	A
039	JAJCE			DyenDB	039-007	A
040	OKO, OCI			DyenDB	040-002	A
041	PAGA, PAGNE			DyenDB	041-208	A
042	DALEKU			DyenDB	042-205	A
043	MAST/LOJ/SALO			DyenDB	043-206	A
044	TATKO/OTEC			DyenDB	044-206	A
045	BOI SE			DyenDB	045-204	A
046	PERO, PERJE, PERJA			DyenDB	046-200	A
047	NEKOLKU/MALOBROEN			DyenDB	047-201	A
048	STEPA			DyenDB		A
050	OGAN/OGNI			DyenDB	050-004	A
051	RIBA			DyenDB	051-003	A
052	PET			DyenDB	052-002	A
053	PLIVA, PLOVI			DyenDB	053-005	A
054	TECE			DyenDB	054-004	A
055	CVET			DyenDB	055-200	A
056	LETNE, ZAREE			DyenDB	056-204	A
057	MAGLA			DyenDB	057-200	A
058	NOGA			DyenDB	058-003	A
059	CETIRI			DyenDB	059-002	A
060	MRAZI/MRZNE			DyenDB	060-005	A
061	PLOD, EMIS			DyenDB	061-202	A
063	DAVA			DyenDB	063-200	A
064	AREN, DOBAR, DOBRO			DyenDB	064-004	A
065	TREVA			DyenDB	065-006	A
066	ZELEN			DyenDB	066-200	A
067	DROBOVI			DyenDB		A
068	KOSA			DyenDB	068-009	A
069	RAKA			DyenDB	069-005	A
070	ON, TOJ			DyenDB	070-201	A
071	GLAVA			DyenDB	071-002	A
072	DOCUE, CUE			DyenDB	072-207	A
073	SRCE			DyenDB	073-200	A
074	TEZOK			DyenDB	074-007	A
075	HAVAKA, OVDE, OVDEKA, TUKA, TYKA			DyenDB	075-212	A
076	PERNE			DyenDB		A
077	DRZI			DyenDB	077-010	A
079	KAKO			DyenDB	079-200	A
080	LOV			DyenDB	080-005	A
081	MAZ, SUPRUG			DyenDB	081-207	A
082	JAS			DyenDB	082-200	A
083	MRAZ, LED			DyenDB	083-205	A
084	AKO			DyenDB	084-203	A
085	V, VO			DyenDB	085-200	A
086	OTEPA, UBIVA			DyenDB	086-008	A
088	ZNAE			DyenDB	088-202	A
089	EZERO			DyenDB	089-002	A
090	NASMEA			DyenDB	090-004	A
091	LIST			DyenDB	091-002	A
092	LEV			DyenDB	092-009	A
093	NOGA			DyenDB	093-003	A
094	LEGNE, LEZI			DyenDB	094-003	A
095	ZIVEE			DyenDB	095-005	A
097	DOLG			DyenDB	097-200	A
098	VOSKA			DyenDB	098-203	A
099	COVEK			DyenDB	099-203	A
100	KALABALAK/MNOGU			DyenDB	100-200	A
101	MESO			DyenDB	101-007	A
103	MAJKA			DyenDB	103-212	A
104	PLANINA/BRDO/GORA			DyenDB	104-204	A
105	USTA			DyenDB	105-200	A
106	IME			DyenDB	106-003	A
107	TESEN			DyenDB	107-204	A
108	BLIZOK/NABLIZU			DyenDB	108-002	A
109	VRAT			DyenDB	109-006	A
110	NOB			DyenDB	110-200	A
111	NOK			DyenDB	111-004	A
112	NOS			DyenDB	112-005	A
113	NE			DyenDB	113-005	A
