ID	source_form	phon_form	notes	source	cognate_class	reliability
001	SAB, SABAI, SARBA			DyenDB	001-202	A
002	AU, RA			DyenDB	002-004	A
003	PASU, JANAWAR			DyenDB	003-400	C
004	KHAG, CHARO			DyenDB	004-004	A
005	MA			DyenDB	005-221	A
006	PITH			DyenDB	006-006	A
007	GHATIYA			DyenDB		A
008	BOKRO			DyenDB	008-005	A
009	KASOGARI BHANE, KINAKI			DyenDB	009-214	A
010	PET, BHURI			DyenDB	010-213	A
011	THULO, BIRAT			DyenDB	011-205	A
012	CARO			DyenDB	012-205	A
013	TOKNU			DyenDB	013-005	A
014	KALO			DyenDB	014-002	A
015	KHUN			DyenDB	015-012	A
016	BAHANU			DyenDB	016-200	A
017	HAR			DyenDB	017-203	A
019	SAS PHERNU			DyenDB	019-008	A
020	JALNU, BALNU			DyenDB	020-210	A
021	BALAKHA			DyenDB	021-006	A
022	BADAL			DyenDB	022-004	A
023	THANDA			DyenDB	023-004	A
024	AUNU			DyenDB	024-200	A
025	GANNU			DyenDB	025-002	A
026	KATNU, PHARNU			DyenDB	026-202	A
027	DIN			DyenDB	027-003	A
028	MARNU			DyenDB	028-003	A
029	KHANNU			DyenDB	029-209	A
030	GUHE, MAILO			DyenDB	030-213	A
031	KUKUR			DyenDB	031-004	A
032	PANI KHANU, PIUNU			DyenDB	032-004	A
033	SUKO, BUKO			DyenDB	033-205	A
034	BHUTTE			DyenDB	034-203	A
035	KHAG, DHULO			DyenDB	035-207	A
036	KAN			DyenDB	036-003	A
037	MATO			DyenDB	037-211	A
038	KHANU			DyenDB	038-200	A
039	PHUL			DyenDB	039-005	A
040	AKHO			DyenDB	040-002	A
041	GIRNU, PARNU			DyenDB	041-204	A
042	DUR			DyenDB	042-007	A
043	BOSO			DyenDB	043-008	A
044	BABU			DyenDB	044-215	A
045	DARNU			DyenDB	045-202	A
046	PWAKH			DyenDB	046-003	A
047	THOR			DyenDB	047-206	A
048	JUJHNU, LARNU			DyenDB	048-002	A
050	AGO			DyenDB	050-004	A
051	MACHO			DyenDB	051-002	A
052	PAC			DyenDB	052-002	A
053	PAURANU			DyenDB	053-102	C
054	BAGNU, BAHANU			DyenDB	054-216	A
055	PHUL			DyenDB	055-004	A
056	URNU			DyenDB	056-200	A
057	KUIRO, RUD			DyenDB	057-003	A
058	KHUTTO, GORO, PAU			DyenDB	058-201	A
059	CAR			DyenDB	059-002	A
060	JAMNU			DyenDB	060-004	A
061	PHAL			DyenDB	061-002	A
063	DINU			DyenDB	063-200	A
064	BHALO, JATI, ACCHA			DyenDB	064-201	A
065	GHAS			DyenDB	065-008	A
066	HARIYO			DyenDB	066-200	A
067	ANRA			DyenDB	067-200	A
068	KAPAL, BAL			DyenDB	068-204	A
069	HAT			DyenDB	069-200	A
070	TYO, SO			DyenDB	070-205	A
071	MANTO, MATH, SIR, TAUKO			DyenDB	071-206	A
072	SUNNU			DyenDB	072-205	A
073	HIYO, MUTU			DyenDB	073-201	A
074	GARAU, BHARI			DyenDB	074-205	A
075	YATA, YAHA			DyenDB	075-201	A
076	THOKNU, HANNU			DyenDB	076-212	A
079	KASO			DyenDB	079-200	A
080	SIKAR KHELNU, LAGARNU			DyenDB	080-004	A
081	POI, LOGNE, PURUKH			DyenDB	081-010	A
082	MA			DyenDB	082-200	A
083	HIU			DyenDB	083-007	A
084	JADI			DyenDB	084-209	A
085	MA			DyenDB	085-202	A
086	MARNU			DyenDB	086-200	A
088	JANNU			DyenDB	088-202	A
089	JHIL, TAL, POKHARI			DyenDB	089-210	A
090	HASNU			DyenDB	090-007	A
091	PAT			DyenDB	091-005	A
092	DEBRE			DyenDB	092-007	A
093	KHUTTO			DyenDB	093-014	A
094	KOLTE SUTNU			DyenDB	094-203	A
095	JIUNU			DyenDB	095-005	A
096	KALEJO			DyenDB	096-200	A
097	LAMU			DyenDB	097-003	A
098	JUMRO			DyenDB	098-204	A
099	MANCHE, LOGNE, PURUKH			DyenDB	099-206	A
100	DHER, GHANERO			DyenDB	100-207	A
101	MASU			DyenDB	101-007	A
103	AMA			DyenDB	103-205	A
104	PARBAT			DyenDB	104-206	A
105	MUKH			DyenDB	105-202	A
106	NAU			DyenDB	106-003	A
107	SAGURO			DyenDB	107-217	A
108	NIRA			DyenDB	108-205	A
109	MANTO			DyenDB	109-003	A
110	NAULO, NAYA			DyenDB	110-200	A
111	RAT			DyenDB	111-003	A
112	NAK			DyenDB	112-005	A
113	NA			DyenDB	113-005	A
114	BURO			DyenDB	114-202	A
115	EK			DyenDB	115-200	A
116	ARU, ARKO			DyenDB	116-008	A
117	MANIS, MANCHE			DyenDB	117-216	A
118	KHELNU			DyenDB	118-011	A
119	KHAICNU, TANNU			DyenDB	119-210	A
120	GHACETNU, THELNU, DHAKELNU			DyenDB	120-211	A
121	BARSANU			DyenDB	121-013	A
122	RATO			DyenDB	122-004	A
