ID	source_form	phon_form	notes	source	cognate_class	reliability
001	IUYL, IUYLDAER			DyenDB		A
002	AEMAE			DyenDB		A
003	CAERAEGOJ, XAJUAN			DyenDB		A
004	FAENYK			DyenDB		A
005	(MAE - AEM)			DyenDB	005-102	C
006	C"YLDYM, FAESONTAE			DyenDB		A
007	AEVZAER			DyenDB		A
008	BAELASY C"AR			DyenDB		A
009	UMAEN AEMAE			DyenDB	009-100	C
010	GUYBYN			DyenDB		A
011	YSTYR			DyenDB	011-203	A
012	MARG"			DyenDB	012-002	A
013	XAECYN			DyenDB	013-100	C
015	TUG			DyenDB		A
016	DYMYN			DyenDB	016-400	C
017	YSTAEG			DyenDB	017-200	A
019	ULAEFYN			DyenDB	019-100	C
020	SUDZYN			DyenDB	020-206	A
021	SYVAELLON, SABI			DyenDB	021-101	C
022	MIG"			DyenDB	022-210	A
023	UAZAL			DyenDB		A
024	CAEUYN			DyenDB		A
025	NYMAJYN			DyenDB		A
026	LYG KAENYN KAERGYN			DyenDB		A
027	BON			DyenDB		A
028	MAELYN, UD ISYN			DyenDB	028-003	A
029	KWAXYN			DyenDB		A
030	C"IZI, C"YF			DyenDB	030-100	C
031	KUYDZ			DyenDB		A
032	NUAZYN, CYMYN			DyenDB	032-008	A
033	XUS			DyenDB	033-205	A
034	K"UYMYX			DyenDB		A
035	CYREN, TAERK, TAEVD			DyenDB	035-100	C
036	X"US			DyenDB	036-002	A
037	SYDZYT			DyenDB		A
038	XAERYN			DyenDB	038-007	A
040	CAEST			DyenDB	040-003	A
041	XAUYN			DyenDB	041-100	C
042	DARD			DyenDB		A
043	SOJ, SOJAG			DyenDB		A
044	FYD			DyenDB	044-210	A
045	TAERSYN			DyenDB	045-200	A
046	SIS			DyenDB		A
047	CYSYL			DyenDB	047-101	C
048	XYL KAENYN, TOX KAENYN			DyenDB		A
050	ZYNG, ART, CAEXAER			DyenDB	050-200	A
051	KAESAG			DyenDB		A
052	FONDZ			DyenDB	052-002	A
053	LENK KAENYN			DyenDB		A
054	CAEUYN, UAJYN, KAELYN			DyenDB	054-218	A
055	DIDINAEG			DyenDB		A
056	TAEXYN			DyenDB		A
057	MIG", C"AEXMIG"			DyenDB	057-200	A
058	K"AX, FAD			DyenDB	058-200	A
060	SAELYN, IX KAENYN			DyenDB	060-201	A
061	DYRG"			DyenDB		A
063	DAETTYN			DyenDB	063-200	A
064	XORZ, DZAEBAEX			DyenDB	064-207	A
065	KAERDAEG			DyenDB		A
066	C"AEX			DyenDB		A
067	T"ANG			DyenDB		A
068	SAERYX"UYN			DyenDB		A
069	K"YX			DyenDB		A
070	YU			DyenDB	070-214	A
071	SAER			DyenDB	071-205	A
072	X"YCYN			DyenDB	072-100	C
073	ZAERDAE			DyenDB	073-200	A
074	UAEZZAU			DyenDB	074-207	A
075	AM			DyenDB	075-204	A
076	NAEMYN			DyenDB		A
077	XAECYN			DyenDB		A
079	KUYD			DyenDB	079-200	A
080	CUAN KAENYN, MOJ, LAEG			DyenDB		A
084	KAED, KUY			DyenDB	084-210	A
085	- (SUFFIX) - MAE, - AEJ			DyenDB	085-202	A
086	MARYN			DyenDB	086-200	A
088	ZONYN, FAESMAERUN			DyenDB	088-202	A
089	CAD			DyenDB		A
090	XUDYN			DyenDB	090-010	A
091	SYF			DyenDB		A
092	GALAU			DyenDB		A
093	ZAENG			DyenDB	093-011	A
094	XUYCCYN, FAERSYL (UYN)			DyenDB		A
095	CAERYN			DyenDB		A
096	IGAER			DyenDB	096-202	A
097	DARG"			DyenDB	097-200	A
098	SYST			DyenDB	098-010	A
099	LAEG, NAELGOJMAG			DyenDB	099-211	A
100	BIRAE			DyenDB		A
101	FYD, FYDYZG"AED			DyenDB		A
103	MAD			DyenDB	103-200	A
104	XOX			DyenDB	104-003	A
105	DZYX, KOM			DyenDB	105-400	C
106	NOM			DyenDB	106-003	A
107	UYNGAEG			DyenDB	107-211	A
108	XAESTAEG			DyenDB		A
110	NAEUAEG			DyenDB	110-200	A
111	AEXCAEV			DyenDB	111-002	A
112	FYNDZ			DyenDB	112-007	A
113	NAE			DyenDB	113-005	A
114	ZAEROND			DyenDB	114-005	A
115	IU, IUNAEG			DyenDB	115-200	A
116	INNAE			DyenDB	116-203	A
118	X"AZYN			DyenDB	118-100	C
119	IVAZYN, LASYN			DyenDB		A
120	YCXOJYN			DyenDB		A
121	UARYN, K"AEVDA			DyenDB	121-010	A
122	CYRX			DyenDB	122-200	A
123	RAST, RAESTON			DyenDB	123-200	A
124	RAXIZ			DyenDB	124-400	C
125	DON, CAEUGAEDON			DyenDB		A
126	FAENDAG			DyenDB	126-011	A
127	UIDAG, BYN			DyenDB		A
128	BAENDAEN			DyenDB		A
129	AEMBYD			DyenDB		A
