ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	WSZYSTEK			DyenDB	001-002	A	001-002
002	I			DyenDB	002-200	A	002-200
003	ZWIERZ			DyenDB	003-200	A	003-200
004	POPIOL			DyenDB	004-003	A	004-003
005	U			DyenDB	005-200	A	005-211
006	GRZBIET			DyenDB	006-004	A	006-004
007	ZLY			DyenDB	007-207	A	007-207
008	KORA			DyenDB	008-202	A	008-204
009	PONIEWAZ			DyenDB	009-003	A	009-003
010	BRZUCH			DyenDB	010-209	A	010-211
011	WIELKI			DyenDB	011-006	A	011-006
012	PTAK			DyenDB	012-207	A	012-207
013	KASAC			DyenDB	013-011	A	013-011
014	CZARNY			DyenDB	014-004	A	014-004
015	KREW			DyenDB	015-005	A	015-005
016	DAC			DyenDB	016-203	A	016-207
017	KOSC			DyenDB	017-201	A	017-201
019	DYSZEC			DyenDB	019-002	A	019-002
020	PALIC			DyenDB	020-200	A	020-202
021	DZIECIE			DyenDB	021-004	A	021-004
022	OBLOK			DyenDB	022-206	A	022-206
023	CHLODNY			DyenDB	023-200	A	023-202
024	PRZYCHODZIC			DyenDB	024-203	A	024-205
025	LICZYC			DyenDB	025-006	A	025-006
026	RZEZAC			DyenDB	026-207	A	026-207
027	DZIEN			DyenDB	027-003	A	027-003
028	UMRZEC			DyenDB	028-003	A	028-003
029	KOPAC			DyenDB	029-203	A	029-203
030	BRUDNY			DyenDB	030-002	A	030-002
031	PIES			DyenDB	031-200	A	031-200
032	PIC			DyenDB	032-004	A	032-004
033	SUCHY			DyenDB	033-205	A	033-205
034	TEPY			DyenDB	034-002	A	034-002
035	PROCH			DyenDB	035-200	A	035-202
036	UCHO			DyenDB	036-200	A	036-200
037	ZIEMIA			DyenDB	037-200	A	037-200
038	JESC			DyenDB	038-006	A	038-006
039	JAJE			DyenDB	039-007	A	039-007
040	OKO			DyenDB	040-002	A	040-002
041	PASC			DyenDB	041-207	A	041-207
042	DALEKI			DyenDB	042-205	A	042-205
043	TLUSZCZ			DyenDB	043-204	A	043-204
044	OJCIEC			DyenDB	044-200	A	044-200
045	BAC SIE			DyenDB	045-200	A	045-204
046	PIORO			DyenDB	046-200	A	046-200
048	WOJOWAC			DyenDB	048-011	A	048-011
050	OGIEN			DyenDB	050-004	A	050-004
051	RYBA			DyenDB	051-003	A	051-003
052	PIEC			DyenDB	052-002	A	052-002
054	CIEC			DyenDB	054-004	A	054-004
055	KWIAT			DyenDB	055-200	A	055-200
056	LECIEC			DyenDB	056-202	A	056-204
057	MGLA			DyenDB	057-200	A	057-200
058	NOGA			DyenDB	058-003	A	058-003
059	CZTERY			DyenDB	059-002	A	059-002
060	MROZIC			DyenDB	060-005	A	060-005
063	DAC			DyenDB	063-200	A	063-200
064	DOBRY			DyenDB	064-004	A	064-004
065	TRAWA			DyenDB	065-006	A	065-006
066	ZIELONY			DyenDB	066-200	A	066-200
067	JELITO			DyenDB		A	
068	WLOS			DyenDB	068-203	A	068-203
069	REKA			DyenDB	069-005	A	069-005
070	ON			DyenDB	070-200	A	070-200
071	GLOWA			DyenDB	071-002	A	071-002
072	SLYSZEC			DyenDB	072-205	A	072-205
073	SERCE			DyenDB	073-200	A	073-200
074	CIEZKI			DyenDB	074-007	A	074-007
075	TU			DyenDB	075-211	A	075-211
076	UDERZAC			DyenDB	076-205	A	076-205
077	DZIERZYC			DyenDB	077-010	A	077-010
079	JAK			DyenDB	079-201	A	079-201
080	POLOWAC			DyenDB	080-005	A	080-005
081	MAZ			DyenDB	081-206	A	081-206
082	JA			DyenDB	082-200	A	082-200
083	LOD			DyenDB	083-204	A	083-204
084	JESLI			DyenDB	084-002	A	084-002
085	W			DyenDB	085-200	A	085-200
086	ZABIC			DyenDB	086-008	A	086-008
088	ZNAC			DyenDB	088-200	A	088-202
089	JEZIORO			DyenDB	089-002	A	089-002
090	SMIAC SIE			DyenDB	090-004	A	090-004
091	LISC			DyenDB	091-002	A	091-002
092	LEWY			DyenDB	092-009	A	092-009
093	NOGA			DyenDB	093-003	A	093-003
094	LEZAC			DyenDB	094-003	A	094-003
095	ZYC			DyenDB	095-005	A	095-005
096	WATROBA			DyenDB	096-203	A	096-203
097	DLUGI			DyenDB	097-200	A	097-200
098	WESZ			DyenDB	098-203	A	098-203
099	CZLOWIEK			DyenDB	099-203	A	099-203
100	WIELE			DyenDB	100-200	A	100-202
101	MIESO			DyenDB	101-007	A	101-007
103	MATKA			DyenDB	103-200	A	103-200
104	GORA			DyenDB	104-203	A	104-205
105	USTA			DyenDB	105-200	A	105-200
106	IMIE			DyenDB	106-003	A	106-003
107	WASKI			DyenDB	107-200	A	107-202
108	BLISKI			DyenDB	108-002	A	108-002
109	SZYJA			DyenDB	109-200	A	109-200
110	NOWY			DyenDB	110-200	A	110-200
111	NOC			DyenDB	111-004	A	111-004
112	NOS			DyenDB	112-005	A	112-005
113	NIE			DyenDB	113-005	A	113-005
114	STARY			DyenDB	114-002	A	114-002
115	JEDEN			DyenDB	115-200	A	115-200
116	DRUGI			DyenDB	116-200	A	116-200
117	OSOBA			DyenDB	117-002	A	117-002
118	GRAC			DyenDB	118-200	A	118-200
119	CIAGNAC			DyenDB	119-206	A	119-206
120	PCHAC			DyenDB	120-005	A	120-005
121	DESZCZ			DyenDB	121-003	A	121-003
122	CZERWONY			DyenDB	122-005	A	122-005
123	POPRAWNY			DyenDB	123-002	A	123-002
125	RZEKA			DyenDB	125-003	A	125-003
126	DROGA			DyenDB	126-203	A	126-203
127	KORZEN			DyenDB	127-004	A	127-004
128	POWROZ			DyenDB	128-201	A	128-201
129	ZGNILY			DyenDB	129-004	A	129-004
131	TRZEC			DyenDB	131-003	A	131-003
132	SOL			DyenDB	132-002	A	132-002
133	PIASEK			DyenDB	133-002	A	133-002
134	RZEC			DyenDB	134-200	A	134-200
135	SKROBAC			DyenDB	135-200	A	135-203
136	MORZE			DyenDB	136-200	A	136-204
137	WIDZIEC			DyenDB	137-003	A	137-003
138	SIEMIE			DyenDB	138-200	A	138-200
139	SZYC			DyenDB	139-200	A	139-200
140	OSTRY			DyenDB	140-200	A	140-200
141	KROTKI			DyenDB	141-012	A	141-012
142	SPIEWAC			DyenDB	142-006	A	142-006
143	SIEDZIEC			DyenDB	143-200	A	143-200
144	SKORA			DyenDB	144-206	A	144-206
145	NIEBO			DyenDB	145-002	A	145-002
146	SPAC			DyenDB	146-200	A	146-200
147	MALY			DyenDB	147-011	A	147-011
148	WON			DyenDB	148-200	A	148-200
149	DYM			DyenDB	149-200	A	149-200
150	GLADKI			DyenDB	150-205	A	150-209
151	ZMIJA			DyenDB	151-004	A	151-004
152	SNIEG			DyenDB	152-004	A	152-004
153	NIEJAKI			DyenDB	153-204	A	153-206
154	PLUC			DyenDB	154-205	A	154-206
155	LAMAC			DyenDB	155-005	A	155-005
156	GNIESC			DyenDB	156-005	A	156-005
157	KLUC			DyenDB	157-006	A	157-006
158	STAC			DyenDB	158-202	A	158-205
159	GWIAZDA			DyenDB	159-003	A	159-003
160	PALKA			DyenDB	160-002	A	160-002
161	KAMIEN			DyenDB	161-006	A	161-006
163	SSAC			DyenDB	163-202	A	163-206
164	SLONCE			DyenDB	164-203	A	164-203
165	PUCHNAC			DyenDB	165-203	A	165-203
166	PLYWAC			DyenDB	166-003	A	166-003
167	OGON			DyenDB	167-009	A	167-009
168	TAMTEN			DyenDB	168-200	A	168-200
169	TAM			DyenDB	169-203	A	169-203
170	ONI			DyenDB	170-200	A	170-202
171	TLUSTY			DyenDB	171-214	A	171-214
173	MYSLEC			DyenDB	173-209	A	173-211
174	TEN			DyenDB	174-200	A	174-205
175	TY			DyenDB	175-200	A	175-200
176	TRZY			DyenDB	176-002	A	176-002
177	MIOTAC			DyenDB	177-208	A	177-208
178	WIAZAC			DyenDB	178-002	A	178-002
179	JEZYK			DyenDB	179-200	A	179-200
180	ZAB			DyenDB	180-002	A	180-002
181	DRZEWO			DyenDB	181-206	A	181-206
182	WIERCIC			DyenDB	182-200	A	182-202
183	DWA			DyenDB	183-002	A	183-002
184	WYMIOTOWAC			DyenDB	184-002	A	184-002
185	ISC			DyenDB	185-016	A	185-016
186	CIEPLY			DyenDB	186-006	A	186-006
187	MYC			DyenDB	187-203	A	187-203
188	WODA			DyenDB	188-004	A	188-004
189	MY			DyenDB	189-002	A	189-002
190	MOKRY			DyenDB	190-007	A	190-007
191	CO			DyenDB	191-003	A	191-003
192	KIEDY			DyenDB	192-200	A	192-200
193	GDZIE			DyenDB	193-200	A	193-200
194	BIALY			DyenDB	194-203	A	194-203
195	KTO			DyenDB	195-200	A	195-200
196	SZEROKI			DyenDB	196-005	A	196-005
198	WIATR			DyenDB	198-200	A	198-202
199	SKRZYDLO			DyenDB	199-003	A	199-003
200	WYCIERAC			DyenDB	200-004	A	200-004
201	Z			DyenDB	201-200	A	201-200
202	KOBIETA			DyenDB	202-005	A	202-005
204	CZERW			DyenDB	204-200	A	204-200
205	WY			DyenDB	205-200	A	205-200
206	ROK			DyenDB	206-003	A	206-003
207	ZOLTY			DyenDB	207-200	A	207-200
