ID	source_form	phon_form	notes	source	cognate_class	reliability
1	OLL			DyenDB	001-004	A
2	UUN			DyenDB	002-009	A
3	GEDIER			DyenDB	003-005	A
4	ESCH			DyenDB	004-007	A
5	ONN			DyenDB	005-200	A
6	BUUCKEL			DyenDB	006-209	A
7	SCHLECHT			DyenDB	007-007	A
8	RINN			DyenDB	008-002	A
9	WEIL			DyenDB	009-002	A
10	BAUCH			DyenDB	010-204	A
11	GROESZ			DyenDB	011-009	A
12	FUGGEL			DyenDB	012-206	A
14	SCHWOTZ			DyenDB	014-003	A
15	BLUUT			DyenDB	015-004	A
17	GNUCHE			DyenDB	017-005	A
21	KINNDT			DyenDB	020-003	A
22	WULLG			DyenDB	021-003	A
23	KELT			DyenDB	022-002	A
27	DAWG			DyenDB	026-004	A
30	DRECKICH			DyenDB	029-001	A
31	HUUNDT			DyenDB	030-003	A
33	DRUUCKE			DyenDB	032-004	A
34	SCHTUUMP			DyenDB	033-005	A
35	SCHTAWB			DyenDB	034-203	A
36	ORR			DyenDB	035-200	A
37	AIIRD			DyenDB	036-004	A
39	OI			DyenDB	038-007	A
40	AWK			DyenDB	039-002	A
42	WEIT			DyenDB	041-006	A
43	FETT			DyenDB	042-006	A
44	FOTTER			DyenDB	043-209	A
46	FEDDER			DyenDB	045-203	A
47	PAWR			DyenDB	046-207	A
50	FEIER			DyenDB	048-003	A
51	FISCH			DyenDB	049-009	A
52	FINFE			DyenDB	050-002	A
55	BLUUM			DyenDB	053-002	A
57	NEVEL			DyenDB	055-200	A
58	FUUSZ			DyenDB	056-200	A
59	FIERE			DyenDB	057-002	A
61	OEPS			DyenDB	059-001	A
64	GUUT			DyenDB	061-003	A
65	GRAWSZ			DyenDB	062-007	A
66	GRIE			DyenDB	063-003	A
68	HORR			DyenDB	065-004	A
69	HONNDT			DyenDB	066-003	A
70	ER			DyenDB	067-200	A
71	KUP			DyenDB	068-200	A
73	HOTZ			DyenDB	070-200	A
74	SCHWAIIR			DyenDB	071-008	A
75	HAIIR			DyenDB	072-003	A
77	HAYB			DyenDB	074-001	A
79	WIE			DyenDB	075-200	A
81	MAAN			DyenDB	077-206	A
82	ICH			DyenDB	078-200	A
83	ICE			DyenDB	079-005	A
84	WONN			DyenDB	080-008	A
85	IM, IN			DyenDB	081-200	A
88	WAYSS			DyenDB	083-200	A
89	WASSER LOCH			DyenDB	084-001	A
91	BLOT			DyenDB	086-204	A
92	LINGSS			DyenDB	087-006	A
93	BAY			DyenDB	088-200	A
