ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	OLL			DyenDB	001-004	A	001-004
002	UUN			DyenDB	002-009	A	002-009
003	GEDIER			DyenDB	003-005	A	003-005
004	ESCH			DyenDB	004-007	A	004-007
005	ONN			DyenDB	005-200	A	005-205
006	BUUCKEL			DyenDB	006-209	A	006-211
007	SCHLECHT			DyenDB	007-007	A	007-007
008	RINN			DyenDB	008-002	A	008-002
009	WEIL			DyenDB	009-002	A	009-002
010	BAUCH			DyenDB	010-204	A	010-208
011	GROESZ			DyenDB	011-009	A	011-009
012	FUGGEL			DyenDB	012-206	A	012-206
013	BEISZ			DyenDB	013-002	A	013-002
014	SCHWOTZ			DyenDB	014-003	A	014-003
015	BLUUT			DyenDB	015-004	A	015-004
016	BLOESZ			DyenDB	016-203	A	016-205
017	GNUCHE			DyenDB	017-005	A	017-005
019	ODOM			DyenDB	019-005	A	019-005
020	BRENN			DyenDB	020-003	A	020-003
021	KINNDT			DyenDB	021-003	A	021-003
022	WULLG			DyenDB	022-003	A	022-003
023	KELT			DyenDB	023-002	A	023-002
024	KUUM			DyenDB	024-206	A	024-206
025	ZAYL			DyenDB	025-200	A	025-200
026	SCHNEIDT			DyenDB	026-004	A	026-004
027	DAWG			DyenDB	027-004	A	027-004
028	SCHTAAREVE			DyenDB	028-200	A	028-202
029	GRAWB			DyenDB	029-203	A	029-205
030	DRECKICH			DyenDB		A	
031	HUUNDT			DyenDB	031-003	A	031-003
032	NEMM EN DRINK			DyenDB	032-003	A	032-003
033	DRUUCKE			DyenDB	033-004	A	033-004
034	SCHTUUMP			DyenDB	034-005	A	034-005
035	SCHTAWB			DyenDB	035-203	A	035-203
036	ORR			DyenDB	036-200	A	036-200
037	AIIRD			DyenDB	037-004	A	037-004
038	ESS			DyenDB	038-006	A	038-006
039	OI			DyenDB	039-007	A	039-007
040	AWK			DyenDB	040-002	A	040-002
041	FOLL			DyenDB	041-200	A	041-200
042	WEIT			DyenDB	042-006	A	042-006
043	FETT			DyenDB	043-006	A	043-006
044	FOTTER			DyenDB	044-209	A	044-210
046	FEDDER			DyenDB	046-203	A	046-203
047	PAWR			DyenDB	047-207	A	047-209
048	FECHT			DyenDB	048-200	A	048-202
050	FEIER			DyenDB	050-003	A	050-003
051	FISCH			DyenDB	051-009	A	051-009
052	FINFE			DyenDB	052-002	A	052-002
054	LAWF			DyenDB		A	
055	BLUUM			DyenDB	055-002	A	055-002
056	FLIEK			DyenDB	056-006	A	056-006
057	NEVEL			DyenDB	057-200	A	057-206
058	FUUSZ			DyenDB	058-200	A	058-200
059	FIERE			DyenDB	059-002	A	059-002
061	OEPS			DyenDB		A	
063	GEP			DyenDB	063-002	A	063-002
064	GUUT			DyenDB	064-003	A	064-003
065	GRAWSZ			DyenDB	065-007	A	065-007
066	GRIE			DyenDB	066-003	A	066-003
068	HORR			DyenDB	068-004	A	068-004
069	HONNDT			DyenDB	069-003	A	069-003
070	ER			DyenDB	070-200	A	070-209
071	KUP			DyenDB	071-200	A	071-204
072	HAIIR			DyenDB	072-003	A	072-003
073	HOTZ			DyenDB	073-200	A	073-200
074	SCHWAIIR			DyenDB	074-008	A	074-008
075	HAIIR			DyenDB	075-003	A	075-003
076	SCHLOCK			DyenDB	076-200	A	076-200
077	HAYB			DyenDB		A	
079	WIE			DyenDB	079-200	A	079-200
080	HUUNT			DyenDB		A	
081	MAAN			DyenDB	081-206	A	081-206
082	ICH			DyenDB	082-200	A	082-200
083	ICE			DyenDB	083-005	A	083-005
084	WONN			DyenDB	084-008	A	084-008
085	IM, IN			DyenDB	085-200	A	085-200
088	WAYSS			DyenDB	088-200	A	088-200
089	WASSER LOCH			DyenDB		A	
090	LAUCH			DyenDB	090-200	A	090-200
091	BLOT			DyenDB	091-204	A	091-204
092	LINGSS			DyenDB	092-006	A	092-006
093	BAY			DyenDB	093-200	A	093-202
094	LAYK			DyenDB	094-003	A	094-003
095	LAYB			DyenDB	095-002	A	095-002
096	LEVVER			DyenDB	096-002	A	096-002
097	LUNG			DyenDB	097-200	A	097-200
098	LOUSE			DyenDB	098-200	A	098-200
099	MAAN			DyenDB	099-203	A	099-205
100	FIEL			DyenDB	100-203	A	100-203
101	FLAYSCH			DyenDB	101-006	A	101-006
103	MEM, MOM, MUUTER, MOMMI			DyenDB	103-200	A	103-202
104	MOUNTAIN			DyenDB		A	
105	MAUL			DyenDB	105-200	A	105-202
106	NAWME			DyenDB	106-003	A	106-003
107	ENG			DyenDB	107-200	A	107-202
108	NAYKSCHT			DyenDB	108-400	C	108-400
109	HOLSZ			DyenDB	109-204	A	109-206
110	NEI			DyenDB	110-200	A	110-200
111	NAACHT			DyenDB	111-004	A	111-004
112	NAWSZ			DyenDB	112-005	A	112-005
113	NET			DyenDB	113-005	A	113-005
114	ALT			DyenDB	114-006	A	114-006
115	AYNS, AYNER			DyenDB	115-200	A	115-200
116	ONNER			DyenDB	116-205	A	116-205
117	MENSCH			DyenDB	117-209	A	117-216
118	SCHPIEL			DyenDB	118-203	A	118-205
119	ZIEK			DyenDB	119-204	A	119-205
120	SCHIEP			DyenDB	120-203	A	120-203
121	REGGE			DyenDB	121-002	A	121-002
122	ROEDT			DyenDB	122-003	A	122-003
123	RECHT			DyenDB	123-200	A	123-200
124	REHTSS HONNDT			DyenDB	124-200	A	124-200
125	REVVER			DyenDB	125-004	A	125-004
126	WAYK			DyenDB	126-209	A	126-209
127	WOTZEL			DyenDB	127-003	A	127-003
128	SCHTRICK			DyenDB		A	
129	FAUL			DyenDB	129-006	A	129-006
132	SOLSZ			DyenDB	132-002	A	132-002
133	SONNDT			DyenDB	133-004	A	133-004
134	SAWG			DyenDB	134-005	A	134-005
135	GROTZ			DyenDB	135-006	A	135-006
136	SAY			DyenDB	136-200	A	136-202
137	SAY			DyenDB	137-005	A	137-005
138	SAWME			DyenDB	138-200	A	138-200
139	NAY			DyenDB	139-004	A	139-004
140	SCHARIF			DyenDB	140-004	A	140-004
141	KOTZ			DyenDB	141-003	A	141-003
142	SING			DyenDB	142-005	A	142-005
143	HUCK			DyenDB		A	
144	HAUT			DyenDB	144-200	A	144-202
145	HIMMEL			DyenDB	145-200	A	145-200
146	SCHLOEF			DyenDB	146-005	A	146-005
147	GLAY			DyenDB	147-002	A	147-002
148	SCHMOCK			DyenDB		A	
149	SCHMOECK			DyenDB	149-003	A	149-003
150	GLOT			DyenDB	150-205	A	150-209
151	SCHLUNG			DyenDB	151-203	A	151-203
152	SCHNAY			DyenDB	152-004	A	152-004
153	DAYL			DyenDB		A	
154	SCHPAUTZ			DyenDB	154-205	A	154-206
155	SCHPOLLD			DyenDB	155-002	A	155-002
156	DRICK			DyenDB	156-009	A	156-009
