ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	HAME			DyenDB	001-200	A	001-200
002	VA			DyenDB	002-005	A	002-005
003	HEYVAN			DyenDB	003-006	A	003-006
004	KHAKESTAR			DyenDB	004-004	A	004-004
006	POSHT			DyenDB	006-006	A	006-006
007	BAD			DyenDB	007-200	A	007-206
008	PUST			DyenDB	008-210	A	008-210
009	CHUN			DyenDB		A	
010	SHEKAM			DyenDB	010-008	A	010-008
011	BOZORG			DyenDB	011-004	A	011-004
012	MORGH			DyenDB	012-002	A	012-002
013	DANDAN GEREFTAN			DyenDB	013-204	A	013-204
014	SIAH			DyenDB	014-007	A	014-007
015	KHUN			DyenDB	015-011	A	015-011
016	VAZIDAN			DyenDB	016-201	A	016-201
017	OSTOKHAN			DyenDB	017-200	A	017-200
019	NAFAS KASHIDAN			DyenDB	019-003	A	019-003
020	SUKHTAN			DyenDB	020-206	A	020-208
021	BACHCHE			DyenDB	021-200	A	021-200
022	ABR			DyenDB	022-207	A	022-207
023	SARD			DyenDB	023-005	A	023-005
024	AMADAN			DyenDB	024-003	A	024-003
025	SHOMORDAN			DyenDB	025-206	A	025-206
026	BORIDAN			DyenDB	026-002	A	026-002
027	RUZ			DyenDB	027-200	A	027-200
028	MORDAN			DyenDB	028-003	A	028-003
029	BILZADAN			DyenDB		A	
030	KASIF			DyenDB	030-100	C	030-100
031	SAG			DyenDB	031-002	A	031-002
032	NUSHIDAN			DyenDB	032-008	A	032-008
033	KHOSHK			DyenDB	033-205	A	033-205
034	KOND			DyenDB	034-007	A	034-007
035	KHAK			DyenDB		A	
036	GUSH			DyenDB	036-002	A	036-002
037	ZAMIN			DyenDB	037-200	A	037-200
038	KHORDAN			DyenDB	038-007	A	038-007
039	TOKHM			DyenDB	039-003	A	039-003
040	CHASHM			DyenDB	040-003	A	040-003
041	OFTADAN			DyenDB	041-002	A	041-002
042	DUR			DyenDB	042-007	A	042-007
043	CHARBI			DyenDB		A	
044	PEDAR			DyenDB	044-209	A	044-210
045	TARSIDAN			DyenDB	045-200	A	045-200
046	PAR			DyenDB	046-200	A	046-200
047	KAM			DyenDB	047-204	A	047-204
048	JANGIDAN (DA'VA KARDAN)			DyenDB	048-006	A	048-006
050	ATASH			DyenDB	050-200	A	050-200
051	MAHI			DyenDB	051-002	A	051-002
052	PANJ			DyenDB	052-002	A	052-002
054	JARI SHODAN			DyenDB	054-100	C	054-100
055	GOL			DyenDB	055-003	A	055-003
056	PARVAZ KARDAN			DyenDB	056-003	A	056-003
057	MEH			DyenDB	057-200	A	057-200
058	PA			DyenDB	058-200	A	058-200
059	CHAHAR (CHAR)			DyenDB	059-002	A	059-002
060	YAKH BASTAN			DyenDB	060-200	A	060-200
061	MIVE			DyenDB	061-004	A	061-004
063	DADAN			DyenDB	063-200	A	063-200
064	KHUB			DyenDB	064-205	A	064-205
065	ALAF			DyenDB	065-004	A	065-004
066	SABZ			DyenDB	066-002	A	066-002
067	RUDE			DyenDB	067-007	A	067-007
068	MU			DyenDB	068-003	A	068-003
069	DAST			DyenDB	069-200	A	069-200
070	U			DyenDB	070-214	A	070-214
071	SAR			DyenDB	071-205	A	071-205
072	SHENIDAN			DyenDB	072-205	A	072-205
073	QALB			DyenDB		A	
074	SANGIN			DyenDB	074-207	A	074-209
075	INJA			DyenDB		A	
076	ZADAN			DyenDB	076-210	A	076-210
077	GEREFTAN			DyenDB	077-200	A	077-202
079	CHETOWR			DyenDB	079-205	A	079-205
080	SHEKAR KARDAN			DyenDB	080-004	A	080-004
081	SHOWHAR			DyenDB	081-007	A	081-007
082	MAN			DyenDB	082-200	A	082-200
083	YAKH			DyenDB	083-002	A	083-002
084	AGAR			DyenDB	084-010	A	084-010
085	DAR			DyenDB		A	
086	KOSHTAN			DyenDB	086-012	A	086-012
088	DANESTAN			DyenDB	088-200	A	088-202
089	DARYACHE			DyenDB	089-206	A	089-212
090	KHANDIDAN			DyenDB	090-010	A	090-010
091	BARG			DyenDB	091-003	A	091-003
092	CHAP			DyenDB	092-002	A	092-002
093	PA			DyenDB	093-200	A	093-200
094	KHABIDAN (DERAZ KASHIDAN)			DyenDB	094-002	A	094-002
095	ZENDEGI KARDAN			DyenDB	095-005	A	095-005
096	JEGAR			DyenDB	096-200	A	096-202
097	DERAZ			DyenDB	097-200	A	097-200
098	SHEPESH			DyenDB	098-002	A	098-002
099	ADAM			DyenDB		A	
100	ZIAD, CHANDIN			DyenDB	100-003	A	100-003
101	GUSHT			DyenDB	101-004	A	101-004
103	MADAR			DyenDB	103-200	A	103-200
104	KUH			DyenDB	104-003	A	104-003
105	DAHAN			DyenDB	105-203	A	105-203
106	ESM			DyenDB		A	
107	BARIK			DyenDB	107-212	A	107-215
108	NAZDIK			DyenDB	108-203	A	108-203
109	GARDAN			DyenDB	109-006	A	109-006
110	TAZE			DyenDB	110-200	A	110-202
111	SHAB			DyenDB	111-002	A	111-002
112	DAMAGH			DyenDB	112-004	A	112-004
113	NA			DyenDB	113-005	A	113-005
114	PIR			DyenDB	114-003	A	114-003
115	YEK			DyenDB	115-200	A	115-200
116	DIGAR			DyenDB	116-002	A	116-002
117	SHAKHS			DyenDB	117-209	A	117-209
118	BAZI KARDAN			DyenDB	118-002	A	118-002
119	KASHIDAN			DyenDB	119-005	A	119-005
120	HOL DADAN			DyenDB		A	
121	BARIDAN			DyenDB	121-010	A	121-010
122	SORKH			DyenDB	122-200	A	122-200
123	DOROST			DyenDB	123-200	A	123-200
124	RAST			DyenDB	124-200	A	124-200
125	SUDKHANE			DyenDB		A	
126	RAH			DyenDB		A	
127	RISHE			DyenDB	127-203	A	127-205
128	TANAB			DyenDB	128-100	C	128-100
129	PUSIDE			DyenDB	129-007	A	129-007
131	MALIDAN			DyenDB	131-200	A	131-200
132	NAMAK			DyenDB	132-003	A	132-003
133	SHEN			DyenDB		A	
134	GOFTAN			DyenDB	134-002	A	134-002
135	KHARIDAN			DyenDB	135-212	A	135-212
136	DARYA (OQYANUS)			DyenDB	136-006	A	136-006
137	DIDAN			DyenDB	137-002	A	137-002
138	TOKHM			DyenDB	138-204	A	138-204
139	DUKHTAN			DyenDB	139-003	A	139-003
140	TIZ			DyenDB	140-005	A	140-005
141	KUTAH			DyenDB	141-011	A	141-011
142	AVAZ KHANDAN			DyenDB	142-201	A	142-201
143	NESHASTAN			DyenDB	143-002	A	143-002
144	PUST			DyenDB	144-004	A	144-004
145	ASEMAN			DyenDB	145-005	A	145-005
146	KHABIDAN			DyenDB	146-002	A	146-002
147	KUCHEK			DyenDB	147-201	A	147-201
148	BU KARDAN (BU SHENIDAN)			DyenDB	148-012	A	148-012
149	DUD			DyenDB	149-200	A	149-200
150	SAF			DyenDB	150-200	A	150-200
151	MAR			DyenDB	151-003	A	151-003
152	BARF			DyenDB	152-002	A	152-002
153	BA'ZI			DyenDB	153-400	C	153-400
154	TOF KARDAN			DyenDB	154-200	A	154-200
155	NESF KARDAN			DyenDB		A	
156	FESHAR DADAN			DyenDB	156-015	A	156-015
158	ISTADAN			DyenDB	158-202	A	158-205
159	SETARE			DyenDB	159-004	A	159-004
160	CHUB			DyenDB		A	
161	SANG			DyenDB	161-005	A	161-005
162	RAST			DyenDB	162-203	A	162-203
163	MEKIDAN			DyenDB	163-200	A	163-200
164	AFTAB (KHORSHID)			DyenDB	164-200	A	164-200
165	BAD KARDAN			DyenDB		A	
166	SHENA KARDAN			DyenDB	166-005	A	166-005
167	DOM			DyenDB	167-005	A	167-005
168	AN (UN)			DyenDB	168-200	A	168-202
169	UNJA			DyenDB	169-100	C	169-100
170	ISHAN (UNA)			DyenDB	170-205	A	170-205
171	KOLOFT			DyenDB		A	
172	NAZOK (BARIK)			DyenDB		A	
173	FEKR KARDAN			DyenDB	173-002	A	173-002
174	IN			DyenDB	174-212	A	174-214
175	TO			DyenDB	175-200	A	175-200
176	SE			DyenDB	176-002	A	176-002
177	ANDAKHTAN			DyenDB	177-006	A	177-006
178	BASTAN			DyenDB	178-203	A	178-203
179	ZABAN (ZABUN)			DyenDB	179-202	A	179-202
180	DANDAN			DyenDB	180-003	A	180-003
181	DERAKHT			DyenDB	181-200	A	181-200
182	PICHIDAN			DyenDB		A	
183	DO			DyenDB	183-002	A	183-002
184	ESTEFRAG KARDAN (OQ ZADAN)			DyenDB		A	
185	RAH RAFTAN			DyenDB	185-002	A	185-002
186	GARM			DyenDB	186-002	A	186-002
187	SHOSTAN			DyenDB	187-011	A	187-011
188	AB			DyenDB	188-203	A	188-203
189	MA			DyenDB	189-002	A	189-002
190	TAR			DyenDB	190-002	A	190-002
191	CHE			DyenDB	191-003	A	191-003
192	KEY			DyenDB	192-200	A	192-200
193	KOJA			DyenDB	193-200	A	193-200
194	SEFID			DyenDB	194-205	A	194-205
195	KI			DyenDB	195-200	A	195-200
196	GOSHAD, PAHN			DyenDB	196-209	A	196-211
197	ZAN			DyenDB	197-200	A	197-200
198	BAD			DyenDB	198-205	A	198-205
199	PAR			DyenDB	199-201	A	199-202
200	PAK KARDAN			DyenDB	200-013	A	200-013
201	BA			DyenDB		A	
202	ZAN			DyenDB	202-204	A	202-204
203	JANGAL			DyenDB	203-212	A	203-214
204	KERM			DyenDB	204-200	A	204-200
205	SHOMA			DyenDB	205-200	A	205-200
206	SAL			DyenDB	206-010	A	206-010
207	ZARD			DyenDB	207-200	A	207-200
