ID	source_form	phon_form	notes	source	cognate_class	reliability
1	WSZYSCY			DyenDB	2	A
2	I			DyenDB	200	A
3	ZWIERZE			DyenDB	200	A
4	POPIOL			DyenDB	3	A
5	W			DyenDB	200	A
6	PLECY			DyenDB	100	A
7	ZLY			DyenDB	207	A
8	KORA			DyenDB	202	A
9	DLATEGO ZE			DyenDB		A
10	BRZUCH			DyenDB	209	A
11	WIELKI			DyenDB	6	A
12	PTAK			DyenDB	206	A
14	CZARNY			DyenDB	4	A
15	KREW			DyenDB	5	A
17	KOSC			DyenDB	200	A
21	DZIECKO			DyenDB	4	A
22	CHMURA			DyenDB	200	B
23	ZIMNY			DyenDB	200	A
27	DZIEN			DyenDB	3	A
30	BRUDNY			DyenDB	2	A
31	PIES			DyenDB	200	A
33	SUCHY			DyenDB	205	A
34	TEPY			DyenDB	2	A
35	KURZ			DyenDB		A
36	UCHO			DyenDB	200	A
37	ZIEMIA			DyenDB	200	A
39	JAJKO			DyenDB	7	A
40	OKO			DyenDB	2	A
42	DALEKO			DyenDB	205	A
43	TLUSZCZ			DyenDB	204	A
44	OJCIEC			DyenDB	200	A
46	PIORO			DyenDB	200	A
47	MALO			DyenDB	200	A
50	OGIEN			DyenDB	4	A
51	RYBA			DyenDB	3	A
52	PIEC			DyenDB	2	A
55	KWIAT			DyenDB	200	A
57	MGLA			DyenDB	200	A
58	STOPA			DyenDB	4	A
59	CZTERY			DyenDB	2	A
61	OWOC			DyenDB	200	A
64	DOBRY			DyenDB	4	A
65	TRAWA			DyenDB	6	A
66	ZIELONY			DyenDB	200	A
67	KISZKI			DyenDB	2	A
68	WLOSY			DyenDB	203	A
69	REKA			DyenDB	5	A
70	ON			DyenDB	200	A
71	GLOWA			DyenDB	2	A
73	SERCE			DyenDB	200	A
74	CIEZKI			DyenDB	7	A
75	TU			DyenDB	211	A
77	TRZYMAC			DyenDB	5	A
79	JAK			DyenDB	200	A
81	MAZ			DyenDB	206	A
82	JA			DyenDB	200	A
83	LOD			DyenDB	204	A
84	JESLI			DyenDB	2	A
85	W			DyenDB	200	A
88	ZNAC			DyenDB	200	A
89	JEZIORO			DyenDB	2	A
91	LISC			DyenDB	2	A
92	LEWY			DyenDB	9	A
93	NOGA			DyenDB	3	A
96	WATROBA			DyenDB	203	A
97	DLUGI			DyenDB	200	A
98	WESZ			DyenDB	200	A
99	MEZCZYZNA			DyenDB	203	A
100	DUZO			DyenDB	4	A
101	MIESO			DyenDB	7	A
103	MATKA			DyenDB	200	A
104	GORA			DyenDB	203	A
105	USTA			DyenDB	200	A
106	IMIE			DyenDB	3	A
107	WAZKI			DyenDB	200	A
108	BLIZKO			DyenDB	2	A
109	SZYJA			DyenDB	200	A
110	NOWY			DyenDB	200	A
111	NOC			DyenDB	4	A
112	NOS			DyenDB	5	A
113	NIE			DyenDB	5	A
114	STARY			DyenDB	2	A
115	JEDEN			DyenDB	200	A
116	INNY			DyenDB	200	A
117	CZLOWIEK			DyenDB	200	A
122	CZERWONY			DyenDB	5	A
123	SLUSZNY			DyenDB		A
124	PRAWY			DyenDB	3	A
125	RZEKA			DyenDB	3	A
126	DROGA			DyenDB	203	A
127	KORZEN			DyenDB	4	A
128	SZNUR			DyenDB	201	B
129	ZGNILY			DyenDB	4	A
131	TRZEC			DyenDB	3	A
132	SOL			DyenDB	2	A
133	PIASEK			DyenDB	2	A
135	DRAPAC SIE			DyenDB	7	A
136	MORZE			DyenDB	200	A
138	ZIARNO			DyenDB	200	A
140	OSTRY			DyenDB	200	A
141	KROTKI			DyenDB	12	A
144	SKORA			DyenDB	206	A
145	NIEBO			DyenDB	2	A
147	MALY			DyenDB	11	A
149	DYM			DyenDB	200	A
150	GLADKI			DyenDB	205	A
151	WAZ			DyenDB	200	A
152	SNIEG			DyenDB	4	A
153	TROCHE			DyenDB		A
159	GWIAZDA			DyenDB	3	A
160	KIJ			DyenDB	4	A
161	KAMIEN			DyenDB	6	A
162	PROSTY			DyenDB	8	A
164	SLONCE			DyenDB	203	A
167	OGON			DyenDB	9	A
168	TEN			DyenDB	200	A
169	TAM			DyenDB	203	A
170	ONI			DyenDB	200	A
171	GRUBY			DyenDB	206	A
172	CIENKI			DyenDB	2	A
174	TEN			DyenDB	200	A
175	TY			DyenDB	200	A
176	TRZY			DyenDB	2	A
13	GRYZC			DyenDB	6	A
16	DAC			DyenDB	203	A
19	ODDYCHAC			DyenDB	2	A
20	PALIC SIE			DyenDB	200	A
24	PRZYCHODZIC			DyenDB	203	A
25	LICZYC			DyenDB	6	A
26	CIAC			DyenDB		A
28	UMIERAC			DyenDB	3	A
29	KOPAC			DyenDB	203	A
32	PIC			DyenDB	4	A
38	JESC			DyenDB	6	A
41	PADAC			DyenDB	207	A
45	BAC SIE			DyenDB	200	A
48	BIC SIE			DyenDB	11	A
53	PLYNAC			DyenDB	5	A
54	CIEC			DyenDB	4	A
56	LECIEC			DyenDB	202	A
60	ZAMARZAC			DyenDB	5	A
63	DAWAC			DyenDB	200	A
72	SLYSZEC			DyenDB	205	A
76	BIC			DyenDB	205	A
80	POLOWAC			DyenDB	5	A
86	ZABIJAC			DyenDB	8	A
90	SMIAC SIE			DyenDB	4	A
94	LEZEC			DyenDB	3	A
95	ZYC			DyenDB	5	A
118	GRAC			DyenDB	200	A
119	CIAGNAC			DyenDB	206	A
120	PCHAC			DyenDB	5	A
121	DESZCZ PADA (IT IS RAINING)			DyenDB	3	A
134	MOWIC			DyenDB	4	A
137	WIDZIEC			DyenDB	3	A
139	SZYC			DyenDB	200	A
142	SPIEWAC			DyenDB	6	A
143	SIEDZIEC			DyenDB	200	A
