ID	source_form	phon_form	notes	source	cognate_class	reliability
1	TOUT, TOUTO			DyenDB	3	A
2	E, EME, EMAI			DyenDB	204	A
3	ANIMAU			DyenDB	205	A
4	CENDRE			DyenDB	2	A
5	A			DyenDB	200	A
6	ESQUINO, DOS			DyenDB	200	A
7	MARRIT, IDO			DyenDB	219	B
8	RUSCO, GRUEIO			DyenDB		A
9	PER-CO-QUE			DyenDB	10	A
10	VENTRE, PANSO			DyenDB	200	A
11	GROS, LARG			DyenDB	207	A
12	AUCEU			DyenDB	200	A
14	NEGRE, EGRO			DyenDB	5	A
15	SANG			DyenDB	3	A
17	OS, OUSSAIO			DyenDB	200	A
21	ENFANT			DyenDB	14	A
22	NIVO, NIEU			DyenDB	8	A
23	FRE, EJO			DyenDB	3	A
27	JOUR			DyenDB	3	A
30	SALE, ALO			DyenDB	16	A
31	CHIN, INO, CAN			DyenDB	3	A
33	SE, SECO			DyenDB	202	A
34	MOUTU, UDO			DyenDB	4	A
35	POUSSO			DyenDB	4	A
36	AURIHO			DyenDB	200	A
37	TERRO			DyenDB	205	A
39	IOU			DyenDB	7	A
40	UEI			DyenDB	2	A
42	LUEN, LIUEN			DyenDB	200	A
43	GRAISSO			DyenDB	9	A
44	PAIRE, PAI			DyenDB	200	A
46	PLUMO			DyenDB	200	A
47	PAU, GAIRE			DyenDB	2	A
50	FIO			DyenDB	2	A
51	PEIS, PEISSOUN			DyenDB	9	A
52	CINQ			DyenDB	2	A
55	FLOUR, FLOUS			DyenDB	2	A
57	NEBLO, SAGARES			DyenDB	200	A
58	PED			DyenDB	200	A
59	QUATRE			DyenDB	2	A
61	FRU, FRUCHO			DyenDB	3	A
64	BON, ONO			DyenDB	2	A
65	ERBO, GERME			DyenDB	2	A
66	VERT, ERDO			DyenDB	8	A
67	BUDEU, BOUIEU			DyenDB	9	A
68	PEU, CABEU			DyenDB	200	A
69	MAIN			DyenDB	2	A
70	EU			DyenDB	2	A
71	TESTO, CABESSO, CAP			DyenDB	200	A
73	COR			DyenDB	200	A
74	LOURD, GREU, EVO			DyenDB	200	A
75	EICI, CAI			DyenDB	211	A
77	TENI			DyenDB	4	A
79	COUME			DyenDB	200	A
81	MARIT, OME			DyenDB	200	A
82	IEU			DyenDB	200	A
83	GLACO, GEU			DyenDB	200	A
84	SE			DyenDB	3	A
85	DINS, DEDINS, EN			DyenDB	200	A
88	SABE, SAUPRE			DyenDB	2	A
89	LAU, CLAR			DyenDB	200	A
91	FUEIO, RAMO			DyenDB	200	A
92	GAUCHE, AUCHO			DyenDB	8	A
93	CAMBO, GARRO			DyenDB	4	A
96	FEGE			DyenDB	4	A
97	LONG, LONGO			DyenDB	200	A
98	PESOU			DyenDB	3	A
99	OME			DyenDB	200	A
100	MANT, ANTO			DyenDB		A
101	VIANDO, CAR			DyenDB	203	A
103	MAIRE			DyenDB	200	A
104	MOUNTAGNO			DyenDB	2	A
105	BOUCO, AIS			DyenDB	6	A
106	NOUM			DyenDB	3	A
107	ESTRE, ECHO			DyenDB	200	A
108	PROCHE			DyenDB	5	A
109	COU, COUI			DyenDB	204	A
110	NOUVEU			DyenDB	200	A
111	NUE, NIUE			DyenDB	4	A
112	NAS			DyenDB	5	A
113	NOUN, NANI			DyenDB	5	A
114	VIEI, VIEIO			DyenDB	10	A
115	UN, UNO			DyenDB	200	A
116	AUTRE			DyenDB	9	A
117	PERSOUNO, GENT			DyenDB	206	A
122	ROUGE, JO			DyenDB	3	A
123	JUST, USTO			DyenDB	200	A
124	DRE, ECHO			DyenDB	200	A
125	RIBIERO			DyenDB	200	A
126	ROUTO			DyenDB		A
127	RACINO			DyenDB	3	A
128	CORDO			DyenDB	10	A
129	POURRI, COUNFI, IDO			DyenDB	2	A
131	FRETA			DyenDB	2	A
132	SAU			DyenDB	2	A
133	SABLO			DyenDB	206	A
135	GRATA			DyenDB	2	A
136	MAR			DyenDB	200	A
138	GRANO			DyenDB	5	A
140	TRANCHU, TAIU			DyenDB	206	B
141	BREU, EVO			DyenDB		A
144	PEAU			DyenDB	200	A
145	CEU			DyenDB	3	A
147	PICHOT, OTO, PICHOUN			DyenDB	3	A
149	FUM, FUMADO			DyenDB	200	A
150	UNI, IDO, PLANIE			DyenDB	202	A
151	SERP, SERPENT			DyenDB	6	A
152	NEU			DyenDB	4	A
153	QUAUQUIS-UN			DyenDB	204	A
159	ESTELLO			DyenDB	4	A
160	BASTOUN, TRICO, CANO			DyenDB	5	A
161	PEIRO, CLAPO			DyenDB	202	A
162	DRE, IERO, DRECHURIE			DyenDB	203	A
164	SOULEU			DyenDB	203	A
167	CO			DyenDB	203	A
168	AQUEST, ESTO			DyenDB	209	A
169	LA, CAI, SIAN			DyenDB	200	A
170	ELI			DyenDB	207	A
171	ESPES, ESSO			DyenDB	209	A
172	MINCE, INCO			DyenDB	204	A
174	CO, ACO			DyenDB	200	A
175	TU, TE			DyenDB	200	A
176	TRES			DyenDB	2	A
13	MORDRE			DyenDB	3	A
16	BOUFA			DyenDB	203	A
19	RESPIRA, ALENA			DyenDB	200	A
20	BRULA			DyenDB	212	A
24	VENI			DyenDB	206	A
25	COUMTA			DyenDB	203	A
26	COUPA			DyenDB	204	A
28	MOURI, DEBANA			DyenDB	3	A
29	CAVA, FURA			DyenDB	3	A
32	BEURE, CHOURLA			DyenDB	4	A
38	MANJA			DyenDB	4	A
41	TOUMBA			DyenDB	4	A
45	CREGNE, TEME			DyenDB	205	A
48	SE BATRE, CO			DyenDB	205	A
53	FLOUTA, FLOUQUEJA			DyenDB	3	A
54	COULA, RAJA			DyenDB	209	A
56	VOULA, RAUBA			DyenDB	5	A
60	GELA, JALA			DyenDB	204	A
63	DOUNA, BAIA			DyenDB	200	A
72	ENTENDRE, AUSI			DyenDB	200	A
76	PICA, TABASA, BACELA			DyenDB		A
80	CASSA			DyenDB	3	A
86	TUA, PERI			DyenDB	9	A
90	RIRE			DyenDB	3	A
94	COUCHA, JAIRE			DyenDB	200	A
95	VIEURE			DyenDB	5	A
118	JOUGA			DyenDB	3	A
119	TIRA, TRAIRE			DyenDB	200	A
120	BUTA, EMPEGNE			DyenDB	207	A
121	PLOURE			DyenDB	4	A
134	DIRE			DyenDB	3	A
137	VEIRE			DyenDB	3	A
139	COURDURA			DyenDB	200	A
142	CANTA			DyenDB	3	A
143	ASSETA, ASSEIRE			DyenDB	200	A
146	DOURMI			DyenDB	4	A
148	SENTI			DyenDB	205	A
154	ESCUPI, SALIVA			DyenDB	203	B
155	ESPECA, FENDRE			DyenDB	203	A
156	SARRA, PRESSA			DyenDB	205	A
157	POUGNARDA			DyenDB	200	A
158	ARRESTA, ESTRE DEBOUT			DyenDB	5	A
163	SUCA, CHUCHA, TETA			DyenDB	202	A
165	ENFLA, BOUFIGA, GOUNFLA			DyenDB	206	A
166	NADA			DyenDB	8	A
173	PENSA, CUJA			DyenDB	213	A
177	JITA, TRAIRE, BANDI			DyenDB	205	A
178	LIA, LIGA			DyenDB	200	A
182	VIRA, VIROUIA			DyenDB	9	A
184	BOUMI, REGOULA			DyenDB	4	A
185	MARCHA, ANA, SE GANDI			DyenDB	6	A
187	LAVA			DyenDB	4	A
179	LENGO			DyenDB	200	A
180	DENT			DyenDB	3	A
181	AUBRE			DyenDB	6	A
183	DOUS, DOS			DyenDB	2	A
186	CAUD, AUDO			DyenDB	3	A
188	AIGO			DyenDB	3	A
189	NOUS, NAUTRE			DyenDB	2	A
190	MUIA, IME, IMO, MOUISSE			DyenDB	12	A
191	QUE			DyenDB	3	A
192	QUAND, QUOURO			DyenDB	200	A
193	OUNTE, MOUNTE			DyenDB	200	A
194	BLANC, ANCO			DyenDB	200	A
195	QUE, QUAU, QU'			DyenDB	200	A
196	LARG, ARGO, LARGE			DyenDB	3	A
197	MOUIE			DyenDB	208	A
198	VENT, AURO			DyenDB	200	A
199	ALO			DyenDB	6	A
200	EISSUGA			DyenDB	203	A
201	EME			DyenDB		A
202	FEMO			DyenDB	200	A
203	FOUREST, SEUVO			DyenDB	206	A
204	VERME, TORO, CANIHO			DyenDB	203	A
205	VOUS, VAUTRE			DyenDB	200	A
206	AN, ANNADO			DyenDB	2	A
207	JAUNE, AUNO			DyenDB	200	A
