ID	source_form	phon_form	notes	source	cognate_class
1	VES			DyenDB	2
4	PEPEL			DyenDB	3
6	SPINA			DyenDB	5
9	POTOMU CTO			DyenDB	12
11	VELIKIJ			DyenDB	6
13	KUSAT			DyenDB	11
14	C ORNYJ			DyenDB	4
15	KROV			DyenDB	5
19	DYSAT			DyenDB	2
21	DIT A			DyenDB	4
25	SCEST			DyenDB	9
27	DEN			DyenDB	3
28	MERET			DyenDB	3
30	GR AZNYJ			DyenDB	14
32	PIT			DyenDB	4
34	TUPOJ			DyenDB	2
38	JEST			DyenDB	6
39	JAJCO			DyenDB	7
40	GLAZ			DyenDB	8
48	BOROT S A			DyenDB	8
50	OGON			DyenDB	4
51	RYBA			DyenDB	3
52	P AT			DyenDB	2
54	TEC			DyenDB	4
58	NOGA			DyenDB	3
59	CETYRE			DyenDB	2
60	MOROZIT			DyenDB	5
64	DOBRYJ			DyenDB	4
65	TRAVA			DyenDB	6
67	KISKA			DyenDB	2
69	RUKA			DyenDB	5
71	GOLOVA			DyenDB	2
74	T AZOLYJ			DyenDB	7
77	DERZAT			DyenDB	10
80	OCHOTIT S A			DyenDB	8
84	JESLI			DyenDB	2
86	UBIT			DyenDB	8
89	OZERO			DyenDB	2
90	SMEJAT S A			DyenDB	4
91	LIST			DyenDB	2
92	LEVYJ			DyenDB	9
93	GOLEN			DyenDB	15
94	LEZAT			DyenDB	3
95	ZYT			DyenDB	5
96	PECEN			DyenDB	5
101	M ASO			DyenDB	7
105	ROT			DyenDB	2
106	IM A			DyenDB	3
108	BLIZKIJ			DyenDB	2
111	NOC			DyenDB	4
112	NOS			DyenDB	5
113	NE			DyenDB	5
114	STARYJ			DyenDB	2
120	TOLKAT			DyenDB	6
121	DOZD			DyenDB	3
123	PRAVYJ			DyenDB	2
125	REKA			DyenDB	3
126	PUT			DyenDB	4
127	KOREN			DyenDB	4
128	VER OVKA			DyenDB	5
129	GNILOJ			DyenDB	4
131	TERET			DyenDB	3
132	SOL			DyenDB	2
133	PESOK			DyenDB	2
137	VIDET			DyenDB	3
141	KOROTKIJ			DyenDB	12
142	PET			DyenDB	6
144	KOZA			DyenDB	5
145	NEBO			DyenDB	2
147	MALYJ			DyenDB	11
151	ZMEJA			DyenDB	4
152	SNEG			DyenDB	4
155	LOMIT			DyenDB	5
156	GNESTI			DyenDB	5
157	KOLOT			DyenDB	6
159	ZVEZDA			DyenDB	3
160	PALKA			DyenDB	2
161	KAMEN			DyenDB	6
166	PLAVAT			DyenDB	3
167	CHVOST			DyenDB	7
176	TRI			DyenDB	2
178	V AZAT			DyenDB	2
180	ZUB			DyenDB	2
183	DVA			DyenDB	2
184	RVAT			DyenDB	5
185	ITTI			DyenDB	16
186	T OPLYJ			DyenDB	6
188	VODA			DyenDB	4
189	MY			DyenDB	2
190	MOKRYJ			DyenDB	7
191	STO			DyenDB	3
196	SYROKIJ			DyenDB	5
199	KRYLO			DyenDB	3
200	VYTIRAT			DyenDB	4
206	LETA			DyenDB	8
