ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	TOTI (M. PL.), TOATE (N. PL.)			DyenDB	001-003	A	001-003
002	IAR			DyenDB		A	
003	ANIMAL			DyenDB	003-401	C	003-401
004	CENUSA			DyenDB	004-002	A	004-002
005	LA			DyenDB		A	
006	SPATE, DOS			DyenDB	006-200	A	006-205
007	RAU			DyenDB		A	
008	SCOARTA			DyenDB	008-202	A	008-204
009	FIINDCA			DyenDB		A	
010	PINTEC(E)			DyenDB	010-200	A	010-203
011	MARE			DyenDB	011-010	A	011-010
012	PASARE			DyenDB	012-200	A	012-202
013	A MUSCA			DyenDB	013-007	A	013-007
014	NEGRU			DyenDB	014-005	A	014-005
015	SINGE			DyenDB	015-003	A	015-003
016	A SUFLA			DyenDB	016-203	A	016-208
017	OS			DyenDB	017-200	A	017-200
019	A RESPIRA, A RASUFLA			DyenDB	019-200	A	019-204
020	A ARDE			DyenDB	020-212	A	020-212
021	COPIL			DyenDB		A	
022	NOR			DyenDB	022-008	A	022-008
023	RECE			DyenDB		A	
024	A VENI			DyenDB	024-206	A	024-206
025	A NUMARA			DyenDB	025-203	A	025-203
026	A TAIA			DyenDB	026-204	A	026-206
027	ZI			DyenDB	027-003	A	027-003
028	A MURI			DyenDB	028-003	A	028-003
029	A SAPA			DyenDB	029-006	A	029-006
030	MURDAR			DyenDB		A	
031	CIINE			DyenDB	031-003	A	031-003
032	A BEA			DyenDB	032-004	A	032-004
033	USCAT			DyenDB	033-202	A	033-204
034	TOCIT			DyenDB		A	
036	URECHE			DyenDB	036-200	A	036-200
037	SOL, PAMINT			DyenDB	037-205	A	037-207
038	A MINCA			DyenDB	038-004	A	038-004
039	OU			DyenDB	039-007	A	039-007
040	OCHI			DyenDB	040-002	A	040-002
041	A CADEA			DyenDB	041-003	A	041-003
042	DEPARTE			DyenDB	042-003	A	042-003
043	GRASIME			DyenDB	043-009	A	043-009
044	TATA			DyenDB	044-208	A	044-208
045	A SE TEME DE			DyenDB	045-205	A	045-205
046	PANA			DyenDB	046-203	A	046-203
047	PUTINI, PUTINE			DyenDB		A	
048	A (SE) BATE, A (SE) LUPTA			DyenDB	048-205	A	048-205
050	FOC			DyenDB	050-002	A	050-002
051	PESTE			DyenDB	051-009	A	051-009
052	CINCI			DyenDB	052-002	A	052-002
053	A PLUTI			DyenDB		A	
054	A CURGE			DyenDB	054-209	A	054-212
055	FLOARE			DyenDB	055-002	A	055-002
056	A ZBURA			DyenDB	056-005	A	056-005
057	CEATA, NEGURA			DyenDB	057-200	A	057-206
058	PICIOR			DyenDB	058-200	A	058-200
059	PATRU			DyenDB	059-002	A	059-002
060	A INGHETA			DyenDB	060-204	A	060-206
061	FRUCT			DyenDB	061-003	A	061-003
063	A DA			DyenDB	063-200	A	063-200
064	BUN			DyenDB	064-002	A	064-002
065	IARBA			DyenDB	065-002	A	065-002
066	VERDE			DyenDB	066-008	A	066-008
067	MARUNTAIE			DyenDB		A	
068	PAR			DyenDB	068-200	A	068-202
069	MINA			DyenDB	069-002	A	069-002
070	EL			DyenDB	070-002	A	070-002
071	CAP			DyenDB	071-200	A	071-202
072	A AUZI			DyenDB	072-200	A	072-202
073	INIMA			DyenDB	073-006	A	073-006
074	GREU			DyenDB	074-200	A	074-200
075	AICI, INCOACE			DyenDB	075-211	A	075-216
076	A NIMERI, A LOVI			DyenDB		A	
077	A TINE			DyenDB	077-004	A	077-004
079	CUM			DyenDB	079-200	A	079-200
080	A VINA			DyenDB		A	
081	SOT, BARBAT			DyenDB	081-005	A	081-005
082	EU			DyenDB	082-200	A	082-200
083	GHEATA			DyenDB	083-200	A	083-200
084	DACA			DyenDB		A	
085	IN			DyenDB	085-200	A	085-200
086	A OMORI, A UCIDE			DyenDB	086-200	A	086-201
088	A STI			DyenDB	088-003	A	088-003
089	LAC			DyenDB	089-200	A	089-200
090	A RIDE			DyenDB	090-003	A	090-003
091	FRUNZA, FOAIE			DyenDB	091-200	A	091-201
