ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	VSE			DyenDB	001-002	A	001-002
002	I			DyenDB	002-200	A	002-200
003	ZIVOTNOE			DyenDB	003-200	A	003-202
004	ZOLA			DyenDB		A	
005	V, U			DyenDB	005-200	A	005-211
006	SPINA			DyenDB	006-005	A	006-005
007	PLOXOJ			DyenDB		A	
008	KORA			DyenDB	008-202	A	008-204
009	POTOMU CTO			DyenDB	009-012	A	009-012
010	ZIVOT			DyenDB	010-209	A	010-209
011	BOL SOJ			DyenDB		A	
012	PTICA			DyenDB	012-207	A	012-207
013	KUSAT			DyenDB	013-011	A	013-011
014	CERNYJ			DyenDB	014-004	A	014-004
015	KROV			DyenDB	015-005	A	015-005
016	DUT			DyenDB	016-203	A	016-207
017	KOST			DyenDB	017-201	A	017-201
019	DYSAT			DyenDB	019-002	A	019-002
020	GORET			DyenDB	020-200	A	020-200
021	REBENOK			DyenDB	021-004	A	021-004
022	TUCA			DyenDB		A	
023	XOLODNYJ			DyenDB	023-200	A	023-202
024	PRIXODIT			DyenDB	024-203	A	024-205
025	SCITAT			DyenDB	025-009	A	025-009
026	REZAT			DyenDB	026-207	A	026-207
027	DEN			DyenDB	027-003	A	027-003
028	UMIRAT			DyenDB	028-003	A	028-003
029	RYT			DyenDB	029-008	A	029-008
030	GRJAZNYJ			DyenDB	030-014	A	030-014
031	SOBAKA			DyenDB	031-200	A	031-202
032	PIT			DyenDB	032-004	A	032-004
033	SUXOJ			DyenDB	033-205	A	033-205
034	TUPOJ			DyenDB	034-002	A	034-002
035	PYL			DyenDB	035-200	A	035-200
036	UXO			DyenDB	036-200	A	036-200
037	ZEMLJA			DyenDB	037-200	A	037-200
038	EST			DyenDB	038-006	A	038-006
039	JAJCO			DyenDB	039-007	A	039-007
040	GLAZ			DyenDB	040-008	A	040-008
041	PADAT			DyenDB	041-207	A	041-207
042	DALEKO			DyenDB	042-205	A	042-205
043	ZIR			DyenDB	043-203	A	043-203
044	OTEC			DyenDB	044-200	A	044-200
045	BOJAT SJA			DyenDB	045-200	A	045-204
046	PERO			DyenDB	046-200	A	046-200
047	MALO			DyenDB	047-200	A	047-200
048	DRAT SJA			DyenDB		A	
050	OGON			DyenDB	050-004	A	050-004
051	RYBA			DyenDB	051-003	A	051-003
052	PJAT			DyenDB	052-002	A	052-002
053	PLAVAT			DyenDB	053-005	A	053-005
054	TEC			DyenDB	054-004	A	054-004
055	CVET			DyenDB	055-200	A	055-200
056	LETET			DyenDB	056-202	A	056-204
057	TUMAN			DyenDB	057-200	A	057-204
058	NOGA			DyenDB	058-003	A	058-003
059	CETYRE			DyenDB	059-002	A	059-002
060	ZAMERZAT			DyenDB	060-005	A	060-005
061	PLOD			DyenDB	061-200	A	061-202
063	DAVAT			DyenDB	063-200	A	063-200
064	XOROSIJ			DyenDB		A	
065	TRAVA			DyenDB	065-006	A	065-006
066	ZELENYJ			DyenDB	066-200	A	066-200
067	KISKI			DyenDB	067-002	A	067-002
068	VOLOSY			DyenDB	068-203	A	068-203
069	RUKA			DyenDB	069-005	A	069-005
070	ON			DyenDB	070-200	A	070-200
071	GOLOVA			DyenDB	071-002	A	071-002
072	SLYSAT			DyenDB	072-205	A	072-205
073	SERDCE			DyenDB	073-200	A	073-200
074	TJAZELYJ			DyenDB	074-007	A	074-007
075	ZDES			DyenDB	075-211	A	075-215
076	BIT			DyenDB	076-205	A	076-207
077	DERZAT			DyenDB	077-010	A	077-010
079	KAK			DyenDB	079-200	A	079-200
080	OXOTIT SJA			DyenDB	080-008	A	080-008
081	MUZ			DyenDB	081-206	A	081-206
082	JA			DyenDB	082-200	A	082-200
083	LED			DyenDB	083-204	A	083-204
084	ESLI			DyenDB	084-002	A	084-002
085	V			DyenDB	085-200	A	085-200
086	UBIVAT			DyenDB	086-008	A	086-008
088	ZNAT			DyenDB	088-200	A	088-202
089	OZERO			DyenDB	089-002	A	089-002
090	SMEJAT SJA			DyenDB	090-004	A	090-004
091	LIST			DyenDB	091-002	A	091-002
092	LEVYJ			DyenDB	092-009	A	092-009
093	NOGA			DyenDB	093-003	A	093-003
094	LEZAT			DyenDB	094-003	A	094-003
095	ZIT			DyenDB	095-005	A	095-005
096	PECEN			DyenDB	096-005	A	096-005
097	DLINNYJ (SPAT.), DOLGIJ (TEMP.)			DyenDB	097-200	A	097-200
098	VOS			DyenDB	098-203	A	098-203
099	MUZCINA			DyenDB	099-203	A	099-205
100	MNOGO			DyenDB	100-200	A	100-200
101	MJASO			DyenDB	101-007	A	101-007
103	MAT			DyenDB	103-200	A	103-200
104	GORA			DyenDB	104-203	A	104-205
105	ROT			DyenDB	105-002	A	105-002
106	IMJA			DyenDB	106-003	A	106-003
107	UZKIJ			DyenDB	107-200	A	107-202
108	BLIZKO			DyenDB	108-002	A	108-002
109	SEJA			DyenDB	109-200	A	109-200
110	NOVYJ			DyenDB	110-200	A	110-200
111	NOC			DyenDB	111-004	A	111-004
112	NOS			DyenDB	112-005	A	112-005
113	NE			DyenDB	113-005	A	113-005
114	STARYJ			DyenDB	114-002	A	114-002
115	ODIN			DyenDB	115-200	A	115-200
116	DRUGOJ			DyenDB	116-200	A	116-200
117	CELOVEK			DyenDB	117-200	A	117-202
118	IGRAT			DyenDB	118-200	A	118-200
119	TJANUT			DyenDB	119-206	A	119-206
120	TOLKAT			DyenDB	120-006	A	120-006
121	DOZD  IDET (IT RAINS)			DyenDB	121-003	A	121-003
122	KRASNYJ			DyenDB	122-203	A	122-203
123	PRAVIL NYJ			DyenDB	123-002	A	123-002
124	PRAVYJ			DyenDB	124-003	A	124-003
125	REKA			DyenDB	125-003	A	125-003
126	DOROGA			DyenDB	126-203	A	126-203
127	KOREN			DyenDB	127-004	A	127-004
128	VEREVKA			DyenDB	128-005	A	128-005
129	GNILOJ			DyenDB	129-004	A	129-004
131	TERET			DyenDB	131-003	A	131-003
132	SOL			DyenDB	132-002	A	132-002
133	PESOK			DyenDB	133-002	A	133-002
134	GOVORIT			DyenDB	134-200	A	134-205
135	CESAT SJA			DyenDB	135-200	A	135-200
136	MORE			DyenDB	136-200	A	136-204
137	VIDET			DyenDB	137-003	A	137-003
138	ZERNO			DyenDB	138-200	A	138-202
139	SIT			DyenDB	139-200	A	139-200
140	OSTRYJ			DyenDB	140-200	A	140-200
141	KOROTKIJ			DyenDB	141-012	A	141-012
142	PET			DyenDB	142-006	A	142-006
143	SIDET			DyenDB	143-200	A	143-200
144	KOZA			DyenDB	144-005	A	144-005
145	NEBO			DyenDB	145-002	A	145-002
146	SPAT			DyenDB	146-200	A	146-200
147	MALEN KIJ			DyenDB	147-011	A	147-011
148	CUVSTVOVAT			DyenDB	148-200	A	148-204
149	DYM			DyenDB	149-200	A	149-200
150	GLADKIJ			DyenDB	150-205	A	150-209
151	ZMEJA			DyenDB	151-004	A	151-004
152	SNEG			DyenDB	152-004	A	152-004
153	NEMNOGO			DyenDB		A	
154	PLEVAT			DyenDB	154-205	A	154-206
155	RASKALYVAT			DyenDB	155-206	A	155-206
156	SZIMAT			DyenDB	156-006	A	156-006
157	ZAKALYVAT			DyenDB		A	
158	STOJAT			DyenDB	158-202	A	158-205
159	ZVEZDA			DyenDB	159-003	A	159-003
160	PALKA			DyenDB	160-002	A	160-002
161	KAMEN			DyenDB	161-006	A	161-006
162	PRJAMOJ			DyenDB	162-005	A	162-005
163	SOSAT			DyenDB	163-202	A	163-206
164	SOLNCE			DyenDB	164-203	A	164-203
165	PUXNUT			DyenDB	165-203	A	165-203
166	PLYT			DyenDB	166-003	A	166-003
167	XVOST			DyenDB	167-007	A	167-007
168	TOT			DyenDB	168-200	A	168-200
169	TAM			DyenDB	169-203	A	169-203
170	ONI			DyenDB	170-200	A	170-202
171	TOLSTYJ			DyenDB	171-214	A	171-214
172	TONKIJ			DyenDB	172-002	A	172-002
173	DUMAT			DyenDB	173-209	A	173-209
174	ETOT			DyenDB	174-200	A	174-205
175	TY			DyenDB	175-200	A	175-200
