ID	source_form	phon_form	notes	source	cognate_class	reliability
001	VSETOK			DyenDB	001-002	A
002	I			DyenDB	002-200	A
003	ZVER			DyenDB	003-200	A
004	POPOL			DyenDB	004-003	A
005	U			DyenDB	005-211	A
006	CHRBAT			DyenDB	006-004	A
007	ZLY			DyenDB	007-207	A
008	KORA			DyenDB	008-204	A
009	LEBO			DyenDB	009-005	A
010	BRUCHO			DyenDB	010-211	A
011	VEL KY			DyenDB	011-006	A
012	VTAK			DyenDB	012-207	A
013	KUSAT			DyenDB	013-011	A
014	CIERNY			DyenDB	014-004	A
015	KRV			DyenDB	015-005	A
016	DUT			DyenDB	016-207	A
017	KOST			DyenDB	017-201	A
019	DYCHAT			DyenDB	019-002	A
020	PALIT			DyenDB	020-202	A
021	DIET A			DyenDB	021-004	A
022	OBLAK			DyenDB	022-206	A
023	CHLADNY			DyenDB	023-202	A
024	PRICHODIT			DyenDB	024-205	A
025	CITAT			DyenDB	025-009	A
026	REZAT			DyenDB	026-207	A
027	DEN			DyenDB	027-003	A
028	MRET			DyenDB	028-003	A
029	KOPAT			DyenDB	029-203	A
030	SPINAVY			DyenDB	030-003	A
031	PES			DyenDB	031-200	A
032	PIT			DyenDB	032-004	A
033	SUCHY			DyenDB	033-205	A
034	TUPY			DyenDB	034-002	A
035	PRACH			DyenDB	035-202	A
036	UCHO			DyenDB	036-200	A
037	ZEM			DyenDB	037-200	A
038	JEST			DyenDB	038-006	A
039	VAJCE			DyenDB	039-007	A
040	OKO			DyenDB	040-002	A
041	PADAT			DyenDB	041-207	A
042	D ALEKY			DyenDB	042-205	A
043	TUK			DyenDB	043-005	A
044	OTEC			DyenDB	044-200	A
045	BAT SA			DyenDB	045-204	A
046	PERO			DyenDB	046-200	A
048	BORIT SA			DyenDB	048-008	A
050	OHEN			DyenDB	050-004	A
051	RYBA			DyenDB	051-003	A
052	PAT			DyenDB	052-002	A
054	TIECT			DyenDB	054-004	A
055	KVET			DyenDB	055-200	A
056	LETET			DyenDB	056-204	A
057	HMLA			DyenDB	057-200	A
058	NOHA			DyenDB	058-003	A
059	STYRI			DyenDB	059-002	A
060	MRAZIT SA			DyenDB	060-005	A
063	DAT			DyenDB	063-200	A
064	DOBRY			DyenDB	064-004	A
065	TRAVA			DyenDB	065-006	A
066	ZELENY			DyenDB	066-200	A
067	CREVO			DyenDB	067-003	A
068	VLASY			DyenDB	068-203	A
069	RUKA			DyenDB	069-005	A
070	ON			DyenDB	070-200	A
071	HLAVA			DyenDB	071-002	A
072	SLYSAT			DyenDB	072-205	A
073	SRDCE			DyenDB	073-200	A
074	T AZKY			DyenDB	074-007	A
075	TU			DyenDB	075-211	A
076	UDERIT			DyenDB	076-205	A
077	DRZAT			DyenDB	077-010	A
079	AKO			DyenDB	079-201	A
080	LOVIT			DyenDB	080-005	A
081	MUZ			DyenDB	081-206	A
082	JA			DyenDB	082-200	A
083	L AD			DyenDB	083-204	A
084	JESTLI			DyenDB	084-002	A
085	V			DyenDB	085-200	A
086	ZABIT			DyenDB	086-008	A
088	ZNAT			DyenDB	088-202	A
089	JAZERO			DyenDB	089-002	A
090	SMIAT SA			DyenDB	090-004	A
091	LIST			DyenDB	091-002	A
092	L AVY			DyenDB	092-009	A
093	HOLEN			DyenDB	093-015	A
094	LEZAT			DyenDB	094-003	A
095	ZIT			DyenDB	095-005	A
096	JATRA			DyenDB	096-203	A
097	DLHY			DyenDB	097-200	A
098	VOS			DyenDB	098-203	A
099	CLOVEK			DyenDB	099-203	A
100	MNOHY			DyenDB	100-200	A
101	MASO			DyenDB	101-007	A
103	MAT			DyenDB	103-200	A
104	HORA			DyenDB	104-205	A
105	USTA			DyenDB	105-200	A
106	MENO			DyenDB	106-003	A
107	UZKY			DyenDB	107-202	A
108	BLIZKY			DyenDB	108-002	A
109	SIJA			DyenDB	109-200	A
110	NOVY			DyenDB	110-200	A
111	NOC			DyenDB	111-004	A
112	NOS			DyenDB	112-005	A
113	NIE			DyenDB	113-005	A
114	STARY			DyenDB	114-002	A
115	JEDEN			DyenDB	115-200	A
116	DRUHY			DyenDB	116-200	A
117	OSOBA			DyenDB	117-002	A
118	HRAT			DyenDB	118-200	A
119	VLIECT			DyenDB	119-208	A
120	STRKNUT			DyenDB	120-010	A
121	DAZD			DyenDB	121-003	A
122	CERVENY			DyenDB	122-005	A
123	PRAVY			DyenDB	123-002	A
125	RIEKA			DyenDB	125-003	A
126	PUT			DyenDB	126-004	A
127	KOREN			DyenDB	127-004	A
128	POVRAZ			DyenDB	128-201	A
129	HNILY			DyenDB	129-004	A
131	TRIET			DyenDB	131-003	A
132	SOL			DyenDB	132-002	A
133	PIESOK			DyenDB	133-002	A
134	MLUVIT			DyenDB	134-004	A
135	SKRABAT			DyenDB	135-203	A
136	MORE			DyenDB	136-204	A
137	VIDET			DyenDB	137-003	A
138	SEMENO			DyenDB	138-200	A
139	SIT			DyenDB	139-200	A
140	OSTRY			DyenDB	140-200	A
141	KRATKY			DyenDB	141-012	A
142	SPIEVAT			DyenDB	142-006	A
143	SEDIET			DyenDB	143-200	A
144	KOZA			DyenDB	144-005	A
145	NEBO			DyenDB	145-002	A
146	SPAT			DyenDB	146-200	A
147	MALY			DyenDB	147-011	A
148	VONA			DyenDB	148-200	A
149	DYM			DyenDB	149-200	A
150	HLADKY			DyenDB	150-209	A
151	ZMIJA			DyenDB	151-004	A
152	SNEH			DyenDB	152-004	A
153	NIEKTORY			DyenDB	153-204	A
154	PL UT			DyenDB	154-206	A
155	LOMIT			DyenDB	155-005	A
156	HNIEST			DyenDB	156-005	A
157	BODAT			DyenDB	157-205	A
158	STAT			DyenDB	158-205	A
159	HVIEZDA			DyenDB	159-003	A
160	PALICA			DyenDB	160-002	A
161	KAMEN			DyenDB	161-006	A
163	SAT			DyenDB	163-206	A
164	SLNCE			DyenDB	164-203	A
165	PUCHNUT			DyenDB	165-203	A
166	PLAVAT			DyenDB	166-003	A
167	CHVOST			DyenDB	167-007	A
168	ONEN			DyenDB	168-202	A
169	TAM			DyenDB	169-203	A
170	ONI			DyenDB	170-202	A
171	TLSTY			DyenDB	171-214	A
173	MYSLIET			DyenDB	173-211	A
174	TEN			DyenDB	174-205	A
175	TY			DyenDB	175-200	A
176	TRI			DyenDB	176-002	A
177	METAT			DyenDB	177-208	A
178	VIAZAT			DyenDB	178-002	A
179	JAZYK			DyenDB	179-200	A
180	ZUB			DyenDB	180-002	A
181	DREVO			DyenDB	181-206	A
182	VRTIET			DyenDB	182-202	A
183	DVA			DyenDB	183-002	A
184	CHRLIT			DyenDB		A
185	IST			DyenDB	185-016	A
186	TEPLY			DyenDB	186-006	A
187	MYT			DyenDB	187-203	A
188	VODA			DyenDB	188-004	A
189	MY			DyenDB	189-002	A
190	MOKRY			DyenDB	190-007	A
191	CO			DyenDB	191-003	A
192	KEDY			DyenDB	192-200	A
193	KDE			DyenDB	193-200	A
194	BIELY			DyenDB	194-203	A
195	KTO			DyenDB	195-200	A
196	SIROKY			DyenDB	196-005	A
198	VIETOR			DyenDB	198-202	A
199	KRIDLO			DyenDB	199-003	A
200	UTIERAT			DyenDB	200-004	A
201	S			DyenDB	201-200	A
202	ZENA			DyenDB	202-204	A
204	CERV			DyenDB	204-200	A
205	VY			DyenDB	205-200	A
206	ROK			DyenDB	206-003	A
207	ZLTY			DyenDB	207-200	A
