ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	VES			DyenDB	001-002	A	001-002
002	I			DyenDB	002-200	A	002-200
003	ZVER			DyenDB	003-200	A	003-200
004	PEPEL			DyenDB	004-003	A	004-003
005	PRI			DyenDB	005-200	A	005-217
006	HRBET			DyenDB	006-004	A	006-004
007	ZEL			DyenDB	007-207	A	007-207
008	KORA			DyenDB	008-202	A	008-204
009	KER			DyenDB		A	
010	TREBUCH			DyenDB	010-004	A	010-004
011	VELIK			DyenDB	011-006	A	011-006
012	PTICA			DyenDB	012-207	A	012-207
013	GRISTI			DyenDB	013-006	A	013-006
014	CRN			DyenDB	014-004	A	014-004
015	KRV			DyenDB	015-005	A	015-005
016	DUTI			DyenDB	016-203	A	016-207
017	KOST			DyenDB	017-201	A	017-201
019	DIHATI			DyenDB	019-002	A	019-002
020	ZGATI			DyenDB	020-200	A	020-204
021	OTROK			DyenDB	021-008	A	021-008
022	OBLAK			DyenDB	022-206	A	022-206
023	HLADEN			DyenDB	023-200	A	023-202
024	PRITI			DyenDB	024-203	A	024-203
025	STETI			DyenDB	025-009	A	025-009
026	SEKATI			DyenDB	026-207	A	026-209
027	DEN			DyenDB	027-003	A	027-003
028	MRETI			DyenDB	028-003	A	028-003
029	KOPATI			DyenDB	029-203	A	029-203
030	UMAZAN			DyenDB	030-006	A	030-006
031	PES			DyenDB	031-200	A	031-200
032	PITI			DyenDB	032-004	A	032-004
033	SUV			DyenDB	033-205	A	033-205
034	TOP			DyenDB	034-002	A	034-002
035	PRAH			DyenDB	035-200	A	035-202
036	UHO			DyenDB	036-200	A	036-200
037	ZEMLJA			DyenDB	037-200	A	037-200
038	JESTI			DyenDB	038-006	A	038-006
039	JAJCE			DyenDB	039-007	A	039-007
040	OKO			DyenDB	040-002	A	040-002
041	PASTI			DyenDB	041-207	A	041-207
042	DALJEN			DyenDB	042-205	A	042-205
043	MAST			DyenDB	043-204	A	043-207
044	OCE			DyenDB	044-200	A	044-200
045	BOJATI SE			DyenDB	045-200	A	045-204
046	PERO			DyenDB	046-200	A	046-200
048	BORITI SE			DyenDB	048-008	A	048-008
050	OGENJ			DyenDB	050-004	A	050-004
051	RIBA			DyenDB	051-003	A	051-003
052	PET			DyenDB	052-002	A	052-002
054	TECI			DyenDB	054-004	A	054-004
055	CVET			DyenDB	055-200	A	055-200
056	LETETI			DyenDB	056-202	A	056-204
057	MEGLA			DyenDB	057-200	A	057-200
058	NOGA			DyenDB	058-003	A	058-003
059	STIRJE			DyenDB	059-002	A	059-002
060	MRZETI			DyenDB	060-005	A	060-005
063	DATI			DyenDB	063-200	A	063-200
064	DOBER			DyenDB	064-004	A	064-004
065	TRAVA			DyenDB	065-006	A	065-006
066	ZELEN			DyenDB	066-200	A	066-200
067	CREVO			DyenDB	067-003	A	067-003
068	LAS			DyenDB	068-203	A	068-203
069	ROKA			DyenDB	069-005	A	069-005
070	ON			DyenDB	070-200	A	070-200
071	GLAVA			DyenDB	071-002	A	071-002
072	SLUSATI			DyenDB	072-205	A	072-205
073	SRCE			DyenDB	073-200	A	073-200
074	TEZEK			DyenDB	074-007	A	074-007
075	ZDE			DyenDB	075-211	A	075-215
076	UDARITI			DyenDB	076-205	A	076-205
077	DRZATI			DyenDB	077-010	A	077-010
079	KAKO			DyenDB	079-200	A	079-200
080	LOVITI			DyenDB	080-005	A	080-005
081	MOZ			DyenDB	081-206	A	081-206
082	JA			DyenDB	082-200	A	082-200
083	LED			DyenDB	083-204	A	083-204
084	AKO			DyenDB	084-203	A	084-203
085	V			DyenDB	085-200	A	085-200
086	UBITI			DyenDB	086-008	A	086-008
