ID	source_form	phon_form	notes	source	cognate_class	reliability
1	TOTTU			DyenDB	3	A
2	E			DyenDB	204	A
3	ANIMALI			DyenDB	205	A
4	CINIZU			DyenDB	2	A
5	A			DyenDB	200	A
6	SKINA			DyenDB		A
7	MALU			DyenDB	219	A
8	KROZU			DyenDB	202	A
9	POITA			DyenDB	13	A
10	BRENTI			DyenDB	200	A
11	MANNU			DyenDB	200	A
12	PILLONI			DyenDB	206	A
14	NIEDDU			DyenDB	5	A
15	SANGUINI			DyenDB	3	A
17	OSSU			DyenDB	200	A
21	PIPPIU			DyenDB		A
22	NUI			DyenDB	8	A
23	FRIRU			DyenDB	3	A
27	DI			DyenDB	3	A
30	BRUTTU			DyenDB	203	A
31	KANI			DyenDB	3	A
33	SIKKU			DyenDB	202	A
34	SGURDU			DyenDB		A
35	PRUINI			DyenDB	4	A
36	URIGA			DyenDB	200	A
37	TERRA			DyenDB	205	A
39	OU			DyenDB	7	A
40	OGU			DyenDB	2	A
42	ATTESU			DyenDB		A
43	GRASSU			DyenDB	9	A
44	BABBU			DyenDB	209	B
46	PINNA			DyenDB	200	A
47	PAGUS			DyenDB	2	A
50	FOGU			DyenDB	2	A
51	PISSI			DyenDB	9	A
52	CINKU			DyenDB	2	A
55	FRORI			DyenDB	2	A
57	NEBBIA			DyenDB	200	A
58	PEI			DyenDB	200	A
59	KWATTRU			DyenDB	2	A
61	FRUTTA			DyenDB	3	A
64	BONU			DyenDB	2	A
65	ERBA			DyenDB	2	A
66	BIRDI			DyenDB	8	A
67	MAZZAMINI			DyenDB	100	A
68	PILU			DyenDB	200	A
69	MANU			DyenDB	2	A
70	ISSU			DyenDB	200	A
71	KONKA			DyenDB	6	A
73	KORI			DyenDB	200	A
74	GRAI			DyenDB	200	A
75	INNOI			DyenDB	211	A
77	TENNI			DyenDB	4	A
79	KOMMENTI			DyenDB	200	A
81	MARIRU			DyenDB	200	A
82	DEU			DyenDB	200	A
83	GIACCU			DyenDB	200	A
84	SI			DyenDB	3	A
85	IN			DyenDB	200	A
88	SIRI			DyenDB	3	A
89	LAGU			DyenDB	200	A
91	FOLLA			DyenDB	200	A
92	MANKA			DyenDB	11	A
93	KAMBA			DyenDB	4	A
96	FIGAU			DyenDB	4	A
97	LONGU			DyenDB	200	A
98	PRIOGU			DyenDB	3	A
99	OMINI			DyenDB	200	A
100	MERAS			DyenDB	7	A
101	PECCA			DyenDB	8	A
103	MAMMA			DyenDB	200	A
104	MONTI			DyenDB	2	A
105	BUKKA			DyenDB	6	A
106	NOMINI			DyenDB	3	A
107	STRINTU			DyenDB	200	A
108	AKKANTA			DyenDB		A
109	ZUGU			DyenDB	100	A
110	NOU			DyenDB	200	A
111	NOTTI			DyenDB	4	A
112	NASU			DyenDB	5	A
113	NO			DyenDB	5	A
114	BECCU			DyenDB	10	A
115	UNU			DyenDB	200	A
116	ATRU			DyenDB	9	A
117	PERSONA			DyenDB	206	A
122	ARRUBIU			DyenDB	3	A
