ID	source_form	phon_form	notes	source	cognate_class	reliability
001	TOTU			DyenDB	001-003	A
002	E  E			DyenDB	002-204	A
003	ANIMALE			DyenDB	003-401	C
004	CHIJNA			DyenDB	004-002	A
005	A			DyenDB	005-202	A
006	DORSO			DyenDB	006-200	A
007	MALU			DyenDB	007-219	A
008	ISCORZA			DyenDB	008-204	A
009	PROITE			DyenDB	009-013	A
010	BENTRE			DyenDB	010-201	A
011	MANNU			DyenDB	011-200	A
012	PUZZONE			DyenDB	012-207	A
013	MOSSIGARE			DyenDB	013-007	A
014	NIEDDU			DyenDB	014-005	A
015	SAMBENE			DyenDB	015-003	A
016	SULARE			DyenDB	016-208	A
017	OSSU			DyenDB	017-200	A
019	RESPIRARE			DyenDB	019-202	A
020	BRUJARE			DyenDB	020-214	A
021	PIZZINNU			DyenDB	021-016	A
022	NUE			DyenDB	022-008	A
023	FRITTU			DyenDB	023-003	A
024	BENNERE			DyenDB	024-206	A
025	CONTARE			DyenDB	025-205	A
026	SEGARE			DyenDB	026-209	A
027	DIE			DyenDB	027-003	A
028	MORRERE			DyenDB	028-003	A
029	ISCAVARE			DyenDB	029-003	A
030	BRUTTU			DyenDB	030-203	A
031	CANE			DyenDB	031-003	A
032	BIERE			DyenDB	032-004	A
033	SICCU			DyenDB	033-202	A
034	(BULTEDDU) CHI NON SEGA			DyenDB		A
035	PIUERE			DyenDB	035-004	A
036	ORICA			DyenDB	036-200	A
037	TERRINU			DyenDB	037-205	A
038	MANDIGARE			DyenDB	038-004	A
039	OU			DyenDB	039-007	A
040	OJU			DyenDB	040-002	A
041	RUERE			DyenDB	041-005	A
042	LONTANU			DyenDB	042-202	A
043	RASSU			DyenDB	043-009	A
044	BABBU			DyenDB	044-212	A
045	TIMERE			DyenDB	045-205	A
046	PIUMAGGIU			DyenDB	046-206	A
047	PAGOS			DyenDB	047-002	A
048	CUMBATTERE			DyenDB	048-205	A
050	FOGU			DyenDB	050-002	A
051	PISCHE			DyenDB	051-009	A
052	CHIMBE			DyenDB	052-002	A
053	GALLIZZARE			DyenDB	053-008	A
054	ISCURRERE			DyenDB	054-212	A
055	FIORE			DyenDB	055-002	A
056	BOLARE			DyenDB	056-005	A
057	NEULA			DyenDB	057-206	A
058	PE			DyenDB	058-200	A
059	BATTORO			DyenDB	059-002	A
060	GHELARE			DyenDB	060-204	A
061	FRUTTU			DyenDB	061-003	A
063	DARE			DyenDB	063-200	A
064	BONU			DyenDB	064-002	A
065	ERBA			DyenDB	065-002	A
066	BIRDE			DyenDB	066-008	A
067	INTESTINOS (M. PL.)			DyenDB	067-202	A
068	PILU			DyenDB	068-202	A
069	MANU			DyenDB	069-002	A
070	IPSE			DyenDB	070-211	A
071	TESTA			DyenDB	071-200	A
072	INTENDERE			DyenDB	072-200	A
073	CORO			DyenDB	073-200	A
074	GRAVE			DyenDB	074-200	A
075	INOGHE			DyenDB	075-216	A
076	COLPIRE			DyenDB	076-007	A
077	TENNERE			DyenDB	077-004	A
079	COMENTE			DyenDB	079-200	A
080	CAZZARE			DyenDB	080-003	A
081	MARIDU			DyenDB	081-200	A
082	EGO			DyenDB	082-200	A
083	BIDDIA			DyenDB	083-201	A
084	SI			DyenDB	084-003	A
085	IN			DyenDB	085-200	A
086	BOCCHIRE			DyenDB	086-005	A
088	ISCHIRE			DyenDB	088-003	A
089	LAGU			DyenDB	089-200	A
090	RIERE			DyenDB	090-003	A
091	FOZZA			DyenDB	091-200	A
092	INFAUSTU			DyenDB		A
093	CAMBA			DyenDB	093-004	A
094	ISTERRIARE			DyenDB		A
095	VIVERE			DyenDB	095-005	A
096	VIVENTE			DyenDB		A
097	LONGU			DyenDB	097-200	A
098	PIOGU			DyenDB	098-003	A
099	OMINE			DyenDB	099-200	A
100	MEDAS			DyenDB	100-007	A
101	PETTA			DyenDB	101-008	A
103	MAMMA			DyenDB	103-206	A
104	MUNTAGNA			DyenDB	104-002	A
105	BUCCA			DyenDB	105-006	A
106	NOMENE			DyenDB	106-003	A
107	ISTRINTU			DyenDB	107-200	A
108	BIGHINU			DyenDB		A
109	ATTILE			DyenDB		A
110	NOU			DyenDB	110-200	A
111	NOTTE			DyenDB	111-004	A
112	NASU			DyenDB	112-005	A
113	NON			DyenDB	113-005	A
114	BEZZU			DyenDB	114-010	A
115	UNU			DyenDB	115-200	A
116	ATERE			DyenDB	116-009	A
117	PERSONA			DyenDB	117-206	A
118	GIOGARE			DyenDB	118-003	A
119	TIRARE			DyenDB	119-200	A
120	ISPINGHERE			DyenDB	120-003	A
121	PIOERE			DyenDB	121-004	A
122	RUJU			DyenDB	122-003	A
123	JUSTU			DyenDB	123-202	A
124	DESTRU			DyenDB	124-002	A
125	FLUMEN			DyenDB	125-202	A
126	VIA			DyenDB	126-008	A
127	RAIGHINA			DyenDB	127-003	A
128	FUNE			DyenDB	128-008	A
129	MALZU			DyenDB	129-008	A
131	FRIGARE			DyenDB	131-002	A
132	SALE			DyenDB	132-002	A
133	RENA			DyenDB	133-208	A
134	NARRER			DyenDB	134-013	A
135	RATTARE			DyenDB	135-002	A
136	MARE			DyenDB	136-204	A
137	BIDERE			DyenDB	137-003	A
138	SEMEN			DyenDB	138-200	A
139	COSIRE			DyenDB	139-200	A
140	ARRODATU			DyenDB	140-008	A
141	CURZU			DyenDB	141-012	A
142	CANTARE			DyenDB	142-003	A
143	SEZZERE			DyenDB	143-200	A
144	PEDDE			DyenDB	144-200	A
145	CHELU			DyenDB	145-003	A
146	DORMIRE			DyenDB	146-004	A
147	PICOCCU			DyenDB	147-007	A
148	INTENDERE			DyenDB		A
149	FUMU			DyenDB	149-200	A
150	LISU			DyenDB	150-202	A
151	SERPENTE			DyenDB	151-006	A
152	NIE			DyenDB	152-004	A
153	CALCHI			DyenDB	153-204	A
154	RUSPIARE			DyenDB	154-004	A
155	ISPACCARE			DyenDB	155-205	A
156	PREMERE			DyenDB	156-200	A
157	PUNGHERE			DyenDB	157-200	A
158	ISTARE			DyenDB	158-205	A
159	ISTELLA			DyenDB	159-004	A
160	BASTONE			DyenDB	160-005	A
161	PEDRA			DyenDB	161-202	A
162	DERETTU			DyenDB	162-203	A
163	SUZZARE			DyenDB	163-206	A
164	SOLE			DyenDB	164-203	A
165	UNFIARE			DyenDB	165-209	A
166	NADARE			DyenDB	166-008	A
167	COA			DyenDB	167-203	A
168	CUDDU			DyenDB	168-209	A
169	INNI			DyenDB	169-003	A
170	IPSOS (M.PL.)			DyenDB	170-207	A
171	RUSSU			DyenDB	171-209	A
172	SUTTILE			DyenDB	172-003	A
173	PENSARE			DyenDB	173-215	A
174	CUSTU			DyenDB	174-204	A
175	TUE			DyenDB	175-200	A
176	TRES			DyenDB	176-002	A
177	BETTARE			DyenDB	177-205	A
178	LIGARE			DyenDB	178-200	A
179	LIMBA			DyenDB	179-200	A
180	DENTE			DyenDB	180-003	A
181	ARBURE			DyenDB	181-006	A
182	GIRARE			DyenDB	182-200	A
183	DUOS			DyenDB	183-002	A
184	VOMITARE			DyenDB	184-004	A
185	PASSIZZARE			DyenDB	185-200	A
186	CALDU			DyenDB	186-003	A
187	SAMUNARE			DyenDB		A
188	ABBA			DyenDB	188-003	A
189	NOS			DyenDB	189-002	A
190	UMIDU			DyenDB	190-011	A
191	CHI			DyenDB	191-003	A
192	CANDU			DyenDB	192-200	A
193	INUE			DyenDB	193-200	A
194	BIANCU			DyenDB	194-200	A
195	CHINI			DyenDB	195-200	A
196	LARGU			DyenDB	196-003	A
197	FEMINA			DyenDB	197-208	A
198	BENTU			DyenDB	198-202	A
199	ALA			DyenDB	199-006	A
200	PULIRE			DyenDB		A
201	CUM			DyenDB	201-211	A
202	FEMINA			DyenDB	202-200	A
203	ISCI			DyenDB		A
204	BERME			DyenDB	204-205	A
205	VOS			DyenDB	205-200	A
206	ANNU			DyenDB	206-002	A
207	GROGU			DyenDB	207-005	A
