ID	source_form	phon_form	notes	source	cognate_class	reliability
1	TOTTU			DyenDB	3	A
2	E			DyenDB	204	A
3	ANIMALE			DyenDB	205	A
4	KISINAS			DyenDB	2	A
5	A			DyenDB	200	A
7	MALU			DyenDB	219	A
8	ISKORTHA			DyenDB	202	A
9	PROKE			DyenDB	10	A
10	ENTRE			DyenDB	200	A
11	MANNU			DyenDB	200	A
12	PUTHTHONE			DyenDB	206	A
14	NIEDDU			DyenDB	5	A
15	SAMBEBE			DyenDB	3	A
17	OSSU			DyenDB	200	A
21	PITHTHINNEDDU			DyenDB	16	A
22	NUGE			DyenDB	8	A
23	FRITTU			DyenDB	3	A
27	DIE			DyenDB	3	A
30	BRUTTU			DyenDB	203	A
31	KANE			DyenDB	3	A
33	SIKKU			DyenDB	202	A
34	ISPUNTATU			DyenDB		A
35	PRUERE			DyenDB	4	A
36	URIKRA			DyenDB	200	A
37	TERRA			DyenDB	205	A
39	OVU			DyenDB	7	A
40	OKRU			DyenDB	2	A
42	ILLARGU			DyenDB		A
43	GRASSU			DyenDB	9	A
44	BABBU			DyenDB	200	B
46	PIA			DyenDB	200	A
47	PAKOS			DyenDB	2	A
50	OKU			DyenDB	2	A
51	PISKE			DyenDB	9	A
52	KIMBE			DyenDB	2	A
55	FRORE			DyenDB	2	A
57	NEULA			DyenDB	200	A
58	PEDE			DyenDB	200	A
59	BATTORO			DyenDB	2	A
61	FRUTTORA			DyenDB	3	A
64	BONU			DyenDB	2	A
65	ERVA			DyenDB	2	A
66	VIRDE			DyenDB	8	A
67	ENTRE			DyenDB	200	A
68	PILU			DyenDB	200	A
69	MANU			DyenDB	2	A
70	ISSE			DyenDB	200	A
71	KONKA			DyenDB	6	A
73	KORO			DyenDB	200	A
74	PESANTE			DyenDB	200	A
75	INOKKE			DyenDB	211	A
77	REGERE			DyenDB		A
79	KOMENTE			DyenDB	200	A
81	MARITU			DyenDB	200	A
82	JEO			DyenDB	200	A
83	ASTRAGU			DyenDB		A
84	SI			DyenDB	3	A
85	IN			DyenDB	200	A
88	ISKIRE			DyenDB	3	A
89	LAGU			DyenDB	200	A
91	OTHTHA			DyenDB	200	A
92	MANKA			DyenDB	11	A
93	ANKA			DyenDB		A
96	IKATU			DyenDB	4	A
97	LONGU			DyenDB	200	A
98	PRIUKKU			DyenDB	3	A
99	OMINE			DyenDB	200	A
100	METAS			DyenDB	7	A
101	PETHTHA			DyenDB	8	A
103	MAMA			DyenDB	200	A
104	MONTE			DyenDB	2	A
105	BUKKA			DyenDB	6	A
106	NUMENE			DyenDB	3	A
107	ASTRINTU			DyenDB	200	A
108	AKKURTHU			DyenDB		A
109	THUKRU			DyenDB		A
110	NOVU			DyenDB	200	A
111	NOTTE			DyenDB	4	A
112	NARE			DyenDB	5	A
113	NO			DyenDB	5	A
114	VETHTHU			DyenDB	10	A
115	UNU			DyenDB	200	A
116	ATERU			DyenDB	9	A
117	PESSONE			DyenDB	206	A
122	RUJU			DyenDB	3	A
